"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SNAP29",5,0.0615019934694649,"no",0.0640885752428247,0.0302570596827951,5,0.987167497876592,"no","",0.251331099376937,"up","","",567
"NFKBIZ",6,0.0616111839067085,"no",-0.0388041369367292,0.0406736834038168,5,0.0300377220284935,"no","",8.35760091083325e-05,"down","","STK11 (depleted, 7% vs 17%)",567
"WDTC1",6,0.0616686862124787,"no",0.0442874740406844,0.0490735670034094,5,0.997758116407429,"no","",4.47442263355112e-05,"down","","",567
"ALKBH3",5,0.0617402507431914,"no",0.0152645570475615,0.0483566910497806,4,0.296426852264464,"no","",0.774587496536461,"up","","",567
"HCRTR1",6,0.0617982110906542,"no",-0.0051682617627418,0.154557252975587,5,0.998896304255132,"no","",0.000622993659407749,"down","","",567
"VSTM2B",5,0.0620430037017486,"no",-0.0457405487287311,0.0635677787909567,4,0.0432401091877237,"no","",0.817252425643964,"up","","",567
"CDH12",3,0.0622339173958633,"no",0.0427108562123992,0.0367325675764621,2,0.614576878622122,"no","",0.311417788082766,"up","","",567
"RALGPS2",6,0.0624053136875123,"no",-0.0363470512464129,0.0586025235081948,5,0.0850068657838521,"no","",4.00171699395765e-27,"up","ADAMTS12 (enriched, 21% vs 9%), ANKRD30B (enriched, 9% vs 2%), APOB (enriched, 24% vs 9%), BOD1L1 (enriched, 12% vs 4%), BPTF (enriched, 9% vs 2%), COL11A1 (enriched, 24% vs 11%), COL5A2 (enriched, 13% vs 3%), CSMD3 (enriched, 40% vs 26%), CTNND2 (enriched, 14% vs 5%), F13A1 (enriched, 8% vs 1%), FAM83B (enriched, 10% vs 2%), HHIPL2 (enriched, 8% vs 1%), MXRA5 (enriched, 20% vs 7%), NTRK3 (enriched, 12% vs 3%), OR2B11 (enriched, 7% vs 1%), OR5D13 (enriched, 9% vs 2%), PCDH15 (enriched, 23% vs 11%), RP1L1 (enriched, 22% vs 9%), SLITRK4 (enriched, 11% vs 3%), THSD7B (enriched, 12% vs 3%), TP53 (enriched, 36% vs 22%), TRRAP (enriched, 10% vs 2%), TTN (enriched, 51% vs 35%), USH2A (enriched, 38% vs 20%)","",567
"SLAMF9",6,0.0624488456357849,"no",0.0136569841769591,0.0798306739492329,5,0.997907629312085,"no","",1.03381006644676e-11,"up","","",567
"CPVL",6,0.0627687635520475,"no",0.0456823292614357,0.128612992075613,5,0.19161842863414,"no","",8.17170865220846e-14,"down","","STK11 (depleted, 7% vs 17%)",567
"RASL11A",6,0.0630752636172256,"no",0.114386842039165,0.00889772980035976,5,0.502380968920653,"no","",1.20259619032506e-15,"down","","EGFR (enriched, 8% vs 2%), TTN (depleted, 5% vs 13%)",567
"FOXJ1",6,0.0630898862739795,"no",0.0672609045673921,0.0553793007074713,5,0.227377833496997,"no","",0.956498192079077,"down","","",567
"CA5A",6,0.0631630369713313,"no",0.0234610090764227,0.050970171586026,5,0.999140048207688,"no","",1.29673255175292e-10,"up","","",567
"HSPB1",6,0.0632655527443373,"no",0.0890312943804933,0.151580453387428,5,8.9021536761047e-06,"yes","",7.02903285505302e-12,"up","","",567
"EDN1",5,0.0633133668078004,"no",-0.0239987198598123,0.0447828933954515,5,0.228654324517334,"no","",2.03332657585917e-22,"down","","",567
"MLST8",5,0.063329567026877,"no",-0.219859311423023,0.119513670239955,4,0.999845076497373,"no","",1.35510321297476e-19,"up","EGFR (enriched, 13% vs 2%)","",567
"RND1",5,0.0633619764617759,"no",0.041418412254534,0.146857543803002,5,0.981933919355836,"no","",0.0221943727371321,"down","KRAS (enriched, 36% vs 19%)","STK11 (enriched, 19% vs 4%)",567
"HSD17B13",6,0.0633681908460993,"no",-0.119963041415026,0.13869528255703,5,0.0492725976795373,"no","",1.22634017524677e-15,"down","","SMARCA4 (depleted, 1% vs 7%)",567
"PHF21A",6,0.0633681908460993,"no",-0.0032511755638694,0.0812477910758673,5,0.0263162065459576,"no","",0.380167001660662,"down","","",567
"OLIG3",6,0.0635738343270396,"no",0.0320065772488838,0.0869723583903072,5,0.948104559622664,"no","",0.0809237119567431,"up","ADCY2 (enriched, 15% vs 4%), ARHGEF6 (enriched, 11% vs 2%), CNTNAP4 (enriched, 17% vs 4%), COL2A1 (enriched, 11% vs 2%), CPXM2 (enriched, 12% vs 2%), MYH15 (enriched, 10% vs 2%), ROR2 (enriched, 14% vs 4%), TGM6 (enriched, 11% vs 2%), TLR4 (enriched, 20% vs 7%), TMPRSS11A (enriched, 10% vs 2%), TPO (enriched, 13% vs 3%), UBR4 (enriched, 17% vs 5%)","",567
"CHRNA3",6,0.063809455711913,"no",0.0252208776697234,0.110675083203156,5,0.000600148917278109,"no","",0.0570170134930964,"up","","",567
"SLC26A3",6,0.0638242033263972,"no",0.0274617745745526,0.0950798411938373,5,0.00039022664263455,"no","",2.93374901925333e-12,"down","","",567
"CCNL1",6,0.0639865924327705,"no",-0.0784456641641559,0.0498855588028487,5,0.999784800676913,"no","",0.0264431166293641,"down","","",567
"FOXI2",6,0.0640013701158413,"no",0.0457555119250796,0.0606779699356329,5,0.353608954550013,"no","",5.62569349238198e-12,"down","","",567
"ROR1",6,0.0641492848711596,"no",0.0114820897649805,0.082788546087521,5,0.00369633428136018,"no","",1.40590075627202e-29,"down","KEAP1 (depleted, 7% vs 20%), KRAS (depleted, 19% vs 36%)","EGFR (enriched, 9% vs 1%), SMARCA4 (depleted, 1% vs 7%), STK11 (depleted, 6% vs 17%)",567
"ATP13A3",6,0.0642529744844501,"no",0.00539950950743254,0.0296487080494137,5,0.853181627216972,"no","",5.5449807913419e-07,"up","COL6A3 (enriched, 17% vs 6%), FAT4 (enriched, 20% vs 8%), TP53 (enriched, 39% vs 19%), TTN (enriched, 53% vs 33%)","RB1 (enriched, 8% vs 1%)",567
"IL2RA",5,0.0646517666663158,"no",-0.0277144754948297,0.104717571303643,5,0.000103335341361865,"yes","",2.35544888763686e-14,"up","","",567
"OR2T8",6,0.0647285518955374,"no",0.121606527003005,0.0527393260604305,5,0.31736290516055,"no","",4.04130702531372e-11,"down","","",567
"RAD51D",5,0.0647669589269888,"no",0.00358713145346612,0.129146239404427,4,0.999922971585074,"no","",1.68358498393604e-18,"up","","",567
"ITGA3",6,0.0647881801828927,"no",-0.0234015886593434,0.088279740748065,5,0.724017731615681,"no","",0.645190908412145,"up","","STK11 (depleted, 7% vs 17%)",567
