"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"S100B",5,0.417193471623906,"no",NA,NA,4,0.999923993734757,"no","",0.000301699729452973,"up","ADAMTSL1 (depleted, 1% vs 8%), CRB1 (depleted, 4% vs 14%), CSMD1 (depleted, 11% vs 24%), CSMD2 (depleted, 7% vs 18%), CSMD3 (depleted, 26% vs 40%), CTNNA2 (depleted, 4% vs 14%), DNAH11 (depleted, 4% vs 13%), DNAH5 (depleted, 6% vs 15%), EGFLAM (depleted, 1% vs 9%), GABRA4 (depleted, 2% vs 10%), GRM5 (depleted, 3% vs 11%), GRM7 (depleted, 2% vs 11%), LAMA4 (depleted, 1% vs 10%), LRP1B (depleted, 22% vs 36%), MYCBP2 (depleted, 1% vs 11%), OR4K2 (depleted, 1% vs 7%), PCDH17 (depleted, 4% vs 13%), PKHD1L1 (depleted, 5% vs 15%), RYR2 (depleted, 26% vs 41%), RYR3 (depleted, 9% vs 23%), SCN1A (depleted, 0% vs 9%), SLC39A12 (depleted, 2% vs 12%), SORCS1 (depleted, 5% vs 15%), TAF3 (depleted, 0% vs 6%), USH2A (depleted, 21% vs 36%)","",567
"HMGA2",5,0.417477313890255,"no",0.0449018730076464,0.0916166932747752,5,0.122031338917457,"no","",1.93307180410707e-12,"up","","STK11 (depleted, 4% vs 19%)",567
"EIF2AK3",4,0.41749739959814,"no",-0.0668052907467135,0.0905989837428955,3,0.819046269329543,"no","",4.93264503904076e-06,"up","","",567
"ABCA7",5,0.417524624819054,"no",-0.010785549370688,0.0833855098813307,4,0.963650327001173,"no","",1.81209860733517e-05,"up","","",567
"EIF2AK1",6,0.417763568666132,"no",-0.000741433773510095,0.0795856998784018,5,0.936680998186413,"no","",4.62237910983991e-33,"up","","TP53 (enriched, 26% vs 14%)",567
"POLA2",5,0.418187093895674,"no",-0.183506680543899,0.238220225912811,4,4.42928235957484e-05,"yes","",4.53376840784413e-22,"up","HERC2 (enriched, 16% vs 5%), KCNT2 (enriched, 12% vs 3%), TP53 (enriched, 38% vs 20%)","RB1 (enriched, 8% vs 1%), TP53 (enriched, 28% vs 12%)",567
"RDX",6,0.418284710544101,"no",-0.0353903105791304,0.0900388604124091,5,0.81927740601354,"no","",1.56116846511307e-23,"down","","",567
"KCTD3",6,0.418588773281022,"no",-0.0259571741378846,0.0718486831368415,5,0.999180240020151,"no","",0.687762127598357,"up","","STK11 (enriched, 18% vs 6%)",567
"GSTT2",3,0.418769247419643,"no",NA,NA,0,NA,NA,"",0.755624076593547,"up","","",567
"GSTT2B",3,0.418769247419643,"no",NA,NA,3,0.53328473130099,"no","",0.544748157015167,"up","","",567
"CBFB",6,0.418892882457368,"no",0.00277326757614071,0.0338690254503,5,0.100212431660909,"no","BRCA_Act",2.72992459989699e-18,"up","","",567
"CNST",5,0.418897121271518,"no",-0.0227858339350204,0.0995481635031838,4,0.999763126262225,"no","",0.370232015327025,"up","","STK11 (enriched, 17% vs 7%)",567
"ANKS1A",5,0.419039156245569,"no",-0.0215013305563818,0.139125310740852,4,0.970602268997933,"no","",6.81171489095074e-24,"down","","",567
"BAZ1A",6,0.419283947935963,"no",0.0020247047915528,0.152478451095013,5,0.274842611138758,"no","",3.24261702730263e-10,"up","GRM8 (enriched, 11% vs 2%)","TP53 (enriched, 26% vs 14%)",567
"DGAT1",6,0.419631625617387,"no",-0.0215086618708702,0.0475795766568466,5,0.841627047184465,"no","",5.83757392779576e-20,"up","","",567
"MTHFD1",6,0.420196729493243,"no",-0.0959112693831188,0.143763331661906,5,0.1875156474352,"no","",2.97209078329064e-18,"up","","RB1 (enriched, 8% vs 1%), TP53 (enriched, 28% vs 12%)",567
"KDM1A",6,0.420370639263357,"no",-0.149330371512258,0.158887919060128,5,0.0885700310205302,"no","",9.88221547051049e-27,"up","","",567
"BATF3",6,0.42041411902603,"no",0.00472293176304867,0.059312958779033,5,0.999370320579318,"no","",0.607112479630618,"up","","",567
"HRASLS",6,0.42054456387451,"no",-0.0117408510155196,0.0416450967343734,5,0.433108038562173,"no","",NA,NA,NA,NA,567
"XRRA1",6,0.420588047342514,"no",-0.352760422601159,0.16182750191095,5,0.159538910284015,"no","",2.91301218005802e-11,"up","","",567
"RNF112",4,0.420600617078879,"no",0.0355693368751357,0.0514694807035832,3,0.999877749224475,"no","",7.31299271523637e-10,"down","","",567
"PARP1",6,0.420718503295156,"no",0.0137623932592173,0.050503655253205,5,0.105485478945542,"no","",6.09464269421696e-28,"up","","",567
"OR51B2",5,0.420933885094626,"no",-0.03814344419993,0.0538702112792093,0,NA,NA,"",0.109155976893828,"up","DNAH8 (enriched, 27% vs 8%), NPAS3 (enriched, 13% vs 2%), OR13G1 (enriched, 16% vs 2%), TRPA1 (enriched, 22% vs 5%), WSCD2 (enriched, 16% vs 3%), ZNF99 (enriched, 16% vs 3%)","",567
"RDH11",5,0.421076058828858,"no",3.65473785312789e-06,0.0476195130255819,4,0.994511029425496,"no","",0.0757273086001351,"down","","TP53 (enriched, 26% vs 13%)",567
"BARX2",6,0.421153416431213,"no",-0.0325874339249146,0.0687294230143377,5,0.944690631199183,"no","",8.20483932131731e-22,"up","","",567
"LRRC3B",6,0.421196912805747,"no",-0.0244423077063787,0.0975912040832523,5,0.63577190408669,"no","",2.07113230914819e-11,"down","","",567
"ULBP3",6,0.421240410098476,"no",-0.0501524577154115,0.129170435281663,5,0.110122435749026,"no","",0.120225151081443,"up","","STK11 (depleted, 6% vs 17%)",567
"KIF1B",6,0.421544916815596,"no",0.0333218530562413,0.034581724730581,5,0.244678352376324,"no","",0.915671050383549,"up","","",567
"RAPGEF2",5,0.421597444109108,"no",0.0157281864873573,0.0354211466572862,4,0.684142414680089,"no","",3.43872918119015e-14,"down","","",567
"WSB2",6,0.421631926970399,"no",0.0288804455816387,0.0629936388009837,5,0.0423541632539552,"no","",0.213726268871922,"up","","",567
"NUDT1",6,0.421805958235165,"no",0.00159250094499778,0.0798751224627695,5,0.950117590199908,"no","",7.34314749891872e-21,"up","TP53 (enriched, 38% vs 19%)","TP53 (enriched, 27% vs 13%)",567
"DAPK1",5,0.421881889905841,"no",-0.110637360397561,0.0815774720914065,4,0.574555612267697,"no","",3.28976920669907e-20,"down","","",567
"MC2R",5,0.421976713582889,"no",0.0136397434083701,0.076442871212025,4,0.991294547424147,"no","",0.0619728982061773,"up","","",567
"TIPARP",6,0.422241100117805,"no",-0.0627525944927678,0.160551826297089,5,0.00906183834504719,"no","",2.30567858422546e-09,"down","","STK11 (depleted, 5% vs 18%)",567
"HES1",6,0.422284619299111,"no",0.00380759280831485,0.0477319546275646,5,0.147250318221951,"no","",8.14655159262841e-07,"up","","",567
