"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"OTX1",7,2,0.575119620233806,"no",0.0319462095331959,0.248959059215748,-0.0963355947586499,0.0561787325526191,5,1,NA,NA,"","yes",0,236
"RANBP2",7,2,0.592413039193187,"no",-0.361635699673312,0.134101158965727,-0.488729915703957,0.123155909379805,5,1,NA,NA,"HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","yes",0.0127118644067797,236
"NDOR1",5,2,0.60928879795665,"no",0.0168187371537625,0.0584440624127463,-0.166829325400554,0.325386091401504,5,1,NA,NA,"","yes",0,236
"TREM2",6,2,0.612013054647225,"no",-0.00649439306537246,0.200760187367431,-0.0157874966610515,0.216407161313441,5,1,NA,NA,"","yes",0,236
"TOP3A",5,2,0.651264877829083,"no",0.053372190511452,0.230024664958103,-0.012880106491787,0.164247325938106,4,1,NA,NA,"","yes",NA,236
"ANKRD32",6,2,0.658729209868664,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00847457627118644,236
"TRIM32",7,2,0.671195496127571,"no",0.0695133573771571,0.159266098586083,0.0972500248314138,0.0170975344191642,5,1,NA,NA,"","yes",NA,236
"TAT",5,2,0.683250443385473,"no",NA,NA,NA,NA,4,2,0.225703987676068,"no","","yes",NA,236
"GRM8",6,2,0.736484871408742,"no",-0.0324214617732233,0.202672241551672,-0.0138831785592468,0.000210524620938152,5,1,NA,NA,"","yes",0.0169491525423729,236
"HECW1",7,2,0.738990471595867,"no",-0.121715974099421,0.329083966256885,0.13876844389784,0.245979700330927,5,1,NA,NA,"","yes",0.00423728813559322,236
"CR1",5,2,0.745043648776193,"no",-0.204158031713744,0.250344023520232,-0.277266962852255,0.269542281018262,4,1,NA,NA,"AML_ambiguous,MM_ambiguous","yes",0.0127118644067797,236
"ZNF397",7,2,0.750116945806292,"no",-0.579129424771882,0.411829645566464,-0.203298879692672,0.289719521143382,5,1,NA,NA,"","yes",0,236
"RAPGEF3",7,2,0.754599458079158,"no",0.00425095339811342,0.442970428825743,-0.311765808634787,0.089570504958829,5,1,NA,NA,"","yes",0,236
"FAT3",5,3,0.760982230729418,"no",-0.0155326803672878,0.187106471786285,0.427869729363871,0.139155215533235,0,0,NA,NA,"BCNET_ambiguous,BRCA_ambiguous,CLL_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LUSC_ambiguous,PAAD_ambiguous,PRAD_ambiguous,SBCC_ambiguous,ST_ambiguous,THCA_ambiguous","yes",0.0296610169491525,236
"ANK1",7,2,0.76456060840886,"no",0.139674896077956,0.197914780977222,-0.0909344387583254,0.00625161947868079,5,1,NA,NA,"","yes",0.00847457627118644,236
"WNT2",6,2,0.778126921908131,"no",0.0875255863975505,0.135799643863524,0.10072001538734,0.0695673679329175,5,1,NA,NA,"","yes",0.00423728813559322,236
"PPP1R13B",5,2,0.794480699874749,"no",-0.000511496388882812,0.236516322950257,0.138887938857868,0.0526542501097179,5,1,NA,NA,"","yes",0.00423728813559322,236
"ICK",5,2,0.806116021249029,"no",-0.129437893303142,0.0766768204565338,-0.14439892678163,0.218685434315045,4,1,NA,NA,"",NA,NA,236
"DLG5",5,2,0.807098482791947,"no",-0.0298486332969955,0.142616183018829,0.004233258558124,0.0780781647581806,4,2,0.468758520949629,"no","","yes",0,236
"MTMR3",6,2,0.818723950225029,"no",-0.01543970974901,0.253865619174099,0.229124771616777,0.122243930969251,5,1,NA,NA,"","yes",0.00423728813559322,236
"TECPR1",7,2,0.821229622750189,"no",-0.251563981347249,0.262559610085169,-0.547932126166531,0.112722642769939,5,1,NA,NA,"","yes",0.00423728813559322,236
"CABLES1",7,2,0.824777399091064,"no",NA,NA,NA,NA,5,1,NA,NA,"","yes",NA,236
"MGA",7,2,0.834410943951399,"no",-0.278052792762797,0.163722634331534,0.0642940771572144,0.00149423276334949,4,2,0.219988846672814,"no","CLL_LoF,LUAD_LoF","yes",0.0127118644067797,236
"MCF2L",6,2,0.842640369261972,"no",-0.0872660278117855,0.0715143632299013,0.032655905848809,0.171606028001236,5,1,NA,NA,"","yes",0.0127118644067797,236
"IGSF11",5,2,0.858999315861338,"no",0.367281261171364,0.585343559068297,0.357355668131812,0.152111845178353,5,1,NA,NA,"","yes",0.00423728813559322,236
"ABCC12",5,2,0.860393047537209,"no",-0.00437296992445522,0.106831887090951,-0.0914778105606782,0.0406029425602968,5,1,NA,NA,"","no",0.0127118644067797,236
"FNIP1",7,2,0.865434262538388,"no",-0.286691375308098,0.288381216634938,0.128837631475658,0.0194452437634595,5,1,NA,NA,"","yes",0.00423728813559322,236
"DCLK2",6,2,0.871454526319223,"no",0.237837166464234,0.077922684632564,0.189714992228817,0.0277074492629835,5,1,NA,NA,"","yes",0.0127118644067797,236
"KANK1",3,2,0.874928238655033,"no",-0.0602360054425585,0.142601434257851,0.0248659540829169,0.0423924088507486,2,2,0.425783890506561,"no","","yes",0.00423728813559322,236
"MTMR2",6,2,0.87953974659611,"no",-0.0834156524880826,0.184444280245151,0.318804126639186,0.141255519073047,5,1,NA,NA,"","yes",NA,236
"RIPK4",6,2,0.881150553409711,"no",-0.119404010868798,0.0587493897283281,-0.0699212200255876,0.00121101418891287,4,2,0.198906630093545,"no","","yes",0.0127118644067797,236
"TRIO",7,2,0.885699774982446,"no",-0.141962370625915,0.364698968393286,-0.0593626222803346,0.025185479988296,5,1,NA,NA,"","yes",0.00847457627118644,236
"PARP8",7,2,0.907979673256033,"no",-0.0576498002530055,0.31277924222127,0.077542181676443,0.183723500197414,5,1,NA,NA,"","yes",0.00847457627118644,236
"MYO3B",5,2,0.925465855272659,"no",0.203704587153037,0.240674209831665,0.181049402909384,0.153046961225279,4,1,NA,NA,"","yes",0.0127118644067797,236
"TLN1",6,2,0.932719432651963,"no",-0.501187583152714,0.289497928370766,-0.0630050584233877,0.129452976877394,4,2,0.468097941493525,"no","","yes",0.00847457627118644,236
"ANKRD44",4,2,0.951041335234233,"no",NA,NA,NA,NA,4,1,NA,NA,"","yes",0,236
"PRMT2",6,2,0.979212214052312,"no",-0.0728600230164156,0.240881177998359,0.104439740353832,0.0924702917740777,4,1,NA,NA,"","yes",0.00847457627118644,236
"NEK1",4,2,0.979917674119139,"no",-0.343069668995091,0.0547031964426118,-0.0274772861812856,0.0159919991216326,3,2,0.886101604368639,"no","","yes",0.00423728813559322,236
"BTNL2",5,2,0.98169513786307,"no",-0.129682889456252,0.157418168263227,-0.014177059390038,0.0886100602715899,0,0,NA,NA,"","no",0.00423728813559322,236
"ANKRD11",6,2,0.98709936459624,"no",-0.468520387889313,0.0642899020596507,-0.0867834152601488,0.0702771859751773,4,1,NA,NA,"","yes",0.00847457627118644,236
"SP140L",5,2,0.993740095235313,"no",-0.115034474481524,0.0425092265121541,0.171548719462206,0.185990426111047,3,1,NA,NA,"","yes",0.00423728813559322,236
