"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"USP35",7,2,0.516595898294922,"no",-0.104809764020233,0.354524713972162,-0.321809092176943,0.119108212916943,4,2,0.611366370311302,"no","",0.00213959346671085,0.0158102766798419,253
"SLC2A4RG",6,2,0.52568824505926,"no",0.0729591643524483,0.0598119620506806,0.349977842787531,0.230211602278161,5,0,NA,NA,"",5.48964141861907e-05,0.0355731225296443,253
"FZD1",6,2,0.526684915834443,"no",-0.0396290902382105,0.358591065749649,-0.153411940535164,0.107797130757244,4,2,0.451285784993048,"no","",0.109716108102675,0.0118577075098814,253
"ESPNL",5,2,0.528287264301858,"no",-0.0168916430496705,0.378014165400801,-0.0190966335485796,0.0872589521691804,3,2,0.66835858823326,"no","",NA,0.00395256916996047,253
"MAPK7",4,2,0.54225019587645,"no",-0.115520473213846,0.0975459253814843,0.207503299156858,0.138919994399645,4,1,NA,NA,"",1.64430529300439e-11,0.0869565217391304,253
"LLGL1",6,2,0.542823052090247,"no",-0.130795063207075,0.37754877856066,-0.213598233609488,0.066994012340892,4,1,NA,NA,"",3.26995597701621e-09,0.0909090909090909,253
"AGAP2",5,3,0.543239203539761,"no",-0.0856267616836533,0.246746433178701,0.0777001754105252,0.128616672122283,5,1,NA,NA,"",7.1528324322933e-11,0.173913043478261,253
"ANKAR",6,2,0.544148704260988,"no",-0.058612724123231,0.274670148056619,-0.222915806115723,0.105078753348255,5,1,NA,NA,"",0.609758423369886,0.00790513833992095,253
"EMP1",5,2,0.549311452831032,"no",-0.0540696061178637,0.085240285576186,-0.115352566652279,0.112893721489654,4,2,0.688518178836158,"no","",0.0314385525435017,0.0118577075098814,253
"HIRA",7,2,0.559337807202695,"no",-0.190750262358116,0.271083364018076,-0.158419450921523,0.110098206300418,4,2,0.49390490940232,"no","",0.00104115721630267,0.0395256916996047,253
"ROR1",7,2,0.559873956536793,"no",-0.102086960931959,0.105207934410976,-0.193470969392121,0.050144588480188,4,2,0.56341598478959,"no","",0.00292190482455967,0.0355731225296443,253
"ZGPAT",7,2,0.563806828341665,"no",-0.000452961948242933,0.0815198803271699,0.181667098622555,0.075873366385223,6,0,NA,NA,"",8.22384062343488e-06,0.0355731225296443,253
"STEAP1",4,2,0.568085254406852,"no",0.145931277554006,0.210428869844596,0.117511366136025,0.0947810562537197,3,2,0.522673305085763,"no","",0.144350482156524,0.00790513833992095,253
"PDE4B",5,2,0.568770883854299,"no",-0.055940987602975,0.331742441650604,-0.135247454430575,0.0407723129897477,4,2,0.556599213733214,"no","",0.0403678378115973,0.0355731225296443,253
"PI4KAP1",6,2,0.571497810178449,"no",-0.0587842950434663,0.162554922915616,-0.0765747123015855,0.195999812460997,0,0,NA,NA,"",0.0545270026533159,0.0395256916996047,253
"PRKAA2",7,2,0.575910383064382,"no",-0.032362233989774,0.222489360083115,0.109095188047246,0.0667342137995866,4,2,0.306174445219881,"no","",0.877372312098123,0.0355731225296443,253
"METTL21B",4,3,0.582604479434614,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.16600790513834,253
"WDR75",7,2,0.589520218970835,"no",-0.77162845675131,0.255105686315975,-0.573063656549583,0.311140851497345,5,1,NA,NA,"",0.486348857103632,0.00790513833992095,253
"PDE6H",6,2,0.591300647982489,"no",0.117045769799382,0.187561883947118,0.14643259828898,0.010718791092166,4,2,0.516625072083933,"no","",0.331108835655373,0.0158102766798419,253
"EPN2",6,2,0.596381462790781,"no",-0.390605801120993,0.35864012990156,-0.637203624693459,0.237309967272409,4,1,NA,NA,"",1.30572024834653e-06,0.0869565217391304,253
"COPS3",5,2,0.607158993125033,"no",-0.492695662704939,0.114855354862497,-0.425751698488028,0.0702590804893405,5,1,NA,NA,"",1.92912563014552e-10,0.075098814229249,253
"KCNQ2",6,2,0.610108947068063,"no",-0.125585566269237,0.259989615091763,-0.144908417477512,0.0959705833758784,6,0,NA,NA,"",0.000893769044588517,0.0355731225296443,253
"AK4",6,2,0.615407628628458,"no",-0.17467339969386,0.553623935581572,0.0928694120886912,0.148174159885703,4,2,0.392787200623352,"no","",0.138945055854448,0.0276679841897233,253
