"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TBL1XR1",32,8,0.984049445548059,"no",3.76966101559263e-11,"up"
"KLRG2",34,6,0.984056641609032,"no",8.29613239913059e-19,"up"
"PTK6",36,4,0.984145727314227,"no",0.000319359958520525,"down"
"POU3F3",36,4,0.98425836244907,"no",8.26530006681902e-07,"down"
"MRPL38",38,2,0.984304815768459,"no",1.54194681261423e-11,"up"
"SLC2A2",37,3,0.984328381598039,"no",0.338271485870206,"down"
"STARD5",37,3,0.984351999014737,"no",9.00883030693706e-10,"down"
"MCM4",35,5,0.98441878670889,"no",2.03626099913882e-57,"up"
"SOX21",33,7,0.984504963272159,"no",0.00163824396524881,"up"
"LRRN4CL",38,2,0.98453799426214,"no",5.42095100072806e-12,"down"
"WNK4",31,9,0.984567531525936,"no",0.00965993987872055,"up"
"ALPK3",31,9,0.984581213207091,"no",8.21876130019819e-19,"up"
"SORCS2",32,8,0.984845354951909,"no",0.0117285633584858,"down"
"HSPA1A",35,5,0.984857582717458,"no",0.000230018376365733,"down"
"TMC4",37,3,0.984902428281043,"no",1.92301159363864e-10,"down"
"MYC",31,9,0.98496442295708,"no",3.43999801355061e-108,"up"
"SAE1",39,1,0.985056863459724,"no",5.61670590006757e-12,"up"
"SOD2",37,3,0.985073387723568,"no",3.6350231317647e-05,"up"
"SLC19A2",33,7,0.985084733511265,"no",4.84432676193888e-22,"up"
"NPY5R",36,4,0.985084967230639,"no",2.38847949820968e-05,"down"
"MMP10",34,6,0.985103459574864,"no",7.76954132978956e-14,"up"
"RAPGEF3",36,4,0.98512296041901,"no",0.173300187105867,"up"
"LATS2",27,13,0.985133627285278,"no",0.57812223061382,"down"
"SETD6",36,4,0.985207587954714,"no",3.06118095009161e-73,"up"
"KRT85",38,2,0.985211206989624,"no",0.00100054680807232,"up"
"HTR3C",37,3,0.985309977876967,"no",2.2564316382742e-07,"down"
"LYL1",39,1,0.985354680959622,"no",5.41717590509817e-08,"down"
"OPRK1",36,4,0.985378875931768,"no",0.0604829641411939,"up"
"CCND2",36,4,0.985451336337741,"no",3.80146240754267e-19,"up"
"RAC2",36,4,0.985471537330627,"no",0.000780193743833414,"down"
"ATP6V1B1",34,6,0.985480495342913,"no",1.59299744196588e-17,"up"
"CCDC91",35,5,0.985488996860471,"no",0.0372871020202875,"down"
"KIT",33,7,0.98551942875362,"no",6.63063981676829e-15,"down"
"ASCL1",36,4,0.98553810330392,"no",4.22214148093471e-07,"down"
"AGPAT6",37,3,0.98557806075226,"no",NA,NA
"CHCHD7",38,2,0.985718158389195,"no",3.62578172697363e-30,"up"
"ARX",38,2,0.985726585714011,"no",0.534840033864304,"up"
"HOXD8",38,2,0.985744285283584,"no",4.96015411589162e-06,"down"
"SH2B3",38,2,0.986027207435106,"no",8.55915457889223e-09,"down"
"WNT11",36,4,0.986034109798569,"no",3.85428018910928e-22,"up"
"CXorf61",40,0,0.986049965314729,"no",NA,NA
"EPSTI1",35,5,0.98605995402543,"no",3.22251629493389e-16,"up"
"ESX1",38,2,0.986090341674831,"no",0.0174992659437513,"up"
"IKZF1",30,10,0.986109309016932,"no",6.65154101677252e-10,"down"
"SDF4",37,3,0.986204920646886,"no",0.0137855934999687,"down"
"CDH17",35,5,0.986256333255098,"no",6.56033992721044e-09,"down"
"NUMA1",30,10,0.986352535919093,"no",0.110987158012757,"down"
