"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"MATN2",33,7,0.00587351800644968,"no",2.98598035587407e-15,"down"
"SIRT5",34,6,0.0059618508361784,"no",2.15095630528531e-09,"up"
"ZRSR2",39,1,0.00601640165916946,"no",1.15059325608292e-15,"up"
"TRPM7",35,5,0.00603352395802164,"no",0.000631308987740183,"down"
"PDE1A",38,2,0.00604596369520725,"no",4.91551568411716e-07,"down"
"COPS3",36,4,0.00612674265249035,"no",0.0748500145047783,"up"
"HOXA11",37,3,0.00619220744466656,"no",2.44199105414628e-05,"up"
"GLTSCR2",37,3,0.00619949410889027,"no",NA,NA
"RAPGEFL1",34,6,0.00624620586608697,"no",3.30720242085467e-10,"down"
"CDK10",34,6,0.00628289770716016,"no",6.93954047476647e-38,"up"
"ADAM30",37,3,0.00628405872503511,"no",0.0117055860837279,"up"
"PARD6A",36,4,0.00630655582771549,"no",7.71175267794467e-37,"up"
"STK32C",37,3,0.00640075649095688,"no",2.68763856713432e-45,"up"
"KLHL25",34,6,0.00641419215817342,"no",1.19362041062702e-27,"up"
"NCKAP1L",35,5,0.00644771004923948,"no",1.57142590484571e-12,"down"
"SOX14",35,5,0.00647860766584488,"no",4.10500896378371e-41,"up"
"CDKL3",35,5,0.00652824796501538,"no",2.47638767764832e-15,"up"
"VWC2",32,8,0.00655542902301222,"no",9.64946821366486e-13,"down"
"SETD3",36,4,0.00656193275705086,"no",2.68776254587294e-09,"down"
"PAEP",38,2,0.00661142958529549,"no",0.284738175023038,"up"
"MMS22L",36,4,0.00661808883923968,"no",6.0910017261322e-62,"up"
"SLC39A10",36,4,0.00665458291387959,"no",1.19934776383653e-138,"up"
"ESPN",33,7,0.00665600831967005,"no",1.36001293114568e-06,"down"
"CHST7",34,6,0.00667920916878677,"no",0.000483474365858877,"down"
"NKX3-2",37,3,0.0067042695695732,"no",0.000162333508277288,"down"
"NOTCH1",27,13,0.00671754936479201,"no",8.22925848084427e-16,"up"
"TMPRSS3",40,0,0.00680396155507019,"no",2.75614076662108e-35,"up"
"NOSTRIN",37,3,0.00680552888340322,"no",2.67481731418609e-05,"down"
"SRGAP2",37,3,0.006811236782329,"no",3.12375382567378e-15,"up"
"EIF4G3",33,7,0.00682844010843019,"no",1.42311668733747e-07,"down"
"TREX2",39,1,0.00686038308826868,"no",2.20224861454483e-51,"up"
"FOXF1",30,10,0.00692579138726438,"no",2.72644107974049e-07,"down"
"PPAN-P2RY11",40,0,0.00695051918661406,"no",0.224318329604354,"down"
"RNF20",30,10,0.00695381415333502,"no",0.0449518533201823,"up"
"ETV1",31,9,0.00700904174589909,"no",0.190985349876212,"up"
"NEIL2",32,8,0.00702866795038099,"no",1.88141722793986e-43,"up"
"SCN4B",39,1,0.00704488864742389,"no",2.57007130285984e-20,"down"
"PMEPA1",33,7,0.00707042329886739,"no",5.74395459683939e-77,"up"
"GALK1",32,8,0.00710924041973366,"no",2.26950264372331e-36,"up"
"ILDR1",36,4,0.00711768939658459,"no",8.63922083157672e-09,"down"
"NBN",33,7,0.00718641828936905,"no",2.39508425238161e-16,"up"
"PABPN1",39,1,0.00726039934159635,"no",2.51095104000626e-15,"up"
"GSTM3",37,3,0.00729408643682818,"no",8.03147337888236e-05,"down"
"PCM1",29,11,0.00733622742618903,"no",0.417673524466747,"down"
"TRIM32",34,6,0.00734450854472589,"no",2.80848279927622e-13,"up"
"RBFOX2",33,7,0.00738699744290758,"no",0.0594163701984481,"down"
"TPM4",36,4,0.00740321243980213,"no",5.21463960272527e-22,"up"
"LOC100996758",40,0,0.00740744773481245,"no",NA,NA
"GLS",37,3,0.00741532006825549,"no",1.54616439896818e-08,"up"
"ATG4A",38,2,0.00742952053803808,"no",7.97795118547689e-21,"down"
"MEN1",37,3,0.00747788261365174,"no",9.8064975153428e-32,"up"
"IRF3",38,2,0.00747969990031475,"no",1.09634325196918e-35,"up"
"ARHGAP18",31,9,0.00749019135000449,"no",3.62424779422274e-11,"up"
"PFKFB2",38,2,0.00755313508911373,"no",7.63363362449913e-06,"down"
"FES",35,5,0.00757630358771087,"no",4.2699250590455e-09,"down"
"NCKAP1",33,7,0.00759239309510524,"no",0.000660992514957992,"up"
"NFKB1",33,7,0.00761091138374979,"no",0.00197818821177184,"down"
"CA3",38,2,0.00762172614344423,"no",0.0815598792052341,"up"
"OGG1",40,0,0.00764039611100647,"no",1.54096117096462e-07,"up"
"MYOG",39,1,0.00765585271350633,"no",0.000794882219890917,"up"
"TAS1R2",34,6,0.00765746906016842,"no",0.00704504133656795,"up"
"CDH6",32,8,0.00775952627118319,"no",2.01879389988697e-21,"up"
"PFKFB4",33,7,0.00780433758450465,"no",0.000179626757335489,"up"
"KLF7",36,4,0.00780544128205235,"no",7.48460322715522e-09,"up"
"WNT9B",39,1,0.00783721617135924,"no",0.669512828624273,"up"
"CLDN3",39,1,0.00785394147238698,"no",0.00205113460154026,"up"
"PLAG1",39,1,0.0079214301584735,"no",5.31073109327134e-20,"up"
"BCLAF1",27,13,0.0079604934786806,"no",3.39080817674252e-07,"up"
"STK40",31,9,0.00796222748024743,"no",0.105714487627716,"down"
"PRPF6",37,3,0.00798197761385472,"no",1.81636861738364e-78,"up"
"TOP1",32,8,0.00801941383384912,"no",6.67803604165905e-16,"up"
"PLK4",34,6,0.00805653643769383,"no",3.33396883456424e-36,"up"
"CALM2",38,2,0.00806720533470287,"no",6.11633239604172e-07,"down"
"HMG20B",40,0,0.00810723270925948,"no",1.1538482864254e-11,"up"
"DLST",39,1,0.00813797401044415,"no",4.43371421512013e-28,"down"
"ATG4D",38,2,0.00815980882953169,"no",9.56013115637219e-11,"down"
"VPS28",35,5,0.00817573468710947,"no",0.00381442811921845,"up"
"LHX9",35,5,0.00822451827693813,"no",0.24400848375179,"up"
"GPR63",34,6,0.00823622786483492,"no",0.0328401902112672,"up"
"KATNB1",38,2,0.00823903895394155,"no",1.15398787475261e-39,"up"
"SCN3B",37,3,0.00834564363383531,"no",4.72869795412884e-12,"down"
"TGIF1",33,7,0.00838200745476272,"no",1.29518773213321e-60,"up"
"RAX",35,5,0.00838725361664769,"no",7.11523155873152e-07,"up"
"SLA",33,7,0.00846139979726149,"no",0.026997218965352,"down"
"PKNOX2",34,6,0.00848246813093864,"no",1.05807527579501e-19,"down"
"CLCN5",39,1,0.00859456206267097,"no",2.43377640430808e-31,"up"
"RBPJL",33,7,0.00869662988797312,"no",0.0018813048543082,"up"
"KAT5",36,4,0.00870596637872829,"no",4.69228383048957e-05,"down"
"ALS2CR8",40,0,0.00870692845421165,"no",NA,NA
"MAP2K1",38,2,0.00870776666225192,"no",1.26036600568495e-09,"up"
"MBD2",31,9,0.00881697600179351,"no",3.01399196984637e-08,"down"
"BCL2",36,4,0.00885283840600598,"no",4.62485428158962e-25,"down"
"GNG2",40,0,0.00891107293029052,"no",1.30229930703716e-12,"down"
"NPM1",40,0,0.00899218158994686,"no",4.9313243988027e-48,"up"
"ARSG",29,11,0.0089942988783405,"no",0.353291037475788,"down"
