"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"F2RL1",22,0.849813090169864,"no",0.0110258645763494,0.103542663256268,18,0.999979840423814,"no","",0.0150904451016654,"down","","GATA3 (depleted, 9% vs 16%)",986
"STK31",20,0.84981487518289,"no",-0.108998522385666,0.149234900783021,16,0.999999999818391,"no","",0.935102792886813,"up","","",986
"CBLN1",20,0.850079160756369,"no",-0.0148195501127394,0.188355620729202,17,4.28887280193793e-09,"yes","",3.91462180534761e-23,"down","PIK3CA (enriched, 37% vs 26%)","CDH1 (enriched, 17% vs 9%), GATA3 (depleted, 9% vs 16%), TP53 (depleted, 11% vs 18%)",986
"ATP11B",18,0.850116561480115,"no",0.0324302904602471,0.133171523879745,16,0.996890147351684,"no","",2.72942588590323e-21,"down","TP53 (enriched, 28% vs 14%)","CDH1 (depleted, 10% vs 16%), TP53 (enriched, 20% vs 9%)",986
"PLA2G6",23,0.85025498627374,"no",0.0176500085969094,0.143752774292555,18,0.33769615482956,"no","",1.03413358491598e-08,"down","","CDH1 (enriched, 17% vs 9%)",986
"HELZ",16,0.850262146011059,"no",-0.13096062047065,0.159736919964543,13,0.122893417454305,"no","",1.24446210340423e-07,"down","","",986
"MLLT3",21,0.850433209842954,"no",-0.0981306992253523,0.210512545546696,18,0.998750276125199,"no","CM_Act",0.00111579078113398,"down","CSMD3 (depleted, 2% vs 5%), PIK3CA (enriched, 39% vs 24%), TP53 (depleted, 15% vs 27%)","CDH1 (enriched, 17% vs 9%), GATA3 (depleted, 8% vs 17%)",986
"PRCC",22,0.850770860210857,"no",-0.0045143882263342,0.0937592465938473,18,1.04715674565911e-05,"yes","",1.54460209395614e-52,"up","","",986
"GABARAPL2",21,0.851220818859537,"no",0.0504658280744915,0.155879650407077,17,0.996735289304418,"no","",6.79376872799643e-18,"down","PIK3CA (depleted, 26% vs 37%)","GATA3 (enriched, 16% vs 9%), TP53 (depleted, 11% vs 17%)",986
"SERPING1",22,0.85136484987475,"no",0.0330197857321479,0.102486153345879,17,0.301942341074486,"no","",1.27853313166389e-41,"down","PIK3CA (enriched, 37% vs 27%), TP53 (enriched, 25% vs 17%)","CDH1 (enriched, 17% vs 8%), GATA3 (depleted, 9% vs 16%)",986
"CCDC144A",21,0.851454733418669,"no",0.153876910429347,0.161124995184966,17,3.17035086343391e-10,"yes","",6.77128565397875e-17,"down","","",986
"CCDC144B",21,0.851454733418669,"no",0.0647658983392713,0.166822920915512,0,NA,NA,"",1.18938313526798e-10,"down","","",986
"BTBD18",21,0.851985589297742,"no",-0.0015085480271395,0.131040542457052,17,0.989309792928472,"no","",4.43260354513399e-08,"up","","",986
"PEAK1",23,0.852202575578905,"no",NA,NA,18,0.999999999092733,"no","",4.11548212051035e-30,"down","","TP53 (depleted, 11% vs 18%)",986
"NPHS1",22,0.852673995504711,"no",NA,NA,17,0.792766630072063,"no","",1.47238532958684e-13,"up","","",986
"OR51E1",22,0.852886154626334,"no",0.0669945750797752,0.182981553997379,17,0.986782160387175,"no","",0.00170676732107786,"down","","CDH1 (depleted, 8% vs 18%)",986
"CELP",22,0.852902035957861,"no",0.152275939189046,0.224073267357991,0,NA,NA,"",0.052291249982825,"down","","",986
"COL9A2",22,0.853591929802488,"no",0.0637170926016759,0.127455646980204,18,0.996153836502731,"no","",0.219194940493847,"up","","CDH1 (enriched, 18% vs 8%), GATA3 (depleted, 6% vs 19%)",986
"CARKD",20,0.853638180312959,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,986
