"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"CHRNA6",21,2,0.106415093892413,"no",-0.0793065618483283,0.132041219201181,-0.170822214818423,0.108365998891169,16,2,0.152678982912248,"no","",0.97264645397797,0.0663551401869159,1070
"SLAMF7",21,2,0.107129692041369,"no",-0.17076896390815,0.137306140936754,-0.128864807967853,0.0195171946330145,16,2,0.744348048984216,"no","",0.764255682119116,0.091588785046729,1070
"OR4K14",19,3,0.108639496453443,"no",-0.0390953227463027,0.189933341326079,-0.102674007121156,0.0452959010991033,16,2,0.45803993998425,"no","",NA,0.00560747663551402,1070
"LRRC59",20,2,0.108640168361518,"no",-0.0156161846144958,0.166193096490059,0.0830899436006201,0.0504819329697499,17,1,NA,NA,"",2.15484060090728e-34,0.0644859813084112,1070
"SLC16A6",15,6,0.108662458376521,"no",-0.000643508396469799,0.185764917774348,-0.0583423425298474,0.19518023443494,13,5,0.165107249054806,"no","",3.94739452278854e-07,0.0588785046728972,1070
"XPOT",18,2,0.109661114491972,"no",0.0431213711762867,0.108232383949926,-0.0859517664059862,0.0899892531399178,15,1,NA,NA,"",5.98609516569498e-06,0.0121495327102804,1070
"RFC3",21,2,0.110935933995228,"no",-0.354249692182733,0.335417016680115,-0.46042390256698,0.118104854680614,16,2,0.507585475093536,"no","",1.0940403412972e-05,0.00654205607476636,1070
"LCN15",21,2,0.111361968973878,"no",0.0533703263730062,0.0999154116555954,0.116398848842641,0.0929228205621089,17,1,NA,NA,"",0.390306700871371,0.00560747663551402,1070
"FAM69B",20,2,0.112014483848998,"no",0.055010220751957,0.125131491329076,0.0699766395578476,0.0578952259638914,17,1,NA,NA,"",NA,0.00560747663551402,1070
"SRSF7",20,2,0.112843960796616,"no",-0.378325290758199,0.463121484916557,-0.579259603720909,0.0321559741118226,15,3,0.511013844422875,"no","",0.00891722692375764,0.00560747663551402,1070
"TRA2B",18,4,0.112890685872367,"no",-0.286045608907838,0.355245049439661,-0.369132272613811,0.0344415598339948,17,1,NA,NA,"",0.00140877147011807,0.0168224299065421,1070
"POLB",21,2,0.113069776920851,"no",0.0203346299737166,0.120211495368579,-0.0243734335616937,0.0708680171339478,16,2,0.543363942043039,"no","",1.55244234050988e-29,0.0747663551401869,1070
"GOT1L1",15,4,0.113324602341488,"no",-0.00269478944351228,0.162413890483532,0.0243482619171567,0.191876438366086,13,3,0.257448110573926,"no","",5.5451123803951e-14,0.111214953271028,1070
"DIDO1",16,3,0.115186331945803,"no",-0.0247151607072007,0.122027744354316,-0.134287499436537,0.156737863016889,13,2,0.523071547978743,"no","",2.95933785378028e-15,0.0439252336448598,1070
"ACTG1",18,3,0.11585468079479,"no",-0.665962316764683,0.352609521547935,-0.942424819988988,0.36026898906075,15,2,0.431467970326256,"no","",4.69479096814346e-09,0.0355140186915888,1070
"OR2AT4",21,2,0.115910250911768,"no",0.0480946927913405,0.168116082565549,-0.0385921627988252,0.0616660945030418,17,1,NA,NA,"",1.16614273497132e-09,0.0429906542056075,1070
"CA13",20,3,0.116204655587332,"no",0.0659046904666413,0.227046221567377,-0.12759775324073,0.0578720744283215,16,2,0.55254738003415,"no","",0.0209550922755163,0.0775700934579439,1070
"METTL13",19,2,0.118185899514814,"no",-0.091428135754221,0.105429693684214,-0.05261636932036,0.0259034812862268,15,2,0.763568977455129,"no","",NA,0.0663551401869159,1070
"NEUROD1",20,2,0.118265117852296,"no",0.0764567353584099,0.163396952410524,0.0568615320228084,0.000506529274142492,16,2,0.395819264721805,"no","",0.124828372873863,0.00560747663551402,1070
"NCOA3",17,5,0.118628835300381,"no",0.0492014459792871,0.151570069684262,-0.021745338148653,0.531476677304205,15,3,0.0194929009474137,"no","",9.33571715752707e-07,0.0186915887850467,1070
"CAPN2",20,2,0.120141429037284,"no",-0.0814363730120471,0.248889544500933,-0.156158871147631,0.00448640939533801,17,1,NA,NA,"",9.05005683687441e-06,0.088785046728972,1070
"MATN2",16,7,0.120307379407894,"no",0.0205763950617942,0.149723920431454,0.0198555328024855,0.175660955783233,12,6,0.453143348582159,"no","",0.198055152540488,0.097196261682243,1070
"CACNA1C",18,2,0.120403145798523,"no",-0.263169709277218,0.327426553199937,-0.416128083817229,0.0472230800282399,13,2,0.804903497283135,"no","",0.976185249759255,0.0214953271028037,1070
"WDR67",10,12,0.120892260098575,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"PA2G4P4",20,2,0.120892585910319,"no",0.0188149953031782,0.290350012728088,0.144385913474221,0.0448533691109173,0,0,NA,NA,"",0.0694634861486315,0.0149532710280374,1070
"PRDM9",16,4,0.122312662586013,"no",-0.0238262455658911,0.174128363482486,0.00755187362334741,0.0855030264003509,13,3,0.621607843160364,"no","",0.00175246836963252,0.0130841121495327,1070
"CD247",21,2,0.124067305735578,"no",-0.147153474437228,0.172465399778724,-0.0894392822491942,0.0855583451754008,16,2,0.617234156615319,"no","",0.840962082996542,0.0766355140186916,1070
"HLTF",18,2,0.124655131264995,"no",-0.0240135923752307,0.125853646627231,0.0395550501125791,0.0157690642411128,14,2,0.365700358277811,"no","",0.000103030481436736,0.011214953271028,1070
"LRRC15",15,7,0.124823438501031,"no",-0.0918857489985084,0.130840576938495,-0.237233465637638,0.252814907436654,14,4,0.519167288188038,"no","",0.618713551119722,0.0205607476635514,1070
"TREML2",20,2,0.124998313846114,"no",-0.0394343841095997,0.134834076032516,-0.0819890123063423,0.0590850481547108,15,2,0.469028551609307,"no","",0.0170249181910352,0.0130841121495327,1070
"NAPRT1",16,7,0.125606107206164,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.104672897196262,1070
"LDHAL6A",19,3,0.125943517010838,"no",-0.0929530129747192,0.173180765124306,-0.158599184497027,0.04678331522316,15,3,0.699327583284617,"no","",0.000605079472993104,0.00747663551401869,1070
"NUDT1",21,2,0.126310931893762,"no",0.0603576919980345,0.0510722798442904,0.0305147017077089,0.0371153767707069,16,2,0.759493199741644,"no","",0.00120062714147544,0.00654205607476636,1070
"OR2T29",15,6,0.126706618773646,"no",NA,NA,NA,NA,13,4,0.482693254537349,"no","",0.0468031285824181,0.0990654205607477,1070
"CDK4",20,2,0.127294815029335,"no",-0.347366846732502,1.16055550960484,-1.02500751729164,0.870544488577017,16,2,0.477085749569635,"no","CM_Act",7.29950788301382e-08,0.0130841121495327,1070
"ZNF444",20,2,0.127827885492997,"no",-0.104502714293964,0.325668089571482,-0.197001928088658,0.042051173802833,16,2,0.186694061185141,"no","",1.92130283517038e-09,0.0186915887850467,1070
"FASN",19,3,0.128186545208048,"no",-0.0984477764481992,0.157477362859063,-0.203192669556117,0.216724783871296,16,2,0.34950030760488,"no","",7.60145799521023e-07,0.0373831775700935,1070
"TMEM44",15,7,0.128202838751039,"no",-0.0465885645634623,0.186124855125167,-0.0946995545829054,0.0688513379716568,13,5,0.620458474189458,"no","",3.72034163107994e-05,0.0205607476635514,1070
"PAX6",19,3,0.128781943891243,"no",0.0651535467875021,0.178427773133359,-0.0554474677822108,0.160896183558047,16,2,0.266727307341087,"no","",0.00867429567205278,0.0158878504672897,1070
"ERAL1",20,2,0.130482408634139,"no",-0.0948261132853516,0.17859499317789,-0.121048167625144,0.0201220204794435,15,2,0.552436495966939,"no","",1.35668380575102e-23,0.0439252336448598,1070
"MLLT11",20,2,0.131083529905803,"no",0.0174918449147065,0.0984723370771547,-0.0745115606642029,0.0136415880245485,16,2,0.234791707118204,"no","",0.000413546585789919,0.091588785046729,1070
"RECQL5",18,5,0.131393755147422,"no",-0.0357698437269236,0.182868528703536,0.0403230734206238,0.205940052044053,14,4,0.37923687718869,"no","",9.8388373644481e-13,0.0439252336448598,1070
"TK1",19,3,0.131451084741511,"no",-0.0582481527623089,0.188348491349725,-0.0173515614882283,0.0872613047234237,16,2,0.718648878474724,"no","",7.67132316282755e-12,0.0401869158878505,1070
"MCF2L",17,4,0.132500358350658,"no",0.060784786670342,0.166328041441522,0.0869254942283396,0.0491579005931111,14,3,0.768691241164913,"no","",0.0170996730803102,0.0177570093457944,1070
"INPP5F",19,2,0.133708825345658,"no",0.0567962073995855,0.131485435974952,-0.0183492957806735,0.0072053692011088,15,2,0.442749353211779,"no","",0.00327162972951747,0.00373831775700935,1070
"TRPS1",14,8,0.135021822135422,"no",-0.367122239319579,0.509223796677091,-0.52846996240017,0.491013651755676,12,6,0.856976538944896,"no","",0.041845211750043,0.134579439252336,1070
"METTL2B",20,2,0.138033862322544,"no",-0.106235026102293,0.240316177440492,-0.143066217575512,0.106219114086102,17,1,NA,NA,"",2.46290461473394e-07,0.00934579439252336,1070
"DGKB",21,2,0.138792361164004,"no",0.0989742455157515,0.10254920320478,-0.0561454933721017,0.130260609394398,16,2,0.736117264596119,"no","",0.208869845539054,0.00560747663551402,1070
"PMP2",17,5,0.138857364420923,"no",-0.0445147375849508,0.148514487487531,-0.0768691113741176,0.0612959613642152,14,4,0.474250650014255,"no","",0.26096862841215,0.0738317757009346,1070
"CDC42BPA",19,2,0.139429125682569,"no",-0.152714599203545,0.25953635727398,-0.308920857038073,0.153039266260144,16,1,NA,NA,"",0.000855310913191694,0.0934579439252336,1070
"AANAT",18,4,0.139785635059979,"no",-0.0567023055617049,0.142770446361346,-0.183916055899218,0.194777641539001,14,3,0.452617616719132,"no","",0.0148885465085181,0.0401869158878505,1070
"CLDN1",16,5,0.140032940793176,"no",-0.0873657795377638,0.25823300611914,-0.0985635081594987,0.300853450339371,13,3,0.756159931551703,"no","",0.00212868323587527,0.0168224299065421,1070
"CLDN11",19,4,0.140712226292958,"no",-0.0625167176140412,0.176094673825186,-0.0843790640722215,0.0478283944564888,16,2,0.413329540910379,"no","",0.892259971042805,0.0299065420560748,1070
"AGXT2",15,6,0.140943850550168,"no",-0.113472541451766,0.142162147235198,-0.117714005960164,0.154785458003141,13,4,0.417707618565451,"no","",0.669734611057797,0.0158878504672897,1070
"TM2D2",19,3,0.141882037129164,"no",-0.117762413325182,0.163870991104118,-0.391780373151097,0.204708708839505,14,3,0.380018279094848,"no","",5.30860947061011e-47,0.0981308411214953,1070
"WDR49",17,3,0.142641251329504,"no",-0.110476512917614,0.190489054700243,-0.302087988622814,0.2011221004723,0,0,NA,NA,"",0.113107823865994,0.0196261682242991,1070
"ITGA3",19,2,0.142664098396522,"no",-0.0153735050456321,0.19162971165279,-0.0208563336993118,0.0796935524677723,16,1,NA,NA,"",9.38510689119097e-22,0.0672897196261682,1070
"DMRT3",18,2,0.142879806488185,"no",-0.0911862642219921,0.200374983077784,-0.172049669901603,0.0819506777497774,16,1,NA,NA,"",0.149124816649032,0.0177570093457944,1070
"GATA5",19,3,0.143091288375179,"no",0.0721712978544638,0.124593750130086,0.072700061150845,0.0836182868464221,16,2,0.378178154233419,"no","",7.48257240546891e-05,0.0420560747663551,1070
"EIF5A2",18,4,0.143875660314518,"no",0.0745992545198588,0.134809138181376,0.00707927769906972,0.0639732979765515,16,2,0.801058897357796,"no","",6.56943642338458e-08,0.0289719626168224,1070
"RAB6B",20,2,0.144124714746172,"no",-0.0631781607856933,0.183611018861197,-0.138689333483802,0.143674805573531,16,2,0.517400837455042,"no","",0.00500716459683482,0.00280373831775701,1070
"PTPRA",19,2,0.144221080644061,"no",-0.0999251932173633,0.15745112474075,-0.183158772755271,0.024988167674318,14,2,0.807615116648723,"no","",0.0345983246808119,0.00467289719626168,1070
