"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"PARP1",27,5,0.221975175020675,"no",0.0216116795425587,0.193604457707257,-0.0929062470355079,0.0947806432280753,16,3,0.329129528100399,"no","","yes",0.00932835820895522,536
"DYRK1B",32,4,0.222393557548745,"no",0.00259474105726849,0.152581933298962,-0.108440098400129,0.280826915107102,21,0,NA,NA,"","yes",0.00559701492537313,536
"MTMR9",25,4,0.222530488869563,"no",-0.242081895578189,0.313136593464845,-0.14225189065712,0.149330705763762,19,1,NA,NA,"","yes",0.00932835820895522,536
"BACH2",24,2,0.22266954275678,"no",0.00832872271824318,0.186993172338004,-0.0302949350451945,0.035301020204855,15,2,0.819269044912679,"no","","yes",0.00559701492537313,536
"IRF6",30,2,0.222910293860253,"no",0.00891517790947562,0.146414447981751,-0.249231666918804,0.188863463035288,20,2,0.280177758917124,"no","","yes",0.00186567164179104,536
"FOXP4",29,5,0.223942118752084,"no",0.014772791523529,0.144631247597443,-0.00283736998595476,0.0591926350331824,17,5,0.36503809892559,"no","","yes",0.00932835820895522,536
"STAT6",31,4,0.224999819802623,"no",-0.0452675259568842,0.199542236873801,-0.0489936750902715,0.132363347927133,19,1,NA,NA,"DLBCL_Act,NHLY_Act","yes",0.00932835820895522,536
"SIX5",32,2,0.225290720312976,"no",-0.059577175749846,0.237895592476409,-0.0210928576719544,0.0859472164521446,20,1,NA,NA,"","yes",0.00559701492537313,536
"KCTD3",30,4,0.225654021265429,"no",0.00703659506407913,0.176272028238083,-0.221311493567316,0.167242143098769,19,3,0.681494470583952,"no","","yes",0.0205223880597015,536
"SRCAP",24,3,0.225757229355064,"no",-0.111235080723905,0.270423106026514,-0.310968484658731,0.0148045185905815,14,1,NA,NA,"","yes",0.0317164179104478,536
"VRK3",33,2,0.226139290867534,"no",-0.0045558854024862,0.193431198957051,-0.0321367853493443,0.0717304421114817,20,1,NA,NA,"","yes",0.00186567164179104,536
"MED25",33,2,0.226139985647296,"no",-0.57215103487111,0.247811725813329,-0.573106373709149,0.0809159295770596,19,1,NA,NA,"","yes",0.00932835820895522,536
"PRL",30,2,0.227717115061392,"no",-0.0171464537631174,0.117784235561633,-0.0199433757016689,0.0174678935380249,21,1,NA,NA,"","no",0.00559701492537313,536
"NBR1",33,2,0.228020649897133,"no",0.0679782979468592,0.148136088180539,0.0349734170548911,0.0806171083434789,20,1,NA,NA,"","yes",0.00746268656716418,536
"RXRB",34,2,0.229747732717883,"no",-0.0267397530593689,0.151185339048357,-0.000722839185972005,0.145536859357577,20,1,NA,NA,"","yes",0.00559701492537313,536
"ARID3C",32,2,0.229813903841731,"no",-0.00766286587368087,0.120925334433032,-0.112300771974544,0.00605207675464549,21,0,NA,NA,"","yes",0.00559701492537313,536
"GRK6",34,2,0.22991384239565,"no",-0.0714461924827695,0.168494017296751,-0.153434502851509,0.201364972447885,20,1,NA,NA,"","yes",0,536
"HGF",31,3,0.232847980697597,"no",0.0618560711130471,0.142759657881556,0.0888509719391908,0.031299742874989,19,2,0.467365062236258,"no","BC_Act","yes",0.0167910447761194,536
"IQCA1",29,2,0.233974752313994,"no",0.0526657265069712,0.0605512927154221,0.161608508511367,0.041834671826399,18,0,NA,NA,"","yes",0.00559701492537313,536
"SLIT2",28,5,0.238217984798718,"no",-0.0732604840003711,0.166077074478592,-0.0399225048261047,0.040395836921746,17,2,0.463351457569853,"no","","yes",0.00746268656716418,536
"FRMD4A",29,4,0.238254023491323,"no",0.00959295874923693,0.215811165537823,0.0310090467818799,0.0739386755805879,20,1,NA,NA,"","yes",0.0167910447761194,536
"FLT3",30,3,0.238259409003718,"no",-0.0178140668269838,0.0949118871152853,-0.0353911610601647,0.010530227260154,20,0,NA,NA,"ALL_Act,AML_Act","yes",0.00559701492537313,536
"TRAF3",34,2,0.238293188665068,"no",0.0720068284001704,0.123382443680275,0.0876483933826475,0.0526770213030865,21,0,NA,NA,"MM_LoF","yes",0.00559701492537313,536
"ANKRD33B",30,2,0.238520010499715,"no",0.0880390476884473,0.165525796770698,0.0255638483021605,0.0820667773799126,18,1,NA,NA,"","yes",NA,536
"MAPK15",28,2,0.23889727133496,"no",-0.0846357291824037,0.235876245392889,-0.144678493694689,0.107102427064823,19,1,NA,NA,"","yes",0.00186567164179104,536
"THBS2",28,3,0.240359064840306,"no",0.0904934511923388,0.0851752501069887,0.221374897301668,0.136313535565616,17,1,NA,NA,"","yes",0.00746268656716418,536
"ANK3",20,6,0.240682169519197,"no",0.0398106383525685,0.125386145169202,-0.00674632900668905,0.127903263933759,15,3,0.874717108966412,"no","","yes",0.0652985074626866,536
"CDKL2",34,2,0.241293956843083,"no",-0.0482574614487659,0.106344280100575,-0.0694534160483568,0.113513858810758,21,0,NA,NA,"","yes",0.00373134328358209,536
"MARK3",32,3,0.242702652075579,"no",0.00527235484157886,0.142696707740738,-0.0620066006125194,0.141014746603883,20,1,NA,NA,"","yes",0.00559701492537313,536
"ABCA7",28,2,0.242707994706806,"no",-0.00695596909669914,0.154049946726093,0.00304661405980175,0.0312530027759588,20,0,NA,NA,"","yes",0.00559701492537313,536
"HELZ",31,2,0.243126973526598,"no",-0.0763237942176329,0.193589864067159,-0.135463304857139,0.0419305380983805,18,1,NA,NA,"","yes",0.00932835820895522,536
"ADRBK2",28,2,0.243916808480003,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00186567164179104,536
"CLCN1",25,2,0.244038222504279,"no",0.0259240684695887,0.168091229058279,-0.167587430561504,0.0889927094296247,15,0,NA,NA,"","yes",0.0130597014925373,536
"KAT2B",32,2,0.244692412795555,"no",0.00275107486932645,0.136601780366736,-0.101596355810384,0.158938120030991,20,0,NA,NA,"","yes",0.00932835820895522,536
"EZH2",29,3,0.245277408798327,"no",0.011603269134674,0.227850786778276,-0.116517842145598,0.185372833976678,18,1,NA,NA,"ALL_LoF,AML_LoF,DLBCL_LoF,EWS_LoF,LUAD_LoF,LY_LoF,NHLY_LoF","yes",0.00373134328358209,536
"NBEAL2",30,2,0.245460310449958,"no",0.0220742476951141,0.132989537232491,-0.102176280090689,0.0287922235154404,19,0,NA,NA,"","yes",0.0111940298507463,536
"RBPJL",30,2,0.245616347333211,"no",-0.0209021812760885,0.0638451550591546,-0.143671946540202,0.121013247692,20,0,NA,NA,"","no",0.00559701492537313,536
"PDE1B",33,2,0.245698203236337,"no",0.0271109371878162,0.169041404249423,0.118085776959227,0.174960830229029,19,1,NA,NA,"","yes",0.00559701492537313,536
"ADAM12",27,3,0.246323945507729,"no",0.0309438745620971,0.219185013439439,-0.00589444187230757,0.0561813543658207,19,2,0.65668593020936,"no","","yes",0.0111940298507463,536
"ALDH2",31,2,0.247163304059769,"no",-0.0702766976862008,0.225095418344984,-0.0336278266960685,0.102034470742121,19,2,0.894826057062537,"no","","yes",0,536
"FOXM1",29,4,0.247389020663142,"no",-0.0347814345987947,0.122242979882722,0.0305551828378069,0.285902326283657,19,3,0.355005387987118,"no","","yes",0.0111940298507463,536
"CHST3",28,2,0.249005034578283,"no",-0.116007061972789,0.26358991967608,0.287737777999319,0.521093622287811,18,0,NA,NA,"","yes",0.00373134328358209,536
"SRSF11",32,2,0.249278377253355,"no",-0.292471666018213,0.320764504025863,-0.460335197014662,0.439319821574982,21,1,NA,NA,"","yes",0.0111940298507463,536
"MAP3K5",29,2,0.249396467016571,"no",0.147179941566689,0.090099100277825,0.102545605058186,0.0449946180156821,17,2,0.631434106136049,"no","","yes",0.00932835820895522,536
"ETV6",33,2,0.249955859506472,"no",-0.00325121886831934,0.170988985380303,-0.0842288493090666,0.0268382931695084,20,1,NA,NA,"ALL_Act,DLBCL_Act,NHLY_Act","yes",0.00746268656716418,536
"RANBP2",26,3,0.250222661136732,"no",-0.606760354827579,0.256981831102565,-0.806405849274566,0.407708250065983,17,1,NA,NA,"HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","yes",0.0242537313432836,536
"RNF5",29,2,0.250439938659007,"no",-0.0631056907671097,0.213022844377954,-0.154944312068645,0.0744674773101935,20,0,NA,NA,"","yes",0.00186567164179104,536
"EPHB1",24,2,0.252548947296612,"no",0.0279254115131738,0.231268690867889,0.0471328105760745,0.0533377082431725,15,1,NA,NA,"","yes",0.00559701492537313,536
"CXCR6",32,2,0.254305494586158,"no",-0.122025062145263,0.355183519268754,-0.322438508049662,0.419710275387954,21,1,NA,NA,"","yes",0,536
"KIAA2018",25,3,0.254984476784635,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00746268656716418,536
"ITSN2",27,3,0.255461580084634,"no",-0.0552268726742402,0.155876853038479,-0.112408368607935,0.087719651256194,18,1,NA,NA,"","yes",0.0186567164179104,536
"PRDM15",33,3,0.25551960749197,"no",0.0525629082513242,0.132070476015378,0.108863441407775,0.0704665893215134,20,2,0.668518843829732,"no","","yes",0.00746268656716418,536
"ERBB4",24,2,0.25601978948287,"no",-0.385209829532841,0.305563331542249,-0.384691985017889,0.032225505660355,15,2,0.617284139692832,"no","BLCA_LoF,BRCA_LoF,ESCA_LoF","no",0.0261194029850746,536
