"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ZBTB34",15,0,0.952298354872131,"no",0.184170496564398,"up"
"HNRNPUL1",14,1,0.952320721129102,"no",0.00371764031824479,"up"
"CLASP1",14,1,0.952326454172147,"no",1.82010335592046e-06,"down"
"TMEM64",13,2,0.952421131666678,"no",0.0562702925542084,"up"
"MLH1",14,1,0.952442318539822,"no",7.53394807860009e-23,"down"
"SLC9C2",14,1,0.952518422194079,"no",9.41688644027953e-07,"up"
"FIP1L1",15,0,0.952655946989247,"no",2.05216230802709e-17,"down"
"DDX1",14,1,0.952721540121686,"no",1.28191581275531e-42,"down"
"ESX1",14,1,0.952909937591895,"no",0.723211613072364,"down"
"BIRC6",15,0,0.952984974972134,"no",3.49435584289329e-10,"down"
"GPN3",14,1,0.953011161051287,"no",1.33018198670406e-25,"down"
"NFYB",15,0,0.953093232193758,"no",5.7210644516479e-07,"down"
"MLF2",15,0,0.953243716217923,"no",0.675664327573865,"down"
"CHRNB1",15,0,0.953480348384578,"no",1.69650929859459e-49,"up"
"TRAF4",15,0,0.953518173990831,"no",0.0040378733099029,"up"
"EML5",15,0,0.953574003964616,"no",7.23347811283332e-22,"down"
"CACNA1C",14,1,0.953574902121264,"no",4.72034033229371e-06,"up"
"MAPKAP1",15,0,0.953721877873544,"no",2.18494924480024e-26,"down"
"KCNJ16",13,2,0.953784627786113,"no",1.67614335777352e-54,"down"
"SERPINF1",15,0,0.953886404666768,"no",5.03217926444217e-11,"up"
"SRGAP1",14,1,0.953986113284681,"no",6.05983126145592e-06,"up"
"TBC1D2",14,1,0.954140146443879,"no",9.23858262225142e-25,"up"
"ATP5J2",14,1,0.954221164880265,"no",6.49358689656445e-11,"up"
"H2AFY",14,1,0.954403453144716,"no",2.31938473098239e-21,"up"
"CD274",14,1,0.954450518343928,"no",8.56629946813949e-13,"up"
"ARHGEF15",14,1,0.954644920077774,"no",0.0465691891870839,"up"
"PCSK1N",15,0,0.95480025008823,"no",0.0480573473682511,"down"
"ARHGEF28",15,0,0.954831768940898,"no",0.00584129333102453,"down"
"FBXW10",13,2,0.955002398456442,"no",0.120071143489635,"up"
"ORC6",15,0,0.95501287812126,"no",1.68880360725308e-32,"up"
"SOX11",15,0,0.955236265324654,"no",8.48882528695378e-25,"up"
"CDT1",15,0,0.955243873401177,"no",7.52440227252711e-63,"up"
"GABRR1",15,0,0.955340629894797,"no",7.15753014016268e-16,"up"
"TSPAN6",15,0,0.955345754387092,"no",8.41805899079999e-30,"down"
"GTF2H2B",15,0,0.955494196573311,"no",8.25613665149196e-07,"down"
"CTSL1",15,0,0.955496535214733,"no",NA,NA
"STRADA",14,1,0.955510305581342,"no",2.38586712746786e-06,"up"
"MBOAT7",15,0,0.95573934614592,"no",2.72007488349581e-06,"up"
"WNT9B",15,0,0.955792865636352,"no",3.53267072654771e-13,"down"
"FADD",15,0,0.955931819383725,"no",6.9750876746312e-22,"up"
"EPHA1",13,2,0.956011628046819,"no",0.00759265670698862,"down"
"PPIL1",14,1,0.956155195004187,"no",1.93904366981462e-12,"down"
"HAS2",13,2,0.956506693597447,"no",1.79654958110879e-05,"down"
"HNRNPA1L2",15,0,0.956561262032796,"no",4.08324218494507e-13,"up"
"VSTM2L",15,0,0.956625713979232,"no",1.48720785181096e-23,"up"
"FOXE1",15,0,0.956883079259907,"no",0.18742970414051,"up"
"LOC100996481",15,0,0.957015866843773,"no",NA,NA
"SERPINB1",15,0,0.957049140379224,"no",1.87072715777948e-49,"up"
"HS3ST4",14,1,0.957095814973633,"no",1.21617185998414e-05,"up"
"CAPN10",15,0,0.957243106282872,"no",6.38184282664251e-09,"up"
"SP3",15,0,0.957244960336674,"no",0.0539045229505423,"up"
"CTSD",15,0,0.957339438546762,"no",8.61792056586642e-26,"up"
"PPEF1",15,0,0.957415877343412,"no",6.9962589230567e-19,"up"
"SQSTM1",13,2,0.957619109461645,"no",1.16205290646347e-36,"up"
"CACNA1D",12,3,0.957791366464648,"no",6.67838952232241e-06,"up"
"OLIG3",14,1,0.957964756972244,"no",9.43684684849031e-05,"up"
"AGAP7",14,1,0.958273853125709,"no",NA,NA
"AGAP8",14,1,0.958273853125709,"no",NA,NA
"NOC2L",13,2,0.958305991984953,"no",3.81137380342634e-13,"up"
"PAXIP1",12,3,0.958428761290917,"no",7.95273733921705e-08,"up"
"USP19",15,0,0.958494955268131,"no",2.01637553672887e-44,"down"
"BRAP",15,0,0.95867359488094,"no",9.17372910422045e-09,"up"
"POLK",15,0,0.958872009011164,"no",0.0118514257844351,"down"
"IDH1",15,0,0.958872775499701,"no",4.2693636481829e-10,"down"
"RAPSN",15,0,0.958930332555052,"no",0.0168822046855857,"up"
"PAK6",15,0,0.959146927468008,"no",2.53197323202261e-51,"down"
"ATRIP",15,0,0.959156134117637,"no",0.689824613180058,"down"
"METRNL",14,1,0.959196505566979,"no",2.51106311220164e-15,"down"
"FRY",14,1,0.959250195466785,"no",3.97440781385701e-31,"down"
"NUP37",15,0,0.959288203644954,"no",3.11995421809647e-07,"up"
"TNK2",13,2,0.95933288285677,"no",2.39286943380788e-47,"up"
"AGAP10",15,0,0.959374008732071,"no",NA,NA
"ATP1A3",15,0,0.959412438637243,"no",1.44928917107049e-05,"up"
"CTNNBIP1",15,0,0.959453951089837,"no",9.5139448388498e-30,"down"
"POLG",14,1,0.959750804390591,"no",4.98715223733132e-50,"up"
"LLGL1",15,0,0.95981626722544,"no",0.711797098902555,"up"
"KLHL35",15,0,0.959864775145434,"no",2.39503722551494e-08,"up"
"VPS28",14,1,0.959985755051461,"no",4.31330860447597e-11,"up"
"OR2T2",11,4,0.960044534220881,"no",0.000118283712765198,"up"
"TPT1",15,0,0.960161413927673,"no",3.79427763462708e-20,"up"
"FLJ44635",15,0,0.960161413927673,"no",NA,NA
"VGLL1",15,0,0.96026522758149,"no",2.83599365792871e-08,"down"
"TMEM19",14,1,0.96027189151322,"no",6.24301699220973e-09,"down"
"TGFBR1",15,0,0.960428983080284,"no",0.00740243765269612,"down"
"HMX2",15,0,0.960447945447629,"no",6.51004540284919e-12,"down"
"RUFY3",15,0,0.96070025031199,"no",1.32544266409583e-29,"up"
"SHC4",15,0,0.960729578832564,"no",0.599789566298834,"down"
"PPP1R10",13,2,0.960738738303551,"no",0.178662842868916,"down"
"BCLAF1",15,0,0.960804504529609,"no",4.9732270921041e-12,"down"
"KCNS3",15,0,0.960907387579117,"no",3.77242231483913e-24,"up"
"ATP2A2",15,0,0.960981962160464,"no",1.33493279231978e-11,"up"
"LCN15",15,0,0.961023200308898,"no",0.0886163584012172,"up"
"ACTA2",15,0,0.961119545960165,"no",0.0179470517748464,"up"
"PPYR1",13,2,0.96120202312788,"no",NA,NA
"ORC3",13,2,0.961298941104309,"no",0.0901360361899883,"down"
"LGR4",14,1,0.961378665241503,"no",1.15714141389082e-47,"down"
"PSPC1",15,0,0.961455077222142,"no",2.23413693133476e-14,"down"
"HCN2",14,1,0.961543125998171,"no",0.197681735475754,"up"
"GSK3A",15,0,0.961775281314062,"no",0.487058870335608,"up"
"PRMT1",15,0,0.961812060844736,"no",5.21487010544193e-15,"up"
"ORM2",15,0,0.961873196610153,"no",0.286194842626209,"up"
"NR4A3",15,0,0.961881395101128,"no",5.72711370275692e-12,"down"
"VANGL1",13,2,0.961888442615985,"no",0.0219139766101567,"down"
"TNKS",15,0,0.961893767324338,"no",0.967770626578805,"down"
"ABCC9",13,2,0.961950770676148,"no",0.0606887531334583,"down"
"BATF",15,0,0.962013562066036,"no",3.18171864809104e-56,"up"
"USP20",13,2,0.962087184597518,"no",1.91628759145291e-05,"down"
"MED20",14,1,0.96211800986951,"no",1.16444593816627e-47,"down"
"ACTL6B",14,1,0.962360595247853,"no",0.0248728132696967,"up"
"ING3",13,2,0.96244960421519,"no",1.61453799752325e-09,"up"
"ITIH4",15,0,0.962534432632501,"no",2.11353918335685e-15,"up"
"TBL1Y",15,0,0.962659575469203,"no",1.06695579655215e-17,"down"
"CLTCL1",14,1,0.962720716703706,"no",3.83622913133845e-22,"up"
"CACNB4",15,0,0.962784266737018,"no",5.43518569921381e-17,"down"
"IDH3B",15,0,0.962786710184255,"no",1.11773555926793e-05,"up"
"PTGR1",15,0,0.962815071064086,"no",6.80022871668659e-25,"down"
"STXBP5",15,0,0.962892310912517,"no",0.268688865196507,"down"
"TEF",13,2,0.962985652950985,"no",3.49003423267776e-18,"down"
"RRH",15,0,0.963103836796737,"no",1.08164334455678e-10,"down"
"RGPD1",15,0,0.963143427618447,"no",2.29762818666678e-08,"up"
"RGPD3",15,0,0.963143427618447,"no",2.56963869927446e-10,"down"
"RGPD8",15,0,0.963143427618447,"no",0.290406499782949,"down"
"RGPD2",15,0,0.963143427618447,"no",0.218942612249205,"up"
"SOX4",15,0,0.963237321914309,"no",0.734002730201151,"up"
"CA6",15,0,0.963266851493806,"no",1.28052257320314e-30,"up"
"IL18R1",15,0,0.96330212648254,"no",2.10291787004764e-38,"up"
"TNFRSF12A",14,1,0.963348362769954,"no",2.16406520971222e-36,"up"
"PABPC3",15,0,0.963393834208949,"no",1.17877239327382e-11,"up"
"DDX49",13,2,0.963439856335671,"no",7.96083327762745e-43,"up"
"KRT85",13,2,0.963440311316876,"no",2.61150811882044e-12,"down"
"ULK2",15,0,0.963489654460337,"no",0.0833675427476186,"down"
"PAMR1",15,0,0.963496737203235,"no",0.62999467907678,"up"
"ANO1",14,1,0.963682503782155,"no",1.36926319692828e-41,"up"
"FAM20B",13,2,0.963800223737258,"no",1.30044756293178e-43,"down"
"DBF4B",15,0,0.9638631929998,"no",1.40403882198114e-27,"up"
