"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"RNF43",5,3,0.638662312579353,"no",-0.316423055992905,0.309409152293919,-0.442753272020712,0.147210963051408,4,1,NA,NA,"ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF","yes",0.116981132075472,530
"EDNRB",7,2,0.641434608612466,"no",-0.0416077012727704,0.125822922378963,-0.0339203314436457,0.102729243483437,6,1,NA,NA,"","yes",0.0150943396226415,530
"ORC3",6,2,0.641480220226143,"no",-0.108696016347891,0.074529479038764,-0.12855554116125,0.0689407579778476,5,2,0.453433473241009,"no","","yes",0.0188679245283019,530
"ABCA12",4,4,0.644288009555558,"no",-0.0444674236656283,0.073103521951583,-0.0326025336297149,0.139341682179202,2,4,0.418453989187055,"no","","yes",0.0660377358490566,530
"TICAM1",8,3,0.645239201483944,"no",0.0132614152016078,0.158025914436609,0.086625365510333,0.12777267245905,4,2,0.186980199524155,"no","","yes",0.0169811320754717,530
"AEBP2",8,2,0.649187562682371,"no",-0.0580804143573149,0.153904057371904,-0.0742098784591877,0.0947625621093073,5,1,NA,NA,"","yes",0,530
"FOXA2",10,2,0.649851798992888,"no",0.0520236638646457,0.0846071484013306,0.119715676482497,0.0763132121131876,5,2,0.0945379342340664,"no","UCEC_LoF","yes",0.039622641509434,530
"KCTD3",9,3,0.652764244056914,"no",-0.190936717045497,0.178332201489599,-0.0625478193565816,0.172107637673069,5,2,0.428682310215378,"no","","yes",0.0207547169811321,530
"MYO9A",5,3,0.654031874995638,"no",-0.195761089543857,0.096768715847669,-0.0880619817195727,0.171061683912595,3,3,0.305956026795153,"no","","yes",0.0622641509433962,530
"NCOA7",8,2,0.654210293930875,"no",0.0979673513052242,0.125359266066082,0.00466535788374382,0.00986274980121109,6,1,NA,NA,"","yes",0.0132075471698113,530
"FER1L6",6,2,0.654392670292026,"no",-0.0796750074132712,0.16801832056344,0.12179482920382,0.199602946983716,2,2,0.426802728871985,"no","","yes",0.030188679245283,530
"ARID2",7,3,0.655967843746932,"no",-0.059791952920877,0.345675087842456,-0.0742883182087586,0.14049407228806,4,2,0.526416904652855,"no","BLCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,SSCC_LoF,ST_LoF,THCA_LoF","yes",0.0320754716981132,530
"KDM5A",4,4,0.656230962809622,"no",0.017466680745473,0.0710848077546601,0.0185844204440123,0.100303243036206,1,4,NA,NA,"CM_Act","yes",0.030188679245283,530
"LARP4B",7,3,0.65625348299396,"no",-0.0333034626271543,0.189200384051834,0.103482995217396,0.0422455256910512,5,2,0.764746228587902,"no","","yes",0.0283018867924528,530
"HSP90AB1",7,2,0.658949486457118,"no",-0.363310090548771,0.111890545288307,-0.101844115131721,0.334870571229373,4,2,0.684007812710742,"no","CM_Act","yes",0.0113207547169811,530
"DCLK2",7,2,0.660830287578927,"no",0.202215958924901,0.102171622177914,0.139991186096418,0.0940640091875129,6,1,NA,NA,"","yes",0.00754716981132075,530
