"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"CHD9",12,2,0.620583574016495,"no",-0.0766991160040627,0.0920722785133206,-0.120040528766184,0.023239953071084,12,2,0.53938599817957,"no","","yes",0.0271739130434783,184
"FNDC3B",9,3,0.623261588804576,"no",-0.0551060734871801,0.0936642066982586,-0.024300001597704,0.097837574878695,9,3,0.353337275440269,"no","","yes",0.016304347826087,184
"GPBAR1",13,2,0.626588276753028,"no",-0.0527385656215068,0.139031204684485,0.0861293841114186,0.0365296759192884,12,2,0.357310407785845,"no","","yes",0,184
"MAP2K5",13,2,0.626687184794662,"no",-0.0677758235363553,0.141405959029083,-0.0561930193892091,0.106246645733522,12,2,0.443142407200696,"no","","yes",0.00543478260869565,184
"ARHGAP11B",13,2,0.628573528160098,"no",0.00767148549131438,0.0810196988043706,-0.00776507203177145,0.0763070645541048,12,2,0.592767552688823,"no","",NA,0,184
"ATN1",12,3,0.628814544535858,"no",-0.118407257782975,0.0947993768045812,-0.00469949788933322,0.212070943346484,11,3,0.496629852073619,"no","","yes",0.016304347826087,184
"SEMA4G",13,2,0.629758692092668,"no",-0.0634269564941148,0.102202946553738,-0.14663197977111,0.243851399694423,12,2,0.869752248638228,"no","","yes",NA,184
"COL6A6",12,2,0.633281438363304,"no",-0.0532869066552352,0.0849370396095914,-0.0012461961271744,0.0969446420638494,11,2,0.411043395883255,"no","","yes",0.0326086956521739,184
"KIT",11,3,0.634199898489423,"no",0.0139883819821834,0.0905981343768572,-0.016235808117873,0.047754499486199,11,2,0.567583203444287,"no","AML_Act,CM_Act,LGG_Act,MGCT_Act,OS_Act,ST_Act","yes",0.0217391304347826,184
"GRIN3B",11,2,0.635029227786511,"no",-0.0920793761278388,0.11294675955568,0.0166856119584646,0.0663961620096424,10,2,0.386669487893611,"no","","yes",0.00543478260869565,184
"LILRA6",11,3,0.636363801656027,"no",-0.133878770925381,0.15369806379771,-0.0926057301831382,0.10818798392082,10,3,0.540038422801448,"no","","yes",0.00543478260869565,184
"AGAP6",13,2,0.637513475588056,"no",-0.046425324143912,0.0752802583320338,0.0441799255288649,0.0177278658798097,12,2,0.463568634838189,"no","","yes",0.00543478260869565,184
"CD33",13,2,0.638959683978581,"no",-0.0126480849462186,0.0754308510090495,0.0178747904693857,0.0715617633008186,12,2,0.476678723705654,"no","","yes",0,184
"BCL6B",10,4,0.639626214672608,"no",-0.0289785142303839,0.0942177373203123,-0.045513362491798,0.0172454470346928,9,4,0.698046690043106,"no","","yes",NA,184
"PKHD1",9,4,0.63999082463515,"no",-0.0736495637405921,0.11106619924708,-0.0914532108593706,0.128797905145937,8,4,0.687566590832451,"no","","yes",0.0217391304347826,184
"ABCA12",11,3,0.640206190158409,"no",-0.032614254415913,0.0819635772538003,0.0424543772106613,0.0366129250703034,10,3,0.661237703455195,"no","","yes",0.0489130434782609,184
"APCDD1L",11,3,0.640957780860427,"no",-0.0401542551785885,0.206325083417642,-0.0159196271767252,0.0861995348246253,10,3,0.487297976837563,"no","","yes",0.0108695652173913,184
"AKAP13",12,2,0.641205823038507,"no",0.000117836895650149,0.126466578988045,-0.0237500388660512,0.0924529055460808,12,2,0.890045990439614,"no","","yes",0.0434782608695652,184
"IQGAP3",13,2,0.642046861186816,"no",0.00134178971557868,0.0168299521685598,0.0163333643007568,0.0246292182318657,12,2,0.412441817188324,"no","","yes",0.0108695652173913,184
"PDE4C",11,2,0.642793210393765,"no",-0.0721112571614319,0.0760732879439939,-0.122479190633719,0.000677789876136495,11,2,0.619162103499474,"no","","yes",0.0108695652173913,184
"RUNX2",10,4,0.64293500897182,"no",0.0071973343476882,0.120786640047788,0.0353980726834092,0.0629234122607789,9,5,0.47475275606871,"no","","yes",0.0108695652173913,184
"KIAA2026",10,2,0.647322201510036,"no",-0.0112641111229019,0.152035733428808,-0.0059675731230632,0.0844169826773389,0,0,NA,NA,"","yes",0.00543478260869565,184
"STARD9",10,3,0.648224778493834,"no",-0.000693955156486485,0.062005797415883,0.0224434388429859,0.03396870158007,9,3,0.78510998752567,"no","","yes",0.0271739130434783,184
"CACNA1D",13,2,0.65385675147561,"no",-0.029219293964918,0.0594413679780259,-0.0895715384999013,0.0744376531339147,12,2,0.396677698651748,"no","BRCA_ambiguous,GBM_ambiguous,HC_ambiguous,OV_ambiguous,ST_ambiguous","yes",0.0108695652173913,184
"KIF1A",12,3,0.65517505923573,"no",-0.0105600781978521,0.221347868727368,0.0078505258587729,0.129822377552115,11,3,0.305454861099186,"no","","yes",0.0271739130434783,184
"CDCP1",13,2,0.658336308962822,"no",0.0744828101455222,0.133109888076972,0.048384160876407,0.0408435437890298,12,2,0.632772010566161,"no","","yes",0,184
"IFT140",12,2,0.658977720262102,"no",-0.0927305162389123,0.0929337701956185,-0.0829790848095358,0.0342383469909481,12,2,0.765499787936557,"no","","yes",0.016304347826087,184
"KCNC3",12,2,0.660270476829677,"no",-0.094927222486474,0.0985961722156967,-0.0542271311907373,0.0592531703204547,11,2,0.762046227948742,"no","","yes",0.0108695652173913,184
"IQGAP2",13,2,0.661570441065288,"no",0.0497747375322429,0.0819473784573696,0.0726338056234913,0.0317413124127717,12,2,0.666255260176976,"no","","yes",0.0108695652173913,184
"ETS1",10,2,0.662777060463137,"no",0.0348699686732409,0.0934414796429442,0.0152152611266454,0.0295134756954915,10,2,0.546678548052035,"no","","yes",0.00543478260869565,184
"SHPRH",12,2,0.662997740067614,"no",0.0424459324344197,0.0439375198232025,-0.0010185212436161,0.0398061739498037,12,2,0.351330766847912,"no","","yes",0.016304347826087,184
"WDR66",12,2,0.663356474470713,"no",0.0601520350070367,0.111179532679462,0.0441172746093932,0.0290948281492798,12,2,0.627376517610295,"no","","yes",0.00543478260869565,184
"ATP1A4",13,2,0.667520169767761,"no",0.00605089934350388,0.132643429744446,-0.00534724641221435,0.0194983533994025,12,2,0.83617049117079,"no","","yes",0.00543478260869565,184
"ATAD5",13,2,0.667648461722482,"no",-0.0959891266431182,0.133911884983051,-0.0919875830331758,0.0764344949815423,13,1,NA,NA,"","yes",NA,184
"ABCC10",12,3,0.667652260261342,"no",0.0468296120593096,0.108174136303275,0.110390671564561,0.0457439481826054,11,3,0.486328519871778,"no","","yes",0,184
"ANKRD11",13,2,0.672577747516387,"no",-0.169376166873856,0.19287212674738,-0.149940884815973,0.039326211322533,12,2,0.473989113415298,"no","","yes",0.016304347826087,184
"LMO7",12,2,0.674325255254594,"no",0.00553608908004683,0.0865935498739708,-0.0899385360118067,0.0572711497008163,12,2,0.533374985155188,"no","","yes",0.0217391304347826,184
"HIRA",10,3,0.678773739059749,"no",-0.0632934998961909,0.0876285393454393,-0.0514893033846429,0.156312482116498,10,3,0.477153687616366,"no","","yes",0.00543478260869565,184
"CIC",11,4,0.679372269741166,"no",0.0329900906914745,0.11420493693629,0.134618222376441,0.0796563975528607,10,4,0.459602504233791,"no","LGG_LoF,LUAD_LoF","yes",0.00543478260869565,184
"ULK1",13,2,0.684399032220144,"no",0.0680251209561211,0.03171841793236,0.162659460123295,0.00924448377896497,13,1,NA,NA,"","yes",0.00543478260869565,184
"SCARA5",13,2,0.684983001005164,"no",NA,NA,NA,NA,12,2,0.364587526772289,"no","","yes",0.00543478260869565,184
"EPHB1",12,2,0.688239103882246,"no",0.0200224233397044,0.105379435345524,-0.0144228494222562,0.11427015914722,11,2,0.537549438157114,"no","","yes",0.0271739130434783,184
"RBM45",13,2,0.688504625134765,"no",0.00742600447712643,0.0860129810283492,-0.0198232813970591,0.0277500628664389,12,2,0.345916322056086,"no","","yes",0,184
"COL12A1",12,2,0.690988746300548,"no",0.0358943956253252,0.0511621160456515,0.0133455857386039,0.0713763938354751,11,2,0.315894807922396,"no","","yes",0.0434782608695652,184
"COL19A1",12,2,0.692066580657641,"no",0.0723909800977502,0.108486763814817,-0.0323701826879641,0.035374020767532,12,1,NA,NA,"","yes",0.0326086956521739,184
"SORL1",10,2,0.693510765670093,"no",-0.00143640950609614,0.108802318948473,0.0202606514813722,0.0046370564388065,10,2,0.698337134804373,"no","","yes",0.0108695652173913,184
"TDRD1",12,2,0.693879447938955,"no",-0.0562838039896576,0.0857287134103707,-0.0512962949923314,0.0219863260177839,12,2,0.631414054972828,"no","","yes",0.016304347826087,184
"TJP1",13,2,0.69780631138669,"no",0.060622812436974,0.0752526516475296,0.154708961946151,0.0616494630064045,12,2,0.639882876848843,"no","","yes",0.016304347826087,184
"CELSR1",11,2,0.69963662966059,"no",-0.0246971647154079,0.166121633916792,-0.092001882435838,0.141910818767274,11,2,0.496579529390426,"no","","yes",0.0271739130434783,184
"PHLPP1",10,2,0.701145976017231,"no",0.0324249335717285,0.0478231430457625,0.0439556293600395,0.0050145021554696,9,2,0.558138514461442,"no","","yes",0.0108695652173913,184
"EPHA2",13,2,0.701638010345708,"no",0.075823979214354,0.0510699302982129,0.0186511629449229,0.0802902876053515,12,2,0.760013992520509,"no","CH_LoF","yes",0.0108695652173913,184
"AKR1B15",11,4,0.702796224349804,"no",-0.0529815381932307,0.110605310680331,-0.00578907843064277,0.0454472646376821,10,4,0.618864115654575,"no","","yes",0,184
"ATP8B2",13,2,0.705917046105581,"no",-0.107742138406229,0.0480747573083368,-0.207342188428255,0.0179894107721655,12,2,0.395262184198562,"no","","yes",0.0108695652173913,184
"CACNA1H",12,2,0.714004319133545,"no",0.0644969787446595,0.0700131774647142,0.144516535784792,0.00981445391538252,12,2,0.369476614144701,"no","","yes",0.0326086956521739,184
"LMTK3",13,2,0.71419486700435,"no",-0.111152946542747,0.205274484322373,-0.0505665501821517,0.0988193417721274,12,2,0.185394679998085,"no","","yes",0,184
"RANBP2",10,3,0.716653135401139,"no",-0.641567000769273,0.297936992860906,-0.512557303736353,0.251754264518953,10,3,0.509427760475919,"no","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","yes",0.0217391304347826,184
