"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"KIF5C",14,0.0842884340214965,"no",0.087903960172946,0.10891598408202,0,NA,NA,"",0.0799081329706674,"down","","",184
"ATG10",15,0.0843119538751107,"no",0.0433906082640187,0.0938631782952764,14,0.616361106218162,"no","",0.0454937346569272,"up","","",184
"WNT10A",15,0.084473182488649,"no",0.0143991809419304,0.102405266905708,14,0.000382056941694686,"no","",0.00674339502006831,"up","","",184
"BRPF3",13,0.0846439410580672,"no",0.0175886662722419,0.0668634653646621,13,0.150844882391308,"no","",0.107805459300593,"down","","",184
"KMT2C",9,0.0848729249128988,"no",0.0501255180751776,0.0476295878631885,9,0.0195020644829117,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF",0.131401221965661,"down",NA,NA,184
"PPBP",14,0.0848773425926452,"no",0.070402778884214,0.0687613526339702,13,4.63724792604259e-05,"yes","",0.000922614783485357,"up","","",184
"CREB1",14,0.0850197966890796,"no",-0.0394624191057744,0.1099443300641,14,0.812206452633547,"no","",0.0143661831222649,"up","","",184
"ARF5",15,0.0851755207295202,"no",-0.0371299095351928,0.172071323309504,14,0.00882492513629551,"no","",0.000883743330234198,"up","","",184
"MATN1",14,0.0853032007639012,"no",-0.0533047644460252,0.180656759533617,13,0.974450782991282,"no","",0.7392663913709,"up","","",184
"CLEC2D",15,0.0857106420061569,"no",0.0597683641809931,0.0737646282379952,14,6.16836528521958e-08,"yes","",0.0182316246979051,"up","","",184
