"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ABCC9",5,0.739918520675851,"no",0.0893742393996602,0.183669102172404,5,0.988659185658857,"no",""
"APH1A",4,0.739990363540415,"no",-0.0109702632696263,0.103906478671557,4,0.661579898192765,"no",""
"MC3R",4,0.740210892740978,"no",0.0597389363883927,0.0553299849602007,4,0.998056856622197,"no",""
"SSRP1",5,0.740435436915494,"no",-0.7907527302108,0.156001422168614,5,3.63197038940706e-07,"yes",""
"SERPINC1",5,0.740673844804094,"no",-0.076026851755478,0.200135727821893,5,0.999996114339132,"no",""
"MSI2",5,0.74075329038324,"no",0.0123772075643434,0.0777952475945307,5,0.245838414147333,"no","NB_ambiguous"
"RGPD3",4,0.740783852542262,"no",-0.930139802915389,0.0709951375164845,4,0.999968718352206,"no","CM_ambiguous,THCA_ambiguous"
"TMEM68",5,0.740832724098968,"no",-0.00576360819628406,0.0786137333596012,5,0.998306964416684,"no",""
"KCNK17",4,0.741092120139732,"no",0.0798827420832213,0.273383468585852,4,0.98579988758812,"no",""
"IL6R",5,0.741428098524805,"no",-0.0439261489461467,0.116750298692868,5,0.555116739510429,"no",""
"CDC20B",5,0.741547093203484,"no",0.000813224245387801,0.129401249171715,5,0.0810467270698578,"no",""
"GSTA1",4,0.741576187732764,"no",-0.0660927454289212,0.0849134910570135,4,0.157563195570126,"no",""
"GSTA3",4,0.741576187732764,"no",0.0650583833453922,0.130842653912572,4,0.685789501380212,"no",""
"GSTA7P",4,0.741576187732764,"no",0.249320482610213,0.253551897532076,0,NA,NA,""
"FOXN2",5,0.741626408124051,"no",-0.0428140093524422,0.021857021334565,5,0.426679901875781,"no",""
"SLC46A3",5,0.741626408124051,"no",0.0907963922809747,0.118576800501418,5,0.165646854412669,"no",""
"ZBTB40",5,0.741626408124051,"no",0.172329188864041,0.028132656871297,5,0.270479789077181,"no",""
"PPDPF",4,0.74197192184622,"no",0.0775983900408229,0.160602416743912,4,0.753504342400921,"no",""
"RNF43",5,0.74233970675904,"no",-0.27328345459197,0.035421232619589,5,0.972497861188266,"no","ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF"
"TNIK",5,0.742379306166402,"no",-0.25455399400288,0.249489075901128,5,0.663217015934378,"no",""
"SEC31A",5,0.742458496038381,"no",-0.0453884243656802,0.0180667122980304,5,0.937819956819551,"no",""
"ALDH1L1",4,0.742718629722052,"no",0.170003886427878,0.143400406700049,4,0.214861477483179,"no",""
"FLOT2",4,0.742762521511723,"no",0.117125758367148,0.0954061675019464,4,0.45024409216731,"no",""
"LRRN4CL",5,0.742854266449268,"no",0.0155301387028719,0.166719705481783,5,0.820395257529627,"no",""
"XDH",5,0.743249738346948,"no",0.0740197526625764,0.103679469099733,5,0.982810928808372,"no",""
"HELQ",5,0.743249738346948,"no",0.0518256774902846,0.09010523615156,5,0.632340939848485,"no",""
"COL4A2",5,0.743289269104608,"no",0.0514222755502732,0.186916213740504,5,0.979088859088339,"no",""
