"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TYRO3",12,0.545146099234679,"no",-0.00880472692391546,0.0621986212276338,10,0.0769766377179526,"no","",6.7232747853358e-07,"up","CTNNB1 (depleted, 13% vs 34%), TP53 (enriched, 25% vs 9%)","RB1 (enriched, 9% vs 1%)",364
"MYOD1",13,0.545154165862713,"no",-0.133936214965181,0.237398598180932,11,0.872961693878246,"no","",0.359657666468092,"up","","",364
"MUSK",13,0.545700260961727,"no",-0.0598834527962711,0.282187205490824,11,0.98136843781307,"no","",1.04791553951832e-09,"up","","",364
"GJB3",13,0.545973276927101,"no",0.0499416819392957,0.18924777312814,11,0.32392403449437,"no","",6.26591704353103e-09,"down","CTNNB1 (depleted, 10% vs 37%)","",364
"BTBD17",13,0.546033944263927,"no",0.139665441811516,0.06017032941839,11,2.13730200667175e-05,"yes","",0.0134042847397501,"up","","",364
"DARS",13,0.546306934273409,"no",-0.920750168255846,0.423920549577048,11,4.63178608511746e-13,"yes","",NA,NA,NA,NA,364
"CBLN4",12,0.546313229659499,"no",-0.150856101784905,0.240939638791596,10,0.992667666789494,"no","",0.000104289967238833,"up","CTNNB1 (enriched, 38% vs 9%)","",364
"APOD",13,0.546397926199298,"no",-0.0405839205055339,0.274093567662272,11,0.65509119972514,"no","",2.89277219796647e-05,"up","","",364
"HNRNPA1",13,0.546731542866213,"no",-0.142524444305014,0.237863951459566,11,0.0854048593943814,"no","",2.30805578475769e-23,"up","","",364
"HNRNPA1P10",13,0.546731542866213,"no",-0.622085705667668,0.497335028782512,0,NA,NA,"",6.08650585733022e-14,"up","TP53 (enriched, 25% vs 9%)","TSC2 (enriched, 6% vs 0%)",364
