"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MDH1",13,0.502656285920094,"no",0.0299037877745649,0.122421493080537,11,1.27812106681668e-05,"yes","",2.71273885943393e-14,"up","","TSC2 (enriched, 6% vs 0%)",364
"ANKRD20A1",13,0.502717349051913,"no",NA,NA,0,NA,NA,"",0.954011285798242,"up","","",364
"ANKRD20A2",13,0.502717349051913,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,364
"ANKRD20A3",13,0.502717349051913,"no",0.0931525368685157,0.147284067910309,0,NA,NA,"",NA,NA,NA,NA,364
"WNT7A",13,0.502931069514257,"no",-0.276092439457105,0.427351834030034,11,0.998538051481885,"no","",7.2481850684515e-08,"up","","",364
"ARHGAP18",13,0.503022663750006,"no",-0.0288641412995055,0.307918900689473,11,0.000648565200982332,"no","",4.27931513235942e-09,"up","CTNNB1 (depleted, 13% vs 33%)","",364
"IL6R",12,0.503873160881918,"no",-0.0449368297922116,0.0978171155151319,10,0.460856950976866,"no","",6.94123643499941e-07,"up","","",364
"PPME1",12,0.504190622129831,"no",-0.0266831520059749,0.131741232514922,10,0.999993688443531,"no","",5.11256588835101e-26,"up","TP53 (enriched, 26% vs 8%)","TSC2 (enriched, 6% vs 0%)",364
"LOC554223",13,0.504274434039642,"no",-0.0313174255617241,0.149327905178897,0,NA,NA,"",NA,NA,NA,NA,364
"PTGER4",13,0.504549207799257,"no",NA,NA,11,0.521582479175193,"no","",0.0686594369959714,"up","","AXIN1 (depleted, 2% vs 12%)",364
"CAMK2B",13,0.504671328800897,"no",-0.168378366741025,0.392655746209716,11,8.22584800941328e-07,"yes","",4.0232861587215e-13,"down","","BAP1 (enriched, 8% vs 1%)",364
"HSDL2",13,0.504823979450163,"no",NA,NA,11,0.311193063552132,"no","",0.0880995113615883,"up","CTNNB1 (enriched, 34% vs 13%)","",364
"PIK3CG",13,0.504885039517853,"no",-0.0328197623689431,0.180615824091741,11,0.0239612323650157,"no","",0.602625172026454,"up","","",364
"BCL2",12,0.504920772856736,"no",0.149367320710293,0.101137412418973,10,0.0334728119691318,"no","DLBCL_Act,LY_Act",0.149012620922704,"up","","",364
"COL1A1",13,0.504946099473722,"no",0.0288721877805081,0.114979062922093,11,0.00479527936266944,"no","CESC_Act,CM_Act,GBM_Act,MM_Act,SBCC_Act",4.90840547196263e-07,"up","CTNNB1 (depleted, 12% vs 34%)","",364
"KIAA2026",8,0.505060863937117,"no",0.0693827841546108,0.0878440787641669,0,NA,NA,"",0.0183737959361719,"up","","",364
"GOLGA4",12,0.505269969842528,"no",0.0368733401087631,0.199208455133989,10,0.994956118813273,"no","",7.80796704461779e-05,"up","","",364
"PRELP",13,0.505770397226823,"no",-0.0838688254348443,0.207071535779637,11,0.582174669441759,"no","",1.31000736696042e-09,"down","","",364
"SIRT6",13,0.505892513448197,"no",-0.101917480947733,0.278770947613794,11,0.00398250835719005,"no","",1.79869112900621e-23,"up","","",364
"AK1",13,0.506319915900956,"no",0.102228603827989,0.203478660392629,11,0.99567649679812,"no","",1.11614950676672e-08,"up","","",364
"BRCA2",13,0.506503086238747,"no",-0.101251582549558,0.229853275089247,11,0.999999999807709,"no","BLCA_LoF,BRCA_LoF,CM_LoF,COREAD_LoF,HNSC_LoF,MBL_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,VV_LoF",6.02608571419682e-19,"up","TP53 (enriched, 25% vs 9%)","",364
"PARK2",13,0.506564142722168,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,364
"TEX15",11,0.5066569759187,"no",0.171275290545043,0.106206057616928,9,0.000173067454553699,"no","",5.73627552162281e-09,"up","","",364
"CUX1",13,0.50696100613962,"no",0.0912674764031651,0.101865172320591,11,1.76000263962806e-06,"yes","BRCA_ambiguous,CM_ambiguous,GBM_ambiguous,LUAD_ambiguous,NSCLC_ambiguous,THCA_ambiguous,UCEC_ambiguous",6.89007360496851e-11,"up","","",364
"FPR2",13,0.506991533820869,"no",-0.0794309599007854,0.149072247196396,11,0.00333563786455049,"no","",8.19990417357049e-16,"down","","",364
"SIRT2",13,0.507541025072762,"no",-0.104997757845511,0.164121579655479,11,0.748028053679226,"no","",1.2302590173688e-14,"up","TP53 (enriched, 25% vs 9%)","TSC2 (enriched, 6% vs 0%)",364
"NUAK1",13,0.507693659093932,"no",0.0707120476880728,0.163571079385497,11,0.24471032221093,"no","",3.71275881279837e-18,"up","CTNNB1 (depleted, 13% vs 34%)","",364
"FXYD5",13,0.507754712395448,"no",-0.00827644941263163,0.17700059633201,11,2.84964394032805e-05,"yes","",0.000932587985736308,"up","CTNNB1 (depleted, 14% vs 32%)","",364
"GPR1",12,0.507777707619079,"no",0.029816635204598,0.138173932143928,10,8.35386762310097e-06,"yes","",2.32973228576471e-07,"up","","",364
"GLI1",11,0.507782902604383,"no",0.0603555513007591,0.184480355548472,9,0.967741099991908,"no","LEIS_Act",2.74464880055615e-10,"up","CTNNB1 (depleted, 12% vs 35%), TP53 (enriched, 25% vs 9%)","BAP1 (enriched, 8% vs 1%)",364
