"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"STAT5B",9,0.207262065716937,"no",0.040566135399424,0.165688800305422,7,0.0338151766736881,"no","OV_ambiguous"
"MARCKS",9,0.207420853874265,"no",0.120012363679995,0.118587424290508,7,0.23185992262091,"no",""
"MAP3K14",8,0.207433056168985,"no",0.147316699569706,0.118487093808377,0,NA,NA,""
"MRGPRF",9,0.207818128137547,"no",0.0710219875282834,0.168123297255454,7,0.727962419145517,"no",""
"RGS2",6,0.208089421851086,"no",0.0434248706545008,0.238443401919705,4,0.14210013669168,"no",""
"RELA",9,0.208136259951918,"no",-0.0370098827820481,0.244172937783225,7,0.000507459394165523,"no","ST_Act"
"KIF2B",8,0.208613297506932,"no",-0.204092676442177,0.386752980394669,6,0.88379286489846,"no",""
"ACADSB",9,0.208879646573328,"no",-0.030792709173737,0.105166600858081,7,0.0109943871097693,"no",""
"FAM132A",5,0.208993982522793,"no",NA,NA,0,NA,NA,""
"PARP4",8,0.209402236058173,"no",-0.0764623317803663,0.386613406465994,7,0.995910130279685,"no","COREAD_ambiguous,MM_ambiguous"
"SMARCB1",8,0.209402236058173,"no",-0.271868711899151,0.407536201697229,6,5.77033546479325e-09,"yes","ATRT_LoF,MBL_LoF,NB_LoF,PAIS_LoF"
"CNOT6",8,0.209486865237918,"no",0.0250497368966685,0.127153801118064,6,0.598271794016898,"no",""
"NAA20",9,0.209518036356817,"no",0.106711217085049,0.193041403501966,7,3.91667785270122e-06,"yes",""
"SMARCAL1",9,0.209518036356817,"no",-0.0689931786790782,0.148824578600864,7,0.960154374851878,"no",""
"STK33",8,0.209543295443421,"no",-0.113682782657386,0.128726334842826,6,0.998904394081882,"no",""
"BRD7",9,0.209704442066757,"no",-0.165961840921797,0.114073257542974,7,0.00365280032910759,"no","CM_LoF,HC_LoF"
"SENP2",9,0.210077536038485,"no",-0.118260031093811,0.108216922252913,7,0.547410436378366,"no",""
"CHRNB1",9,0.210290901667074,"no",-0.165440967730269,0.288613862328226,7,0.984476529897991,"no",""
"FABP7",9,0.210397630574272,"no",-0.0249181831177038,0.249527819473952,7,0.592031833403971,"no",""
"KCNJ5",7,0.210703620807113,"no",-0.24196797644343,0.060575323829794,5,0.999473217857655,"no",""
"PDE3A",9,0.210744711662042,"no",-0.00879335262676109,0.279806474399728,7,0.997717510242508,"no",""
"THRAP3",9,0.210771423642289,"no",-0.472594757210714,0.132426417945516,7,0.0415653598710312,"no",""
"TRIM28",7,0.210824547724659,"no",-0.115196292484682,0.414279780252457,5,0.755073297487064,"no",""
"NMNAT2",7,0.210975761120839,"no",-0.194183805721767,0.166280541694368,5,0.768700947692466,"no",""
"RAB32",9,0.210985188555654,"no",-0.0638422083158227,0.151591123436871,7,0.961023393063605,"no",""
"GPR68",7,0.211127035334469,"no",0.00798260108178657,0.154028257141338,5,0.0383968867975543,"no",""
"MAT2B",9,0.21143984654805,"no",-0.0859897419809734,0.13512064112723,7,0.996983029762672,"no",""
"FZD10",8,0.211495398831255,"no",-0.151772088070351,0.511631163156593,6,0.995717008452479,"no",""
"MED25",8,0.211495398831255,"no",-0.472877629823598,0.29521630264327,6,0.00331773124247389,"no",""
"FNDC3B",9,0.211653994942442,"no",0.00845587227116497,0.170843281146022,7,0.741713335738193,"no",""
"ARHGAP39",8,0.212119955406559,"no",-0.251989751847032,0.135797579503643,6,0.90573685588101,"no",""
"NR5A1",9,0.212163088736315,"no",-0.0614920748554444,0.0987020608991918,7,0.222268994891854,"no",""
"ADORA2B",9,0.212672873576769,"no",0.13621103290056,0.207817270032768,7,0.0359654937458733,"no",""
"TMPRSS4",7,0.212795060989335,"no",-0.0143542514409456,0.0670127145251636,5,0.998152720268108,"no",""
"RAB6C",8,0.212859403401495,"no",0.397842733484522,0.269996997796557,0,NA,NA,""
"NEUROG2",7,0.21291665834236,"no",0.0285110236644977,0.163562514379775,6,0.989710626708897,"no",""
"TRA2B",9,0.213022071579162,"no",-0.265367009070678,0.270955092444327,7,3.5066345337517e-07,"yes",""
"GP9",9,0.213048946346152,"no",-0.0851085611200001,0.111259720702716,7,0.161946667481804,"no",""
"MYO15A",8,0.21305873255497,"no",-0.256239232588794,0.17311082616613,6,0.0453979650845289,"no",""
"PLAGL2",9,0.213344694908198,"no",-0.157575973861934,0.160873561053958,7,0.00165511149215159,"no",""
"ALDH9A1",7,0.213616595610375,"no",-0.0314919229748155,0.0677086291673059,5,0.999999579743762,"no",""
"GABARAPL1",7,0.214104264017933,"no",0.017536459885504,0.130844109098344,6,0.993178886506551,"no",""
"ITPK1",8,0.214142631351202,"no",0.0232160296255393,0.151221128500897,6,0.51928983080299,"no",""
"ADCY9",9,0.214610950086929,"no",-0.00228011786553398,0.123619662604255,7,0.871447682371637,"no",""
"LHX4",7,0.214928608448465,"no",-0.103504210533856,0.168596426173147,5,0.170742380348637,"no",""
"BRD9",9,0.215069994631611,"no",0.129985635467733,0.0771049998311616,7,0.992890828483581,"no",""
"TLK2",8,0.216032509040511,"no",-0.179334944419514,0.246770698340175,6,0.000386297845208657,"no",""
"LGALS16",9,0.21607099344868,"no",-0.193184282596085,0.072984876788182,7,0.585392678381819,"no",""
"RNPC3",9,0.216098083609727,"no",-0.41767986159489,0.308051535325874,7,1.79967724932341e-13,"yes",""
"SHPRH",9,0.216125175671598,"no",-0.0112119678390561,0.117742013986081,7,0.685847532760134,"no",""
"GTF2H5",9,0.21620646326121,"no",0.153985016661535,0.121207338092679,7,0.265411437318424,"no",""
"ATF6",7,0.216490505561459,"no",0.141092467247404,0.32224451061741,5,0.357007640155433,"no",""
"SMYD2",6,0.216602538877302,"no",0.0580965057537303,0.144151136963509,4,0.76000738443829,"no",""
"DHRS7",9,0.216613157718128,"no",-0.0252260274161966,0.161979281987166,7,0.261909859287602,"no",""
"ATR",6,0.216635645814847,"no",-0.654781330889011,0.567018460656803,5,2.92365917703049e-06,"yes","CM_LoF,UCEC_LoF"
"CACNA2D2",7,0.216674670351074,"no",-0.196278923890507,0.184662130525248,5,0.252352266593801,"no",""
"CDK17",9,0.216938820940107,"no",-0.138650420639075,0.327401045511562,7,0.997953011009542,"no",""
"VTCN1",9,0.217020279454181,"no",-0.000894060700933765,0.24814807568457,7,0.23666773081688,"no",""
"ABCA13",5,0.217025021873244,"no",-0.15419439020611,0.292245879254773,4,0.602074055229412,"no",""
"CAMK1",8,0.217556842478119,"no",0.192378363450141,0.140336732585465,6,0.990622847328212,"no",""
"EGFL7",9,0.217863016986762,"no",-0.226967315309936,0.294287683132198,7,0.299611221032328,"no",""
"NUP37",9,0.21797188999605,"no",-0.227867978436366,0.226452967947619,7,0.00643440808963886,"no",""
"H2AFY",9,0.218162490685451,"no",-0.04247604479328,0.173860526416578,7,0.0121364844893813,"no",""
"HOXB8",7,0.2182743924991,"no",-0.27530185608204,0.529519811206342,5,0.171284184629412,"no",""
"FCGR2B",7,0.218891399464162,"no",-0.00816744134148952,0.251550658969547,5,0.532369099916396,"no",""
"SETD1B",8,0.219173927136223,"no",-0.0571164645312947,0.346544301246493,6,0.000856114684115224,"no","ESCA_LoF,OV_LoF,PAAD_LoF"
"TNFRSF11B",8,0.219202863927064,"no",-0.0644253471655999,0.230665568768173,6,0.999869409486972,"no",""
"RER1",5,0.21942302183246,"no",0.0446907533468273,0.0842003159620354,4,0.0317022664324401,"no",""
"HMGN2P46",9,0.219526620452584,"no",-0.0178089258356473,0.362876361892524,0,NA,NA,""
"LCNL1",9,0.219526620452584,"no",-0.0521459361217943,0.213765618108943,7,0.937767575807989,"no",""
"KCNA3",9,0.219608618505836,"no",-0.151022967256597,0.256664901667992,7,0.0816978001707487,"no",""
"BACH2",9,0.219745319692749,"no",0.0165188030129809,0.113757946462739,7,0.973710097072576,"no",""
"ECHDC3",9,0.21977266559396,"no",-0.00222868297639504,0.136797384895085,7,0.90878543891603,"no",""
"RIOK3",9,0.22023783465288,"no",-0.108436563964532,0.269922757841209,7,0.612300982838842,"no",""
"PSTPIP2",9,0.220319979904708,"no",-0.146696144851814,0.114310455057566,7,0.999953028586747,"no",""
"CYP21A1P",9,0.220319979904708,"no",-0.150241446818344,0.485951060309723,0,NA,NA,""
