"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CADM3",7,2,0.707097580020765,"no",0.0155238988804304,0.276818241590916,0.126142001531309,0.0126058549340635,5,2,0.479425364279673,"no",""
"NME2",7,2,0.712726293008073,"no",0.187511065287982,0.536474267373501,0.237694478371836,0.0916864137803545,5,2,0.523198502380626,"no",""
"NME1-NME2",7,2,0.712726293008073,"no",-0.186434069143053,0.325617261698323,-0.193271452735354,0.154797456297352,0,0,NA,NA,""
"VANGL2",7,2,0.72371553302846,"no",-0.180980678438102,0.109510091821341,-0.0827911453892567,0.169002921780867,5,2,0.055765007174398,"no",""
"OBSCN",5,2,0.726758320995268,"no",-0.0693297062589184,0.0970273668350607,0.058878955952574,0.177096572494321,4,2,0.453391631623157,"no",""
"GPR52",7,2,0.726783871003737,"no",-0.151803737251856,0.146126940981318,-0.0180222104553341,0.0790183940789313,5,2,0.375882357789823,"no",""
"ANGEL2",6,3,0.729709708045432,"no",-0.472545726693468,0.373690630369703,-0.177468300313857,0.299702799415466,4,3,0.322507139147928,"no",""
"BTG2",6,3,0.729945177455466,"no",0.0356139694987514,0.276603568360474,-0.00524369394112799,0.138439509021148,4,3,0.563072143913412,"no",""
"NPR1",6,2,0.732519658727033,"no",-0.0900726373009841,0.126768355353428,-0.022486861760917,0.135057000924861,4,2,0.31118599726434,"no",""
"PGAM5",7,2,0.734050961365135,"no",0.11296526328004,0.201786913088949,0.0920306702104617,0.105334171589909,5,2,0.511412437958834,"no",""
"SH2D1B",7,2,0.7378679882,"no",-0.00696096233827303,0.117898904474907,0.186673193103953,0.0427455548035255,5,2,0.543220312559503,"no",""
"RAB3GAP2",6,3,0.74280704190884,"no",-0.103389671277871,0.261989979781119,-0.0199628305637933,0.127102081025754,4,3,0.485628336681883,"no",""
"PTGS2",6,3,0.748813056305141,"no",0.152437961262491,0.204542911404615,0.230368651660801,0.200295655881606,4,3,0.717051303589836,"no",""
"APH1A",6,3,0.749680020169898,"no",-0.178152077290396,0.0825761490738482,-0.068428815229208,0.0325689411616933,4,3,0.190964173709145,"no",""
