"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"FAP",7,0.0841867756099247,"no",-0.0436341179043617,0.244773732297572,5,0.00691322852617426,"no",""
"ATP5J2",9,0.0843893013129225,"no",-0.163567812274352,0.17630178308396,0,NA,NA,""
"CYP7A1",8,0.0845848406165177,"no",0.244102436697,0.253949046736526,6,0.00728227517634583,"no",""
"FAM118A",9,0.0846821677410278,"no",0.106852294955233,0.142277310974338,7,9.1608439334312e-07,"yes",""
"GRTP1",8,0.0846938693155521,"no",-0.0140120255866447,0.217636628727733,6,0.439292846113379,"no",""
"KATNAL2",9,0.0848582402573489,"no",0.075264571661977,0.173698915755118,7,0.0970822831128874,"no",""
"NEK7",6,0.0851331251054478,"no",-0.102476629244572,0.232882875660169,4,0.413148524937756,"no",""
"THBS1",9,0.0851670041882828,"no",0.130712579148188,0.201003631226179,7,0.206691231339002,"no",""
"CDC14A",8,0.0851935751842894,"no",-0.0828306470101138,0.446034255707922,6,0.428973203609225,"no",""
"MDH1B",9,0.0853290614922215,"no",-0.131479304336908,0.180413197222849,7,0.0553573439037502,"no",""
"TRIM27",9,0.0853290614922215,"no",-0.0152661916118958,0.152831400343195,7,0.242225982818404,"no",""
"FGFR4",8,0.08535016743639,"no",-0.104334734556515,0.040356178095079,6,0.160653329091074,"no","GBM_Act"
"OR4K15",8,0.0853971854602718,"no",-0.0160488130930826,0.0847100710457949,6,0.0835477248020123,"no",""
"COL1A1",8,0.085915613804976,"no",-0.00308022931383406,0.0490252400577508,6,0.0341432730167768,"no","CESC_Act,CM_Act,GBM_Act,MM_Act,SBCC_Act"
"DDX52",9,0.0860981686293677,"no",-0.0966324442396954,0.129481570552134,7,0.999893956274987,"no",""
"CDH17",9,0.0868872032940996,"no",-0.0738804739326585,0.194327533825836,7,0.097398265448695,"no",""
"UBE2MP1",9,0.0870815336951241,"no",0.0441191855093386,0.295760509170434,0,NA,NA,""
"XRCC1",9,0.0870964951512155,"no",-0.0977912324239448,0.205999551700112,7,0.999737004510988,"no",""
"FNBP1",8,0.087134067574828,"no",0.176670205074106,0.0834548630937285,6,0.933971716271951,"no",""
"KHSRP",9,0.0872312316262306,"no",-0.219176789458143,0.342627313662454,7,0.889496605293786,"no",""
"RAB8B",9,0.087261193448575,"no",-0.0714794892486613,0.269657346617124,7,0.863402166574422,"no",""
"ERCC3",8,0.0873091388389957,"no",0.0808826544491469,0.162660424813142,6,0.999927315171019,"no","CM_LoF"
"ATP4A",9,0.0885414334368647,"no",0.0950859688736959,0.0715050921655632,7,0.695963637172026,"no",""
"STX18",8,0.0888961393837057,"no",0.0147093407859788,0.419421542170652,6,0.999997916485149,"no",""
"ADAM23",9,0.0889964905996024,"no",-0.119766998202264,0.26209009754627,7,0.00900548151546143,"no",""
"PIK3CD",8,0.0891383814906161,"no",-0.143005922301148,0.378564524597451,7,0.853322405113497,"no",""
"XRCC4",9,0.0894532253275562,"no",0.249448385123295,0.170325302951415,7,0.996329811125385,"no",""
"GRIA4",8,0.0894945227505813,"no",0.0479326895249872,0.307820149125837,6,0.155637689132774,"no",""
"APAF1",8,0.0896405094382575,"no",0.0423249022952673,0.213878015014059,6,0.229364769771589,"no",""
"SS18",9,0.0899269495028696,"no",0.16107357992941,0.17124252892535,7,0.0176338301037594,"no",""
"CYP2D7P1",8,0.0905200016435044,"no",NA,NA,0,NA,NA,""
"PRSS42",8,0.0906671797299735,"no",0.0573483053755562,0.298066605338132,6,0.00514986204823908,"no",""
"PPARGC1B",8,0.0909784490323091,"no",0.0250683873201053,0.179465178627764,6,0.999998629477122,"no",""
"CAMKK1",9,0.091018704171297,"no",0.00486852757565203,0.271595188444907,7,0.0716395939568927,"no",""
"KIF26A",7,0.0911866562808586,"no",-0.00229914904847411,0.264815570923698,5,0.741389579994179,"no",""
"UBLCP1",9,0.0912196261187167,"no",0.0286108022634002,0.205184706585409,7,0.000158174835770963,"yes",""
"CTNND1",9,0.0914053740531909,"no",-0.1024169086745,0.21384516131695,7,0.74552657540372,"no",""
"TMX2-CTNND1",9,0.0914053740531909,"no",0.115396918077814,0.311575531764269,0,NA,NA,""
"GATA6",9,0.0919642409492943,"no",9.49884189404125e-05,0.144296804634981,7,1.09605368877608e-05,"yes",""
"IDH3B",9,0.0922134084942798,"no",0.0289673006439386,0.24575671323063,7,0.000726476234507389,"no",""
"BTN3A1",9,0.0922445883130528,"no",0.0362817092560763,0.0981567752744681,7,0.000133343812892872,"yes",""
"BTN3A2",9,0.0922445883130528,"no",0.0953379576208473,0.072187284330331,7,0.00129043801889295,"no",""
"ARL8A",6,0.0923119609439,"no",0.043901982873202,0.174084965517563,4,0.615932540299901,"no",""
"TLR9",8,0.092380291985267,"no",-0.0873387460703912,0.0993330173476305,6,0.815071072308425,"no",""
"KAT8",9,0.092384990693836,"no",-0.520936266060128,0.169410184610064,7,0.99999995150803,"no",""
"CACNG1",8,0.0929453053529512,"no",-0.111649407850263,0.106654224963143,6,0.962566491196086,"no",""
"SGMS2",8,0.09321204130996,"no",0.045768160246168,0.123751414877845,6,0.00281174776043513,"no",""
"PTGFR",9,0.0933249080531937,"no",-0.0907342440055072,0.193551519545455,7,0.515276285397377,"no",""
"SHC1",7,0.0933342537739177,"no",0.0870464750887038,0.137730671647294,5,0.934107996278154,"no",""
"USP7",9,0.0934035411169343,"no",-0.0395093322581225,0.994153063827083,7,0.999872354458773,"no",""
"ZBTB44",7,0.0936029481519071,"no",-0.236242302884643,0.209584657265626,5,2.43298935391767e-05,"yes",""
"TOPORS",9,0.0939237041383711,"no",-0.216566290206476,0.196060343765485,7,0.233639574359117,"no",""
"TMEM68",9,0.0939868941214593,"no",-0.205210819676552,0.146484116642226,7,3.87315059026117e-05,"yes",""
"EGR1",8,0.0939987190284215,"no",-0.167394446371798,0.349683425844392,6,0.634090752926714,"no",""
"PTEN",9,0.0940659241698819,"no",0.172200579140177,0.234800318270007,7,-2.66453525910038e-14,"yes","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF"
"PTENP1",9,0.0940659241698819,"no",0.221135746491471,0.292082748624757,0,NA,NA,""
"ROR1",9,0.0942241262048729,"no",0.0335786940057258,0.280296385492131,7,0.00934306017961639,"no",""
"LPAR3",9,0.0942557893276362,"no",0.120228535860938,0.200237885664116,7,0.048522458974447,"no",""
"ATP13A3",9,0.0942716237290337,"no",-0.0486187065174089,0.18594187657361,7,0.82632334032384,"no",""
"RORB",8,0.0942844175365606,"no",0.16807823535762,0.302676349540106,6,0.251882089196951,"no",""
"KLF13",9,0.094382517560085,"no",-0.160107103394464,0.213793830007292,7,0.0457400206783862,"no",""
"PARP3",8,0.0945538716940247,"no",-0.0450600528048112,0.208193548527065,6,0.945471305499475,"no",""
"DCAF10",9,0.0946204597498854,"no",0.162554362333347,0.109073206107035,7,0.901410389164403,"no",""
"STAP1",9,0.0948429238619802,"no",0.169409661688651,0.215392973793457,7,0.00267764696247996,"no",""
"SIK3",7,0.0951902724637939,"no",0.145183553404001,0.238679869348202,5,0.0110399887776097,"no",""
"DCAF6",7,0.0957357045256709,"no",-0.137326725569199,0.225652421620733,5,0.996598217295185,"no",""
"MBP",6,0.0958388400546116,"no",0.283468583007942,0.138333204924447,5,0.00938200391351329,"no",""
"GSTA1",9,0.095928755185712,"no",0.0512818019636552,0.151767034631158,7,0.932763076723068,"no",""
"GSTA3",9,0.095928755185712,"no",0.180755263357181,0.170323617179494,7,0.182431417693081,"no",""
"GSTA7P",9,0.095928755185712,"no",0.0421379912207568,0.666643585697837,0,NA,NA,""
"ECHS1",9,0.0965715861102868,"no",-0.0567722270936422,0.103743229802669,7,0.0194681373691122,"no",""
