"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"COL15A1",9,0.602372402965918,"no",0.0312759523965859,0.148593554292084,8,0.328095092396575,"no","",0.0258624608883599,"down","FGFR3 (depleted, 3% vs 23%)","",412
"RTN4IP1",11,0.602735928045347,"no",0.00554294439981094,0.12771920868328,10,0.348399378271899,"no","",0.0089360271220301,"up","","",412
"ADAM12",11,0.602832062499608,"no",-0.00537406434581315,0.259647193016472,10,0.7802334519551,"no","",0.0142309971554451,"up","FGFR3 (depleted, 4% vs 22%)","",412
"TBC1D3B",9,0.603043586819634,"no",0.0282191240903475,0.21359328121191,8,4.64990446482787e-20,"yes","",0.857873367319809,"up","","",412
"TBC1D3C",9,0.603043586819634,"no",0.200056994725564,0.10842954295026,0,NA,NA,"",0.43217476255647,"down","","",412
"ASCL2",11,0.603152466754852,"no",0.0149030091644911,0.127890905089355,10,0.913541169606233,"no","",0.0351691928234268,"up","","",412
"PHYH",11,0.603312643495465,"no",0.048103592883903,0.265971432812993,10,0.947292416414166,"no","",0.483764872737496,"up","","",412
"PAK4",11,0.603312643495465,"no",-0.0905911611739546,0.241840920594161,10,0.196614088437479,"no","",3.86120022201965e-06,"up","","KMT2D (depleted, 13% vs 29%)",412
"RTN4RL2",11,0.603344676809407,"no",-0.156639348347166,0.270257667184046,10,0.0225925929133658,"no","",0.00421012214347633,"up","","",412
"PRL",9,0.603502648027101,"no",-0.0802833722848385,0.13726393396523,8,0.988979315322977,"no","",0.0506487863230696,"up","","",412
"MATN4",9,0.603608565555614,"no",-0.194159152427668,0.256274370058632,8,0.50869869706798,"no","",0.00113112918603257,"down","","",412
"PRKG2",10,0.603804261925636,"no",-0.0587151257598428,0.179274231820507,9,0.554009629296581,"no","",0.330061609869003,"up","","",412
"OLFML2B",10,0.60383780386205,"no",-0.0573586117683735,0.119867967104875,9,0.0242447359498425,"no","",0.0857402746145697,"up","FGFR3 (depleted, 4% vs 22%)","",412
"ZWINT",11,0.603953180624306,"no",-0.0610749002844636,0.188312783431562,10,1.84712446308558e-06,"yes","",7.39962195610777e-11,"up","","RB1 (enriched, 28% vs 6%)",412
"PGAM1",11,0.604017219352014,"no",-0.16580415853651,0.228186252182868,10,1.38258692483374e-09,"yes","",0.528112249285561,"up","","",412
"IQUB",11,0.604497422647905,"no",-0.0105211954570358,0.127033248885971,10,0.999999992842155,"no","",0.372663165359636,"down","","",412
"CYP3A5",9,0.604596771692528,"no",0.141646868214086,0.161715104957771,8,0.836991855525015,"no","",0.409939067502309,"down","FGFR3 (enriched, 20% vs 6%)","RB1 (depleted, 10% vs 24%), TP53 (depleted, 9% vs 24%)",412
"STK10",11,0.604625450829052,"no",-0.0301039403622826,0.1352692501576,10,0.999809982289162,"no","",0.930527658582295,"up","","",412
"FOXP4",10,0.604676109298643,"no",-0.0578118807889805,0.0753042887420942,9,0.210401210879957,"no","",2.91332704181118e-06,"up","","",412
"CANT1",11,0.604977471646731,"no",0.0537662808662592,0.111540446972973,10,0.0460231164425209,"no","",1.67339720535363e-06,"up","FGFR3 (depleted, 5% vs 21%)","RB1 (enriched, 28% vs 6%)",412
"PSG6",11,0.605137453574379,"no",0.151154367938781,0.135545496361548,10,0.0249933217679105,"no","",0.101509093903502,"up","","",412
"CAMK2A",11,0.605233434455244,"no",-0.150936805290951,0.29327846492655,10,0.997177917846625,"no","",3.22166966668379e-08,"down","FGFR3 (depleted, 3% vs 23%)","",412
"ADIPOQ",11,0.605393388779779,"no",-0.0950058493341809,0.12911034768,10,0.885555425148168,"no","",3.42247556811834e-08,"down","","",412
"TFAP4",10,0.605681455498957,"no",-0.132754594712669,0.165699789442333,9,0.000112264321686337,"yes","BLY_LoF,NHLY_LoF",2.50520124788175e-09,"up","","TSC1 (depleted, 1% vs 10%)",412
"SSTR4",10,0.605781952679558,"no",-0.0740519421167651,0.168167282460852,9,0.999985663458142,"no","",0.00539708227831298,"down","","",412
"ZBTB4",11,0.605809189069542,"no",-0.241286020678332,0.292738089532907,10,0.999994068529927,"no","",2.47678515387452e-08,"down","","",412
"IDH3A",10,0.605848947004802,"no",-0.0565815714369919,0.165026050575213,9,0.00445053183579345,"no","",0.0135774367899553,"down","","",412
"KCNQ5",11,0.60596908105265,"no",0.0269164113609097,0.0880243350756926,10,0.88687751351968,"no","",3.55520102515852e-07,"down","FGFR3 (depleted, 5% vs 21%)","",412
