"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"RPL22",4,0.69744327967629,"no",-0.337130346000794,0.260154469634508,2,0.204900846501298,"no","HC_Act"
"PLEKHG4",5,0.697744180565865,"no",-0.253755994065786,0.119662918724302,3,0.697203850306032,"no",""
"PLEKHH2",5,0.697786776140784,"no",-0.0477037562443153,0.206866050849101,3,0.0426319275072582,"no",""
"KMT2A",5,0.699020946064314,"no",-0.136004059550601,0.290190197594214,3,0.87719906692552,"no","ACC_LoF,BCNET_LoF,BLCA_LoF,CM_LoF,ESCA_LoF,HC_LoF,OV_LoF,PRAD_LoF,SBCC_LoF,THCA_LoF"
"PPME1",5,0.699573501380765,"no",-0.285176459422446,0.126969467701617,3,0.972229712892727,"no",""
"INPP5E",5,0.699615987812964,"no",-0.0836649278801709,0.113023121810913,3,0.253100370111327,"no",""
"SGK2",5,0.699658471696708,"no",-0.13598957916432,0.202846791953867,3,0.0542409041419009,"no",""
"PFKFB4",4,0.69980008734284,"no",-0.186307850897814,0.274806249181563,2,0.949054729093556,"no",""
"HECTD2",5,0.700125626086954,"no",0.12717631367355,0.183802280603335,3,0.401100043474962,"no",""
"COL13A1",5,0.700295423822359,"no",-0.171975843122162,0.175101249063388,3,0.073589790751415,"no",""
"LEO1",5,0.700762156645412,"no",-0.19076598997884,0.059958350651935,3,0.980542411462794,"no",""
"AK4",5,0.700931800875189,"no",0.0744079280194397,0.11092179455223,3,0.851476826669799,"no",""
"NOSTRIN",5,0.700974205526735,"no",-0.0329783140611857,0.196983864058851,3,0.0898408805045002,"no",""
"IRF7",4,0.70167993279738,"no",0.151750306905924,0.17568004561617,2,0.738924733495118,"no",""
"STX7",5,0.701694692044029,"no",-0.0695639722273141,0.147761817963644,3,0.0046179801844618,"no",""
"EBI3",5,0.701779406356139,"no",-0.47303929487341,0.156681437811183,3,0.974912106582129,"no",""
"PIAS1",5,0.702287476048282,"no",0.137508069590283,0.0863700415475501,3,0.927009878864044,"no",""
"NT5C1B-RDH14",4,0.702430468270445,"no",NA,NA,0,NA,NA,""
"VAX2",5,0.702541371755694,"no",0.0296416908034505,0.0742111194613337,3,0.422979315537522,"no",""
"ORM2",5,0.702879754850856,"no",-0.0394835165217696,0.0478136515279699,3,0.162462256206622,"no",""
"BAZ1B",4,0.703227030200513,"no",-0.0509959845784828,0.176956700687603,2,0.920929260121748,"no",""
"MAP3K1",5,0.703260238146734,"no",-0.0564888398083209,0.0608287289542785,3,0.103030753092715,"no","BRCA_LoF,CESC_LoF,COREAD_LoF,GBM_LoF,HC_LoF,THCA_LoF,UCEC_LoF"
"MMRN2",4,0.703461139796774,"no",-0.237541463767198,0.467019110299094,2,0.656181314699594,"no",""
"TK2",4,0.703695170486434,"no",-0.0163520475942119,0.16982016257036,2,0.656611144831884,"no",""
"NACC2",5,0.704442621823627,"no",-0.166076644845571,0.16092763341914,3,0.710876418086598,"no",""
"HS3ST5",4,0.704490283693635,"no",-0.228773621740124,0.177122677310813,2,0.0510556695369331,"no",""
"KLF9",5,0.704569185025275,"no",-0.000197090621515831,0.160719355865909,3,0.587859179472037,"no",""
"MAMSTR",4,0.704910855466804,"no",-0.104322671587744,0.188320599851964,2,0.0619058233581072,"no",""
"KDSR",5,0.705454470989445,"no",0.0276125481199692,0.0577925741961364,3,0.998187813967478,"no",""
"RPS6KA2",3,0.705479341097833,"no",-0.185660789831578,0.141699762036606,2,0.512537360417818,"no",""
"GDEP",5,0.705959831826403,"no",NA,NA,0,NA,NA,""
"EXT2",4,0.705984481368812,"no",-0.0228547397817189,0.0914793242779381,3,0.905974641049328,"no","CH_LoF"
"ELF1",4,0.706031122577096,"no",-0.115392801599935,0.0668745971097933,2,0.677343483248799,"no",""
"CLEC12A",5,0.706296529725595,"no",0.00234303028711103,0.156292762653191,3,0.640668338556528,"no",""
"KHK",5,0.706380678001623,"no",-0.0747478260592298,0.133475544561034,3,0.511017173645847,"no",""
"PCDH8",4,0.708033673416655,"no",-0.0344998886887778,0.106016791452566,3,0.523840507657481,"no",""
"PLAGL2",5,0.708229280566832,"no",-0.209743320548181,0.077392624097913,3,0.876351159543396,"no",""
"HDAC9",5,0.708271234974053,"no",0.0653786038761407,0.10595261668814,3,0.125642450127617,"no",""
"CACNA2D1",4,0.708359109597961,"no",-0.154258923575922,0.250443908615895,2,0.0482778294401889,"no",""
"NRBP1",5,0.708816401696606,"no",-0.638312728640128,0.496278190138129,3,0.999647339858353,"no",""
"RPS6KB1",5,0.709025962114439,"no",-0.236480155105673,0.064064499792202,3,0.261531507426314,"no",""
"ITGB4",4,0.709334472848949,"no",-0.0387629996490931,0.260657276411928,2,0.508261666996391,"no",""
"NTN3",5,0.710281931494563,"no",-0.0249469825555338,0.214190771643707,3,0.221776752627797,"no",""
"PKP3",2,0.711021110479993,"no",-0.0215939274475252,0.121572225343241,1,NA,NA,""
"TNIK",5,0.711117913567103,"no",-0.324378679717036,0.076458390860956,3,0.108713464611742,"no",""
"AXIN1",5,0.711201453048673,"no",-0.0309833729284937,0.345277511368567,3,0.72148178127113,"no","ESCA_LoF,GBM_LoF,HC_LoF"
"REV3L",2,0.71120489056105,"no",-0.144685586500621,0.029538030332049,1,NA,NA,""
"HMGN1",4,0.711419743138251,"no",-0.018893127229862,0.0406070621444241,2,0.58709296556463,"no",""
"LAMA3",5,0.711452007330386,"no",-0.0491085394824686,0.0743981341172312,3,0.446585596061507,"no",""
"SRR",5,0.711744198916739,"no",-0.137109714524673,0.132058544048306,3,0.423618323039666,"no",""
"MAMDC4",4,0.712113374164863,"no",-0.147747431968373,0.106735787894993,2,0.217594067322714,"no",""
"NTN5",5,0.712369881585902,"no",-0.182460433989452,0.331786853556102,3,0.644117495924682,"no",""
"FBXW9",5,0.713036610480128,"no",-0.310275694069213,0.051168184728206,3,0.748636246027445,"no",""
"ART3",5,0.713078258171419,"no",2.27459419418176e-05,0.167513011554772,3,0.762860283379771,"no",""
"SLC12A7",4,0.713544555160895,"no",-0.202512599182531,0.16824330915136,2,0.21024605689966,"no",""
"SEMA3D",4,0.713821195269317,"no",0.00581766163110115,0.183902617838827,2,0.118512881968758,"no",""
"ARL6",5,0.71403541104166,"no",-0.179191786527654,0.142411957188279,3,0.00281104836751866,"no",""
"GPR110",3,0.714647671643157,"no",NA,NA,0,NA,NA,""
"CORO7",4,0.714742476921422,"no",-0.261919323371743,0.136770698902313,2,0.646802311527235,"no",""
"CLEC1A",5,0.715115688133418,"no",0.202084986273161,0.15317012004218,3,0.87719906692552,"no",""
"SLC4A8",5,0.715157200664603,"no",-0.0207670345210116,0.080655801093565,3,0.185728368674307,"no",""
