"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"TNKS",4,0.42798360798822,"no",-0.394712224684635,0.237110442241542,2,0.679699459141635,"no",""
"LSG1",4,0.428194935301632,"no",-0.224863270177052,0.09370975219887,2,0.00422509993623738,"no",""
"RER1",5,0.428339209586635,"no",-0.0636104759153665,0.147871778969302,3,0.0101425003058769,"no",""
"DGKD",4,0.429357603756521,"no",-0.0806434959611614,0.0877916797013346,2,0.324881792017218,"no",""
"MED13",5,0.429385494793664,"no",0.0649101008669085,0.0190309946078285,3,0.900073120020785,"no",""
"NBEAL2",4,0.429463331592587,"no",-0.0498022995871717,0.121488420493412,2,0.804719952246458,"no",""
"DUSP4",4,0.429727673422207,"no",0.0071321443542008,0.184107119064534,2,0.883998032221413,"no",""
"RAPGEF2",4,0.429939169702674,"no",-0.0382711587052004,0.06496513388054,2,0.636855350402719,"no",""
"IRAK2",3,0.430036833432842,"no",0.0434157530860291,0.0585042978211509,2,0.702117756904427,"no",""
"ALDH16A1",5,0.43024188901927,"no",-0.12310264518272,0.03729829771622,3,0.574719545468092,"no",""
"TXNRD3",5,0.430289475437416,"no",-0.17920614430946,0.072634601052591,0,NA,NA,""
"NEK2",4,0.430626671969898,"no",-0.193472103554697,0.245223516286312,2,0.259454213718124,"no",""
"EIF3H",4,0.430732460382766,"no",-0.849411668512283,0.0873900319467407,2,0.00581320024469843,"no",""
"MCMBP",4,0.430838253797844,"no",0.00095719561818965,0.0460424005714902,3,0.00295554291337042,"no",""
"PUF60",2,0.430844533061345,"no",-1.28933499947961,0.0881624024706151,1,NA,NA,""
"GJB7",3,0.430992797306878,"no",-0.0763838810234836,0.328999862175138,2,0.783885631475373,"no",""
"SACS",4,0.431102759173842,"no",-0.227822874393506,0.0555055225402727,3,0.579192149480652,"no",""
"TCF20",5,0.43147943944053,"no",-0.349595469735227,0.225405781515453,3,0.643994468045384,"no",""
"NRAS",4,0.431578947171606,"no",-0.0844122232511065,0.0790521722136146,2,0.930194333156542,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act"
"NUDT8",5,0.431765117034916,"no",0.0204629583257129,0.00590980652361,3,0.533801850905854,"no",""
"LGR4",4,0.432266950917136,"no",0.207447800001135,0.117672436283014,2,0.964813668666088,"no",""
"RNF112",5,0.43281288369066,"no",-0.282882039570774,0.304673617587408,3,0.999762817362944,"no",""
"THRSP",5,0.43314635621828,"no",-0.20466491166056,0.112269110060033,3,0.496111259217663,"no",""
"MITF",5,0.433241642202176,"no",0.102670745222895,0.0942424899191561,3,0.79620055113606,"no",""
"MPZ",5,0.433384577924701,"no",-0.189178388959855,0.073432489453117,3,0.99113661484843,"no",""
"SERPINA4",4,0.433431735506982,"no",-0.0416427438707763,0.0725908040767158,2,0.273330180985948,"no",""
"ENC1",5,0.434147037835455,"no",-0.116215592710918,0.159004848980595,3,0.944647635651982,"no",""
"PPP1R13B",5,0.434909724998606,"no",-0.105159782254948,0.126841303735577,3,0.818590461163925,"no",""
"PKIA",3,0.43493934773127,"no",-0.273917087333304,0.139372380766686,1,NA,NA,""
"ASGR1",4,0.435074010887611,"no",-0.179535623208914,0.109322529648727,2,0.970269338855086,"no",""
"PARP3",4,0.435445004851024,"no",-0.0230926126652816,0.177815359234117,2,0.188216257858072,"no",""
"FFAR1",4,0.435816056216517,"no",0.00588660826232985,0.143423508639454,2,0.670504426288497,"no",""
"WDR76",5,0.436435770669582,"no",-0.306073125638475,0.1311195040544,3,0.182414792934598,"no",""
"VAT1",5,0.436865130065003,"no",-0.162414322526243,0.079918261134309,3,0.259879635107212,"no",""
"PIGZ",3,0.437273734660629,"no",-0.0636976657918854,0.178225809150481,1,NA,NA,""
"SSH3",5,0.438010424367521,"no",-0.110307916455238,0.153628714597863,3,0.718873457238882,"no",""
"DDX17",5,0.438344559654714,"no",-0.409889966292016,0.194765199080241,3,0.253644155902001,"no",""
"ATP8A2",4,0.438574204585418,"no",-0.154062601056297,0.12234200906666,2,0.315889182302901,"no",""
"IDH3A",4,0.438839572554036,"no",-0.11703601426556,0.168998380379243,2,0.206008756333618,"no",""
"PDHB",4,0.438998806710239,"no",-0.0353301301901429,0.100790550318668,2,0.758885057128342,"no",""
"DUT",5,0.439251703091713,"no",-0.258095934619131,0.099909127689775,3,2.83489704362528e-06,"yes",""
"BNC1",5,0.439299455717245,"no",0.0309477563782217,0.238970702066588,3,0.663039215560432,"no",""
"LIF",5,0.439347209161722,"no",0.0876451845485023,0.0994205543162811,3,0.863463127283945,"no",""
"CCR7",5,0.4396337469907,"no",-0.0556398336732349,0.163299795176483,3,0.442596582597842,"no","DLBCL_LoF"
"LIFR",4,0.439635843106171,"no",-0.238864466901022,0.108963451828191,2,0.903801003458525,"no","SCLC_Act"
"MSGN1",4,0.439688936646874,"no",NA,NA,3,0.505573791560321,"no",""
"STRADB",5,0.439920314140882,"no",-0.208107959979202,0.050344769117396,3,0.991161034135553,"no",""
"LRRC33",3,0.440209024580042,"no",NA,NA,0,NA,NA,""
"MED21",4,0.440326144640061,"no",-0.19759538500661,0.13946308067206,2,0.0122292944452066,"no",""
"AURKC",5,0.440350219541786,"no",0.00838270553396315,0.0200671648193618,3,0.568061142429179,"no",""
"TBX18",2,0.440473727130374,"no",0.204301629319846,0.0285257744719035,1,NA,NA,""
"ALDOC",5,0.440541309563952,"no",-0.250469874977442,0.19854431977797,3,0.131382553678764,"no",""
"GNG13",5,0.441066873195489,"no",0.0373586686366145,0.0590121330194178,3,0.0687875460122851,"no",""
"DPP10",5,0.441114656492137,"no",-0.107200051232513,0.0391631536398199,3,0.967800173434226,"no",""
"ESCO2",5,0.441210225468829,"no",-0.0247577629670519,0.0789321770676151,3,0.0419048295783241,"no",""
