"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"ABHD13",9,2,0.937172670671667,"no",-0.116667362004202,0.195306070783159,-0.0673365439161718,0,6,1,NA,NA,"",NA,0,191
"OR2T29",6,5,0.937402277697506,"no",NA,NA,NA,NA,4,3,0.539576286489142,"no","",NA,0,191
"SCAF4",9,2,0.940281072949041,"no",-0.104477127520654,0.149838403196081,0.0912657833196651,0.0848748578726059,5,2,0.700924348015912,"no","",NA,0.00523560209424084,191
"INSL4",6,4,0.942835414590785,"no",0.009636938733245,0.165847661124512,-0.0244080103639443,0.297807022974421,4,3,0.00853079493853947,"no","",NA,0,191
"TPP2",9,2,0.943656808919992,"no",-0.431017524811648,0.261282132455769,-0.136470696497682,0,6,1,NA,NA,"",NA,0,191
"IGSF9B",9,2,0.944091607086603,"no",0.0017776746435264,0.10781735932389,0.110679716589726,0.0145465922531715,6,1,NA,NA,"",NA,0.0104712041884817,191
"CYHR1",8,3,0.945457389463436,"no",-0.0792431342654325,0.332979533148408,0.286750452428976,0.098072318460342,4,3,0.371283878051636,"no","",NA,0.00523560209424084,191
"UBAC2",9,2,0.946932854160237,"no",-0.0607402306892381,0.168465338986244,-0.112032539746129,0,6,1,NA,NA,"",NA,0,191
"SCN4B",9,2,0.950787570504721,"no",-0.0251645733833422,0.0968435645182622,0.371155270517711,0.265490300466262,5,2,0.733686374349367,"no","",NA,0.0104712041884817,191
"CARM1",9,2,0.958586481708984,"no",-0.0779603265802476,0.24163508037992,0.336851280681196,0,6,1,NA,NA,"",NA,0.00523560209424084,191
"PWP2",5,5,0.964990919384903,"no",-0.0763928867054417,0.226690801347808,-0.0583013549271582,0.163805891815606,4,2,0.524896045526809,"no","",0.14689614527557,0.0209424083769634,191
"CBR1",7,4,0.966884490162,"no",-0.299070201476799,0.211726574053259,0.0468712008053363,0.228142980943386,4,3,0.128741458364372,"no","",0.0332466322980241,0.0209424083769634,191
"MAPK15",8,3,0.96904246947629,"no",-0.227972334768659,0.276120416724717,0.156883377581573,0.105497835066393,4,3,0.0537082705617313,"no","",NA,0.00523560209424084,191
"EPOR",9,2,0.978855572211799,"no",-0.172591393404517,0.064547980331601,0.0277862321401096,0,6,1,NA,NA,"",NA,0.00523560209424084,191
"METRNL",9,2,0.982211393939544,"no",-0.0956052860580063,0.218446942285629,0.148901343339135,0,6,1,NA,NA,"",NA,0.0104712041884817,191
"GPT",8,3,0.983401344474751,"no",-0.101298021293404,0.21822418619783,0.0563342599938533,0.125379859533356,4,3,0.479959886071623,"no","",NA,0.00523560209424084,191
"PDCD1LG2",6,4,0.984670233807358,"no",-0.0783760204764661,0.0847970698755324,-0.052437663367105,0.0193821132403486,4,3,0.00869702384393792,"no","CM_Act",NA,0,191
"DNMT3L",8,3,0.993197600964238,"no",0.0270751339627855,0.190169131895148,0.112190459532299,0.165427529000517,5,2,0.0655749936442788,"no","",0.164365722225099,0.0209424083769634,191
"GRB2",9,2,0.998354040725704,"no",-0.292885902288271,0.316302838106193,0.212702688238904,0,6,1,NA,NA,"",NA,0,191
