"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"DDX1",7,2,0.188267804337003,"no",0.0238255936552915,0.0860738682363113,-0.17681862981641,0.0384161997813005,3,1,NA,NA,""
"EGLN3",8,2,0.189175232995487,"no",-0.0943170239441902,0.108600382194564,-0.301011174194956,0.370884902245502,4,1,NA,NA,""
"RAB22A",8,2,0.190073134145389,"no",0.0180704826097083,0.296957965845475,0.213381314645536,0.250313079184866,3,2,0.691772104922961,"no",""
"SLC6A3",8,2,0.191488786998023,"no",-0.212301015715697,0.142413035027946,-0.159957161624491,0.00898109253082796,4,1,NA,NA,""
"SHC1",6,4,0.192579237233297,"no",-0.0352285662969282,0.185397849106949,-0.022728536675272,0.227340147445968,3,2,0.643883869796559,"no",""
"NR1I3",8,2,0.193204512350622,"no",0.0129752524705833,0.132769011390376,-0.240407751424279,0.0784049260870225,4,1,NA,NA,""
"PVRL4",8,2,0.195094268349768,"no",NA,NA,NA,NA,0,0,NA,NA,""
"BCAN",7,3,0.196070981238782,"no",-0.0250412304436933,0.208121276681549,-0.0649072094457291,0.157594912282274,3,2,0.602770062991871,"no",""
"ADAM17",8,2,0.197661183317256,"no",-0.212764112965292,0.244366654122363,-0.198190248661768,0.0629158872865995,4,1,NA,NA,""
"SEMA4A",4,4,0.200817131831615,"no",-0.0273750788100374,0.234175812736097,-0.187631724671164,0.236370038562517,1,2,NA,NA,""
"TMTC4",7,3,0.200983211931212,"no",0.00111918288385872,0.196759288225335,-0.0574330600993849,0.155977855023238,3,2,0.230600843027345,"no",""
"DCAF8",8,2,0.201509233263815,"no",-0.0765418747063821,0.0786079724772468,-0.3464800256947,0.18874942065265,4,1,NA,NA,""
"NSFP1",5,5,0.208947763175132,"no",0.314179377483504,0.120823062481579,0.163634979858276,0.274783499250656,0,0,NA,NA,""
"ALDH3A1",7,2,0.214638442220462,"no",-0.177718531182792,0.2043719455786,-0.123896017771268,0.187338714111165,3,2,0.42993015272469,"no",""
"C1orf56",6,4,0.217791634206782,"no",-0.17466826618176,0.221993541949493,-0.104597573347994,0.0878344903715461,3,2,0.620295242308687,"no",""
"CRABP2",7,3,0.21931094518969,"no",-0.138604479877645,0.259932723028452,-0.227243472685436,0.125527823842774,3,2,0.317482707177589,"no",""
"PDGFA",8,2,0.220468959551912,"no",0.0108140193105924,0.164923661687335,0.273411987068419,0.0600941047151835,4,1,NA,NA,""
"CDH4",8,2,0.223919681262107,"no",-0.141439669692497,0.106289959225182,-0.188153320433628,0.0599708724934785,3,2,0.327993561359968,"no",""
"HAPLN2",7,3,0.228017541344333,"no",0.0177926138495859,0.137797288030699,-0.143585510900347,0.144159082442945,3,2,0.539553955158493,"no",""
"OLFML2B",7,2,0.232031537795114,"no",-0.127670983420396,0.254164108695861,-0.399757794345288,0.203594719395337,3,1,NA,NA,""
"ARHGAP30",7,2,0.234931764317351,"no",-0.026342799580355,0.189153392489933,-0.010060918976566,0.147104763307022,3,1,NA,NA,""
"ITLN1",8,2,0.23857711486967,"no",-0.143540400326401,0.350908022533541,-0.0982308332075409,0.177309420516278,4,1,NA,NA,""
"NKX2-8",7,2,0.244939212451091,"no",-0.0323138433750769,0.113410096469947,-0.125674231152894,0.0899587646728739,3,1,NA,NA,""
"SDHA",6,4,0.245615211968121,"no",0.0110895676800238,0.058469026223944,-0.111778380002348,0.111248288201961,2,3,0.511004938584326,"no",""
"IQGAP3",7,3,0.246116405618664,"no",-0.076215869227562,0.0658345479408317,-0.0630749969320508,0.044690129068709,3,2,0.653464939550157,"no",""
