"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"PRMT1",10,0.491918062637168,"no",-0.528232035174727,0.432260212153572,5,3.38195288807669e-07,"yes",""
"TRPM7",8,0.491926119587426,"no",-0.198276493794728,0.218038597813053,4,0.000225169389042978,"no",""
"PUS7L",9,0.492553942182965,"no",-0.0792684391825366,0.105683013816699,5,0.96177064982881,"no",""
"SH2B3",10,0.492611710595389,"no",-0.0225301954983686,0.118177550151191,5,0.987883246032498,"no","MDPS_ambiguous"
"NRXN3",9,0.492699927401822,"no",-0.0889688926185171,0.143179060889792,4,0.967540094477499,"no",""
"DAPK2",9,0.49273642385499,"no",-0.0395281283572724,0.0877311080792217,4,0.158937636256252,"no",""
"GPR37",8,0.492737279575484,"no",0.0149691035475333,0.0678810577055664,4,0.999996579626371,"no",""
"KCNA2",7,0.492792988754402,"no",-0.173889794754771,0.339364276117574,2,0.8373605806812,"no",""
"GLS",10,0.492854492606122,"no",0.0824867670588677,0.258785565802383,5,0.341752647563752,"no",""
"NCKAP1",7,0.492875346171996,"no",-0.0238679771028875,0.120841925676848,2,0.00638572467898877,"no",""
"ING3",9,0.492991900656768,"no",-0.236148302623848,0.216487712929658,5,0.00111229668098565,"no",""
"JARID2",10,0.492993226342348,"no",-0.534268487715113,0.231616815150025,5,0.994851250755426,"no",""
"ATF5",10,0.493097277185052,"no",0.023100587185715,0.194064802903327,5,0.0408012591545195,"no",""
"SYK",10,0.493305380230649,"no",0.0433128351722481,0.153571720389275,5,0.996873684594976,"no",""
"HERPUD1",10,0.493860330178917,"no",0.0644855389220622,0.30190831766429,5,0.794788203439073,"no",""
"FCHO2",10,0.493999069508106,"no",-0.172933229573585,0.240257396291365,5,0.939045437072388,"no",""
"SLC7A8",9,0.494050333028793,"no",-0.0521695796096836,0.137907381881456,4,0.278892242878376,"no",""
"NEUROG2",10,0.494068439437827,"no",-0.0944084431348749,0.242193334945666,5,0.999855440042861,"no",""
"CTDP1",8,0.494089275580156,"no",-0.30339255261217,0.22721962092327,4,0.000144773176105938,"yes",""
"TRIP11",10,0.494172494658091,"no",-0.057434729770455,0.169860614381596,5,0.690426351981851,"no","BLCA_Act"
"NFE2L1",9,0.49419632704166,"no",-0.0487823679342955,0.129607562418039,5,0.66102211970954,"no",""
"TBX20",10,0.494207179817343,"no",-0.062622149842742,0.160007656373185,5,0.971481453959497,"no",""
"ZFP161",10,0.494449977107631,"no",NA,NA,0,NA,NA,""
"PIP4K2A",10,0.494762147971264,"no",0.136482029426873,0.0923098915049383,5,0.994111479091565,"no",""
"CCDC47",9,0.494962807501041,"no",-0.000109012891230417,0.121950333068937,4,0.583700493952496,"no",""
"TEK",10,0.494970263620758,"no",-0.141857949025575,0.245650380004892,5,0.863955952205981,"no",""
"CYP1A1",10,0.495039635801795,"no",-0.161367443723231,0.167582443642596,5,0.96986280748402,"no",""
"KERA",10,0.495109008128377,"no",-0.0255700894812899,0.170628863081358,5,0.998476793523672,"no",""
"ADH6",9,0.49525480493512,"no",-0.126213904605141,0.163860986499112,5,0.999990791466947,"no",""
"LLGL2",9,0.495327804683642,"no",-0.0265447461215275,0.167941505184365,5,0.665596891124479,"no",""
"SLC20A2",9,0.4955468048274,"no",-0.14578947382339,0.123286896711754,5,0.168585505300487,"no",""
"HOXD3",9,0.495911807919166,"no",-0.081017824686317,0.12239252730051,4,0.748314854823754,"no",""
"TUBD1",9,0.495911807919166,"no",-0.0271733182607622,0.17033636304864,5,0.00018670185254434,"no",""
"CABP1",10,0.495941486658944,"no",0.0167779985078545,0.124441314666699,5,0.999490387280527,"no",""
"ACTR6",10,0.495941486658944,"no",-0.177141392215868,0.357619090579793,5,6.49471337672786e-06,"yes",""
"WDR16",10,0.495941486658944,"no",NA,NA,0,NA,NA,""
"PLEKHG5",9,0.496641823734776,"no",0.039557151202234,0.226527337199216,5,0.981174056207009,"no",""
"SCN7A",8,0.496716184202062,"no",NA,NA,5,0.99446798265742,"no",""
"JPH4",8,0.496870713581979,"no",0.0534801779631967,0.149486215733412,4,0.00454845499778468,"no",""
"UBE4A",9,0.496933833237865,"no",-0.0329718922584169,0.103744019886395,5,0.998988784811458,"no",""
"NTNG1",9,0.497225844329391,"no",-0.0973757545153132,0.119417413447519,4,0.825476853269604,"no",""
"RGPD6",8,0.497334304346008,"no",NA,NA,0,NA,NA,""
"MTMR6",9,0.497663863614088,"no",-0.458588575570882,0.33242773948655,5,0.61613696911878,"no",""
"TNFRSF17",10,0.497675867927992,"no",0.0846861997554325,0.197304985662689,5,0.137872648306792,"no",""
"PRLR",6,0.49769504784818,"no",-0.160654638697674,0.300196690150892,3,0.535352948353025,"no",""
"ACACA",7,0.497776017541779,"no",-0.0908049621293791,0.166145459816284,4,0.0177862743975553,"no",""
"METRNL",10,0.497883997171466,"no",-0.020870813044377,0.169932027320104,5,0.803125673721707,"no",""
