"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"MCM7",9,0.177742043080745,"no",-0.755155346139404,0.457463689778269,5,0.999999982867983,"no",""
"SLC19A2",9,0.177959580773159,"no",0.0359833185724938,0.0829873235673704,4,0.0769083898497668,"no",""
"DDX1",7,0.178237781557266,"no",0.0238255936552915,0.0860738682363113,3,0.995906776654105,"no",""
"LRRC8A",10,0.178280784318443,"no",-0.130565205596359,0.209648551959537,5,0.261938842086231,"no",""
"SCYL2",10,0.178303756230069,"no",-0.0407140830148734,0.123594785836079,5,0.0128426753066585,"no",""
"ADSL",9,0.178613166437065,"no",-0.133227425783601,0.316230407744524,4,0.999999527631145,"no",""
"SEPT5",10,0.178855624513529,"no",0.0729781638865111,0.085126967890462,5,0.868602754028505,"no",""
"SEPT5-GP1BB",10,0.178855624513529,"no",0.0728360498099058,0.0509066274587477,0,NA,NA,""
"ABCC12",8,0.178923691508504,"no",-0.149052321916921,0.427069732361423,3,0.275243367558123,"no",""
"DLX2",10,0.179154987887701,"no",0.0400131003264566,0.186987895850121,5,0.455262629060078,"no",""
"DHRS7C",10,0.179201070898077,"no",-0.151771976466181,0.142116776141642,5,0.0437391349249555,"no",""
"C1orf56",6,0.179305226831176,"no",-0.17466826618176,0.221993541949493,3,0.942930991816601,"no",""
"ACADVL",9,0.179608436560586,"no",-0.0443813475368004,0.107288577584857,5,0.542163585216878,"no",""
"CDK13",8,0.179747921121901,"no",-0.188290022389133,0.354167673458145,5,0.41266432249051,"no",""
"WDFY1",9,0.179778696572435,"no",-0.0378037647719702,0.198511815044423,4,0.0432993751852178,"no",""
"ABCC9",9,0.179973399339162,"no",0.190853649570778,0.280976700552093,4,0.0553868807882193,"no",""
"DOT1L",10,0.179985587667387,"no",-0.0119864956116397,0.18881437788146,5,0.103707430007456,"no","DLBCL_LoF"
"NUDT7",10,0.180378628901825,"no",0.158684105569808,0.224886720745318,5,0.578205716616881,"no",""
"SOX9",7,0.180605179984162,"no",0.0360258234508651,0.0785147339980405,3,0.802010838073326,"no","COREAD_LoF"
"OSBPL1A",9,0.181339897726492,"no",-0.130760348892494,0.0957937724296582,5,0.79388331714243,"no",""
"CYP4F12",8,0.181558905010275,"no",0.0773462354668685,0.125176723227508,4,0.141220693143682,"no",""
"NPAS3",6,0.181601281590485,"no",-0.0721368754058545,0.0409909492183586,4,0.602185450531973,"no",""
"MED30",9,0.181609052614622,"no",-0.424129953857014,0.393988938107008,4,0.999999996877331,"no",""
"WNT4",10,0.181909496027797,"no",0.0934346484723753,0.247809589632075,5,0.0393160998173698,"no",""
"TNS3",8,0.181922415160645,"no",-0.0155734312424015,0.265446875753888,3,0.927556706165619,"no",""
"YWHAH",10,0.182351656228285,"no",-0.0135661884487598,0.296966984770623,5,0.751082346544585,"no",""
"GPR17",10,0.182421530462355,"no",-0.213944878572825,0.249495696591324,5,0.394539820110848,"no",""
"FABP7",10,0.182514721330784,"no",-0.0100065558447446,0.283286336831298,5,0.643867331121958,"no",""
"ALCAM",9,0.182540717280288,"no",0.0826058027373935,0.190104455745276,5,0.229454057998286,"no",""
"ANKRD32",10,0.182677874706648,"no",NA,NA,0,NA,NA,""
"HERC1",8,0.182780990986299,"no",-0.0190109272209626,0.112446632824235,3,0.193788403862367,"no",""
"CLC",9,0.182958446571261,"no",-0.0532050817841857,0.114448213301045,4,0.521765732174632,"no",""
"PCM1",10,0.183121164444803,"no",-0.171763016889295,0.135430241913968,5,0.997242767580144,"no",""
"LUM",9,0.183450629932546,"no",-0.0610991661310592,0.0969971003636998,5,0.0345048882758139,"no",""
"EPB41L5",9,0.183647726328791,"no",-0.158657763640185,0.063489389746485,5,0.864776649168144,"no",""
"GRB14",6,0.183733804671206,"no",0.220775974166064,0.40396906903691,3,0.399581741030792,"no",""
"ATG10",10,0.183752220504644,"no",0.0666525722893353,0.213580672635271,5,0.852873176224892,"no",""
"VPREB1",8,0.18377266203,"no",-0.0591773432073072,0.113150219122572,4,0.683111235906461,"no",""
"MAP2K6",9,0.183894276006217,"no",-0.174681275118382,0.076706437351999,5,0.377812236580009,"no",""
"HELQ",10,0.184454932303473,"no",0.0190501915169553,0.0865627589721836,5,0.0120585790229533,"no",""
"GPR158",9,0.184462095558553,"no",-0.121698420350048,0.2039290687044,5,0.00312302984799095,"no",""
"TSPAN4",10,0.184689529242544,"no",0.0901200086511099,0.19891353445012,5,0.0942447799087121,"no",""
"MYO9A",8,0.185056143432974,"no",-0.183479827344199,0.115992714531257,3,0.242761971433753,"no",""
"ADCY7",10,0.185065258240206,"no",-0.0944568794002703,0.191446357557996,5,0.00630338876313996,"no",""
"NAA50",10,0.185629714227872,"no",-0.2224845130312,0.371984576979571,5,0.999999017690245,"no",""
"GALR2",9,0.185898659811249,"no",-0.00593788893717117,0.156779856597625,5,0.0334348831031591,"no",""
"ZEB2",8,0.186028842605174,"no",-0.120012452822352,0.213886362516117,4,0.915531516599889,"no",""
"KIAA1324",9,0.18604765145209,"no",-0.0828981227076605,0.374534004447339,5,0.00688845734071775,"no",""
"ATP2B1",10,0.186360334153285,"no",-0.257739554226261,0.105824964578724,5,0.597328033870622,"no",""
"GPSM2",10,0.186407530157262,"no",0.0308012580344181,0.18534624288463,5,0.147250318221951,"no",""
"SLIRP",10,0.186549161234999,"no",-0.0749825676177566,0.129609316965268,5,0.99208436962045,"no",""
"PSMB9",10,0.186643617838073,"no",-0.0192833046987415,0.165764014720028,5,0.331839816707538,"no",""
