"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"RNF123",8,2,0.931699280999858,"no",0.000904213592839703,"down"
"SLA2",9,1,0.931781897422082,"no",8.94067354993371e-12,"up"
"WAS",10,0,0.932038223428612,"no",0.000338167613254516,"up"
"NR4A1",10,0,0.932486703375905,"no",0.00695882634098049,"down"
"TMC4",10,0,0.932576579250169,"no",0.00585610661624224,"down"
"LCN12",9,1,0.932654107117549,"no",0.189463869058964,"up"
"LRRC31",7,3,0.93287120687511,"no",0.00230198745411459,"down"
"FANCD2",8,2,0.932936307552628,"no",1.93793638314135e-21,"up"
"HLA-G",9,1,0.9329742252729,"no",3.67260175139055e-10,"up"
"PITX2",10,0,0.933404797895533,"no",0.00518456276749964,"down"
"ARL13A",10,0,0.933729794721276,"no",2.44389557617399e-08,"up"
"ARF3",10,0,0.933846234235335,"no",6.79081065992039e-10,"up"
"PTAR1",10,0,0.933848896689521,"no",5.23833473823362e-05,"up"
"ASB4",9,1,0.934031763699651,"no",0.00125088660370551,"down"
"KBTBD13",8,2,0.934530939281686,"no",0.00234740280800727,"down"
"LOC100996758",10,0,0.934774288332868,"no",NA,NA
"IL8",10,0,0.934802435326312,"no",NA,NA
"ARHGEF2",10,0,0.934919791704784,"no",3.1561973638566e-06,"up"
"STAT3",10,0,0.934997357010973,"no",0.993561794940495,"down"
"HGF",8,2,0.935145142965451,"no",0.910227457785703,"down"
"KCNJ2",10,0,0.935463614566231,"no",0.0188883082659148,"down"
"DAG1",10,0,0.935486873153978,"no",0.515959311105263,"down"
"MYL12A",10,0,0.935538260301287,"no",0.0367740584929303,"up"
"MYL12B",10,0,0.935538260301287,"no",5.88151774313648e-07,"up"
"CDC20",10,0,0.935743052680042,"no",1.58493935369156e-45,"up"
"CYSLTR1",10,0,0.935800876843576,"no",1.68837779383808e-05,"down"
"TNS1",10,0,0.935844153395276,"no",4.35708125880615e-05,"down"
"LARP7",10,0,0.935958204192181,"no",0.026248980768182,"up"
"WDR18",10,0,0.936066882978974,"no",1.25700663785592e-09,"up"
"INPP5A",9,1,0.936203487057119,"no",0.000160543818568319,"down"
"BLZF1",10,0,0.936246389482712,"no",0.606675843423526,"down"
"KLHL22",9,1,0.936439915327072,"no",8.7256180026093e-08,"up"
"REV1",9,1,0.936487502258882,"no",0.31102348589162,"up"
"ARHGAP10",10,0,0.936814159159205,"no",5.02556238323857e-05,"down"
"ZFHX3",9,1,0.936884008804299,"no",0.000173967830935448,"up"
"LCN6",9,1,0.936928068915225,"no",0.000638258679536747,"down"
"KIF23",10,0,0.936951808285814,"no",4.5699714816753e-37,"up"
"AP3M2",10,0,0.936958943278845,"no",7.80119161082611e-22,"up"
"NLK",9,1,0.936960596199403,"no",2.551722102484e-14,"up"
"SEMA3E",9,1,0.937029578535043,"no",0.00102798766876711,"down"
"ACAD11",10,0,0.937185902994678,"no",0.00278393484180118,"up"
"NPHP3-ACAD11",10,0,0.937185902994678,"no",5.06800941420093e-05,"up"
"PTGR1",10,0,0.937355594415047,"no",0.0726322119023875,"down"
"ZNF384",10,0,0.937358863950335,"no",1.53739906139271e-08,"up"
"SFT2D2",10,0,0.937373853329394,"no",0.036503684065848,"up"
"GPR88",8,2,0.937501777599024,"no",0.33329543391381,"down"
"BBOX1",9,1,0.937608877393558,"no",0.00511306254748798,"down"
"PNPLA6",9,1,0.937679861549788,"no",0.000316742399463327,"up"
"SSTR1",9,1,0.937745950948559,"no",0.000728021766158146,"down"
"EGLN3",10,0,0.93776520797124,"no",3.58293214607185e-12,"up"
"SEMA3D",9,1,0.937907266771757,"no",0.00269996747036155,"up"
"DRG1",9,1,0.938042721704757,"no",2.46637051791091e-15,"up"
"MMP7",7,3,0.938052293392977,"no",0.231412549905265,"down"
"SHC2",10,0,0.938088673993433,"no",0.229784688055301,"down"
"BTN2A2",10,0,0.938125882155559,"no",3.72139981668771e-06,"up"
"SEMA3A",9,1,0.938209715771776,"no",0.00090893658373678,"up"
"WRNIP1",9,1,0.938222342089325,"no",7.72249683124234e-08,"up"
"LSR",10,0,0.938276981290093,"no",2.94668247617693e-23,"up"
"SIRPB1",4,6,0.938422629624109,"no",5.25230139092698e-11,"up"
"NME6",10,0,0.938523561623576,"no",0.213760712424496,"down"
"SMARCC1",10,0,0.938726191424082,"no",0.0652838355113381,"up"
"FBXW9",10,0,0.93886194446322,"no",0.302727412410773,"up"
"HEPACAM2",9,1,0.938892837736515,"no",0.00247386705591882,"down"
"SMARCB1",10,0,0.939276255625174,"no",2.61433757025897e-22,"up"
"BCAN",10,0,0.939384177830053,"no",0.214802360457744,"up"
"MBD3",10,0,0.939562412435811,"no",0.000176599464712077,"up"
"LIN7C",10,0,0.939755814477867,"no",0.838533338554766,"up"
"NEK10",10,0,0.939831539930168,"no",0.025063685225768,"down"
"DHX57",9,1,0.940081829881137,"no",2.74471061069085e-11,"up"
"ARID4B",10,0,0.940430515939954,"no",0.000797601809422612,"up"
"CECR2",8,2,0.940661508312061,"no",0.278181560375586,"up"
"UBL4A",10,0,0.940958686163049,"no",2.63430390776463e-11,"up"
"ATP2C2",9,1,0.940959587386012,"no",0.724487424710589,"down"
"DAPK3",10,0,0.941094224663521,"no",5.5914933888795e-06,"up"
"SPRY2",10,0,0.941195560640793,"no",4.76862053070402e-06,"down"
"FTSJ2",9,1,0.941209811647782,"no",NA,NA
"ERBB4",10,0,0.941281372222461,"no",0.0022071979911627,"down"
"HDAC5",10,0,0.941433088823978,"no",4.64023493585679e-06,"down"
"PPEF1",10,0,0.94151804306913,"no",6.70318512825003e-44,"up"
"IRF4",10,0,0.941755299134404,"no",1.85228641535226e-08,"up"
"NMUR1",9,1,0.941976455497201,"no",0.542328578379438,"up"
"NPY1R",10,0,0.942000271833811,"no",0.000500711180511864,"down"
"TNFRSF13C",9,1,0.942026853898266,"no",1.12305054141365e-06,"up"
"SLC6A20",10,0,0.942128215434281,"no",0.0831803133399193,"down"
"PTN",10,0,0.942205744866757,"no",2.67163934788785e-07,"down"
"RNF111",10,0,0.942213994333981,"no",0.0119818694426247,"up"
"ABCC12",9,1,0.942317988106038,"no",0.22023992843532,"down"
"SYT4",9,1,0.942532374045592,"no",0.344188745964506,"down"
"HPRT1",10,0,0.942548240543426,"no",5.84154223420287e-57,"up"
"GRM7",8,2,0.942886467537895,"no",0.237082434250357,"down"
"USP45",10,0,0.942986867942434,"no",1.40669339145762e-08,"up"
"FAM20B",9,1,0.943018211436293,"no",8.75322559270764e-12,"up"
"RAPGEF6",10,0,0.943168012940024,"no",0.00139495351940697,"up"
"SLX4",9,1,0.943435281846142,"no",4.00504522208479e-13,"up"
"PTK2",8,2,0.943675852000193,"no",2.03593747095896e-20,"up"
"GAK",9,1,0.943686082876967,"no",0.0280833699199339,"down"
"TTC30A",10,0,0.943715192713929,"no",0.849942167962913,"up"
"NEK5",10,0,0.943873255612384,"no",0.0680968782641729,"down"
"CRSP8P",10,0,0.943927710748288,"no",NA,NA
"PTGIS",10,0,0.943971986622623,"no",0.0688195869509324,"down"
"CD33",10,0,0.944252424450501,"no",0.048495585482669,"up"
