"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SPRYD4",5,0.904268978586351,"no",-0.201463521958967,0.695559625121544,1,NA,NA,"","","",37
"ALG10B",5,0.904285935852563,"no",-0.0760392933680141,0.464754211202453,1,NA,NA,"","","",37
"MFSD4",5,0.90448647485043,"no",NA,NA,0,NA,NA,"",NA,NA,37
"MPHOSPH8",5,0.904529958540078,"no",0.123410376199827,0.139802785916754,1,NA,NA,"","","",37
"BHLHE40",4,0.904572202449383,"no",0.2018510617663,0.273610964866865,0,NA,NA,"","","",37
"RNF40",5,0.904609949451378,"no",-0.409995121194906,0.538731474994446,1,NA,NA,"","","",37
"LCN8",4,0.90462460215188,"no",-0.219512628683467,0.351228434315367,1,NA,NA,"","","",37
"ALKBH3",5,0.904768737701595,"no",0.201225271968639,0.190553004961062,1,NA,NA,"","","",37
"FIP1L1",3,0.904914086191204,"no",-0.431351880718644,0.512159778476912,1,NA,NA,"","","",37
"CYP21A1P",5,0.904985932667077,"no",0.045027862282729,0.333679942551352,0,NA,NA,"","","",37
"CYP21A2",5,0.904985932667077,"no",-0.244080858415545,0.489434194344729,1,NA,NA,"","","",37
"RNF112",5,0.905146037111637,"no",-0.361971927464929,0.281889237656376,1,NA,NA,"","","",37
"UBTF",5,0.905151064696596,"no",-0.0395601068372725,0.178188987486985,1,NA,NA,"","","",37
"CD80",4,0.905287665747659,"no",NA,NA,1,NA,NA,"","","",37
"LRRC7",5,0.905300621974088,"no",-0.27734812806747,0.408777070185195,1,NA,NA,"","","",37
"IRF6",5,0.905886586310248,"no",0.0465447023921923,0.0405165597117935,1,NA,NA,"","","",37
"OR4E2",5,0.905928308196394,"no",0.366282646441732,0.256244661004899,1,NA,NA,"","","",37
"E2F1",5,0.905993565025979,"no",-0.0681485274734662,0.274404429761787,1,NA,NA,"","","",37
"CXCR7",5,0.90654908306383,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"PRDM2",5,0.9065648678573,"no",-0.0503412457952908,0.3476456824363,1,NA,NA,"AN_ambiguous,HC_ambiguous,RPC_ambiguous","","",37
"SEMA6B",5,0.907036870201064,"no",-0.116946275939893,0.203395453072789,1,NA,NA,"","","",37
"KLF13",5,0.907208720355067,"no",-0.17506617291275,0.096820676515977,1,NA,NA,"","","",37
"PRR5L",5,0.907208939390056,"no",-0.0828134872640995,0.607378236072383,1,NA,NA,"","","",37
"SDSL",5,0.907591614791662,"no",0.240993624419052,0.631897363483519,1,NA,NA,"","","",37
"NFYB",5,0.907614247542169,"no",0.0552324968713966,0.36794446495476,1,NA,NA,"","","",37
"TNFSF10",5,0.907741124882384,"no",-0.353726938770728,0.252428375582195,1,NA,NA,"","","",37
"ADAR",5,0.907838941094279,"no",-0.0422831027083919,0.446415558069793,1,NA,NA,"","","",37
"NUDT1",5,0.908014081632955,"no",0.126824050395037,0.385130868140156,1,NA,NA,"","","",37
"SOCS7",5,0.908184242774581,"no",0.264292761817245,0.267821455725345,1,NA,NA,"","","",37
"VSIG8",5,0.908676947614503,"no",0.0825406336861118,0.146787022986092,1,NA,NA,"","","",37
"TRIM24",5,0.908721376638269,"no",-0.120408457863689,0.210225525924604,1,NA,NA,"PRAD_Act","","",37
"SFRP4",5,0.908970869359627,"no",-0.422963145459205,0.30706219600132,1,NA,NA,"","","",37
"ATP1A1",5,0.908975025265653,"no",-0.54482891803021,0.571460985018864,1,NA,NA,"","","",37
"IDH2",5,0.90900512423042,"no",-0.0117775348564665,0.0260793549864329,1,NA,NA,"AML_Act,BLCA_Act,CH_Act,LGG_Act,OS_Act","","",37
"ILF2",5,0.909045399076508,"no",-0.44797310595783,0.219313308289799,1,NA,NA,"","","",37
"PAX1",4,0.909469051960471,"no",-0.207236176017303,0.193807684092326,1,NA,NA,"","","",37
"MORF4L1",5,0.909624432901004,"no",-0.13982127857662,0.191814120433161,1,NA,NA,"","","",37
"RFWD2",5,0.909777466320201,"no",0.0803598592135645,0.234091542185618,0,NA,NA,"",NA,NA,37
"KIF12",4,0.909852832194361,"no",-0.213041924450149,0.132214295004556,1,NA,NA,"","","",37
"PSMA8",5,0.909885463726551,"no",-0.119706793585227,0.777186730327162,1,NA,NA,"","","",37
"GAN",5,0.91010206581013,"no",-0.152043520913806,0.065626433008696,1,NA,NA,"","","",37
"GPR52",5,0.910272877196671,"no",-0.139553016646424,0.03818208218254,1,NA,NA,"","","",37
"OR2L2",4,0.910273738225109,"no",0.0464382762192984,0.211965532332951,0,NA,NA,"","","",37
"TBC1D20",5,0.910317526819023,"no",0.0633764631890679,0.0489002348115857,1,NA,NA,"","","",37
"LHX4",5,0.910951733828621,"no",0.0246826985029889,0.135630593001604,1,NA,NA,"","","",37
"CDKL2",4,0.911089341034586,"no",0.124186384670745,0.149072989456782,1,NA,NA,"","","",37
"RSF1",5,0.91124281037237,"no",0.130586698384367,0.120340003471065,1,NA,NA,"","","",37
"GPR88",5,0.911280885863076,"no",0.233873885656836,0.395011500608743,1,NA,NA,"","","",37
"DSTYK",5,0.911717016076163,"no",-0.158476091575288,0.151280611707805,1,NA,NA,"","","",37
"REV3L",5,0.911718292417601,"no",0.167110213831899,0.08247656315234,1,NA,NA,"","","",37
"HPD",5,0.912146430141464,"no",0.117414032030437,0.058414761183808,1,NA,NA,"","","",37
"NPPB",4,0.91251674962233,"no",0.0263249734885196,0.296309057483631,1,NA,NA,"","","",37
"ZBTB44",4,0.913191168231138,"no",0.202871976319305,0.206003405119532,1,NA,NA,"","","",37
"LIG4",5,0.913308187557845,"no",-0.073282654527953,0.199861388559988,1,NA,NA,"","","",37
"PGLYRP2",5,0.913380041126267,"no",-0.364119511526071,0.097968037870534,1,NA,NA,"","","",37
"GRM2",5,0.913404055970067,"no",0.117962176959362,0.420582703849349,1,NA,NA,"","","",37
"HPCAL4",5,0.913501627320313,"no",-0.249103895194768,0.137665449056531,1,NA,NA,"","","",37
"NPTX1",5,0.913951801488171,"no",-0.159387243431531,0.534862860844204,1,NA,NA,"","","",37
"MED29",5,0.913989408227331,"no",-0.337835997473857,0.538218832697692,1,NA,NA,"","","",37
"ZNF217",5,0.91419185632362,"no",-0.256855707566454,0.219731099219346,1,NA,NA,"","","",37
