"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"DHX15",14,0.00186941145498031,"no",-0.78857076035364,0.266033163429621,10,7.34437607438085e-14,"yes","",6.64740940888937e-15,"up","AKAP9 (enriched, 14% vs 3%), C2orf16 (enriched, 7% vs 0%), CACNA1E (enriched, 15% vs 4%), CNGB3 (enriched, 7% vs 0%), DMD (enriched, 18% vs 6%), DMXL2 (enriched, 9% vs 1%), DPYSL4 (enriched, 7% vs 0%), FRAS1 (enriched, 14% vs 2%), KMT2D (enriched, 19% vs 3%), MUC17 (enriched, 18% vs 5%), MYCBP2 (enriched, 14% vs 2%), MYOF (enriched, 9% vs 0%), OBSCN (enriched, 23% vs 9%), PCDHA7 (enriched, 10% vs 1%), PIK3CA (enriched, 23% vs 8%), RPTOR (enriched, 7% vs 0%), SLC8A2 (enriched, 9% vs 1%), SRCAP (enriched, 12% vs 2%), TEX15 (enriched, 8% vs 0%), UBE3B (enriched, 7% vs 0%), UBE4B (enriched, 8% vs 0%), VCAN (enriched, 12% vs 1%), ZNF236 (enriched, 12% vs 2%)","ACVR2A (enriched, 15% vs 2%), ARID1A (enriched, 30% vs 14%), BMPR2 (enriched, 8% vs 1%), DOCK3 (enriched, 12% vs 1%), EIF5B (enriched, 8% vs 1%), KMT2C (enriched, 10% vs 2%), PTEN (enriched, 7% vs 1%), RBM6 (enriched, 6% vs 0%), RPL22 (enriched, 12% vs 1%), TEX15 (enriched, 8% vs 1%), TRIO (enriched, 8% vs 0%), UBR5 (enriched, 10% vs 2%), VPS13B (enriched, 8% vs 1%), XYLT2 (enriched, 12% vs 2%), ZCCHC11 (enriched, 7% vs 0%), ZFHX3 (enriched, 8% vs 1%)",437
"PRPF4B",14,0.00205102452626157,"no",-0.876315147798544,0.237121104130124,10,1.46446531965359e-05,"yes","",1.6904641864324e-09,"up","","",437
"CHST4",14,0.00210539372491638,"no",-0.155774021144732,0.207857889580361,10,0.000405295854128315,"no","",2.65358552868726e-06,"up","","",437
"C7",12,0.00227288570016666,"no",-0.27297813168294,0.365206910949229,9,0.999999888724703,"no","",6.89930381464007e-09,"down","","",437
"SOX9",12,0.00231756209501933,"no",-0.232261107472593,0.24352665476309,8,2.94903357324237e-05,"yes","COREAD_LoF",1.60856364894745e-16,"up","","",437
"DHX29",14,0.00235599866799258,"no",-0.207271555724195,0.146301468846248,10,0.0333996883040673,"no","",0.00390034321249676,"up","","",437
"OR2AT4",14,0.00240649449379866,"no",0.0214541966811242,0.0762776448573498,10,0.999855959651131,"no","",0.0363534476465748,"up","","",437
"UBE3B",14,0.00270703367324225,"no",-0.16304117205943,0.253979202839583,10,0.999548591238746,"no","",0.0116910307182628,"up","","",437
"PPYR1",14,0.00283620597243612,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"KCNS3",14,0.00284674199813164,"no",0.0899091705549239,0.192824726582935,10,0.957919284004337,"no","",0.546160380266313,"down","","",437
"CDC27",14,0.00285026164724623,"no",-0.66496109841062,0.340358650302782,10,2.08398614701605e-16,"yes","",3.95311503568763e-13,"up","","",437
"SIRPA",13,0.00299035393168823,"no",0.105682179056668,0.101145224907015,10,0.00403198058576426,"no","AML_LoF,CESC_LoF,COREAD_LoF,HGG_LoF,MBL_LoF",9.91074310808449e-05,"up","","KMT2D (depleted, 4% vs 16%)",437
"TERF1",10,0.003133126721173,"no",-0.143652838952586,0.304011531403294,6,1.22124013130314e-05,"yes","",0.0106907857358226,"up","","",437
"TNK2",12,0.00316847996988566,"no",-0.142654345295861,0.261974786558284,8,0.999551825699841,"no","",0.000667122095293417,"up","","",437
"CHEK1",14,0.00322214141186026,"no",-0.484354902352279,0.224256434965747,10,1.73160112494066e-16,"yes","",7.83569444139344e-18,"up","FAT3 (enriched, 23% vs 8%), NEB (enriched, 16% vs 3%), VCAN (enriched, 12% vs 1%)","ACVR2A (enriched, 14% vs 3%), ARID1A (enriched, 29% vs 15%), ARID1B (enriched, 6% vs 0%), DOCK3 (enriched, 10% vs 2%), KIF21A (enriched, 8% vs 1%), KMT2D (enriched, 15% vs 5%), MYBL1 (enriched, 6% vs 0%), RP1 (enriched, 8% vs 0%), RPL22 (enriched, 11% vs 2%), TRIO (enriched, 7% vs 1%), ZFHX4 (enriched, 12% vs 2%)",437
"RLBP1",14,0.00324417077161114,"no",0.0277447675160298,0.227949503261275,10,0.808105838762112,"no","",0.439127610573623,"up","","",437
"TDRKH",13,0.00336040844498432,"no",-0.0484895192460477,0.11550468168946,9,0.99505099249555,"no","",6.03766681927345e-10,"up","","",437
"SMARCD2",14,0.0034368169997913,"no",-0.114110771503795,0.221321901337422,10,0.219488264558653,"no","",7.25045891788837e-05,"up","","",437
"TPBG",13,0.00349617012467783,"no",-0.271592894534834,0.193539287149634,9,0.998484295250221,"no","",0.000252709617128033,"up","","",437
"DDX5",13,0.00350938838280729,"no",-0.372113621720654,0.295722291611364,9,1.69411034133209e-06,"yes","",0.017218867188826,"up","","",437
"NCOA1",13,0.0035878185337711,"no",0.0443089583017097,0.0998479824112713,10,0.00940976254368711,"no","BRCA_ambiguous",0.0714285577240482,"down","","",437
"RCBTB1",12,0.00364389721273053,"no",-0.0399421043988436,0.147614591785991,10,0.992906182709134,"no","",1.82074397494761e-10,"up","","",437
"KIF13A",13,0.00367971788249538,"no",-0.10288925047916,0.179658874261819,10,0.706582456018416,"no","",0.873744183124666,"up","","",437
"DUT",14,0.00381493782462327,"no",-0.239007743880699,0.282515712216574,10,1.49514227339848e-18,"yes","",1.10613892555623e-05,"up","PIK3CA (enriched, 24% vs 7%)","ARHGAP5 (enriched, 8% vs 2%), ARID1A (enriched, 33% vs 11%), BCOR (enriched, 10% vs 1%), C5orf42 (enriched, 7% vs 0%), CIC (enriched, 9% vs 0%), CNTN6 (enriched, 7% vs 1%), DNAH8 (enriched, 6% vs 0%), DOCK3 (enriched, 10% vs 3%), FHOD3 (enriched, 6% vs 1%), KIAA0195 (enriched, 7% vs 1%), KMT2D (enriched, 18% vs 2%), MBD6 (enriched, 7% vs 1%), MDN1 (enriched, 8% vs 1%), MGA (enriched, 8% vs 1%), PCLO (enriched, 11% vs 2%), RAD51AP2 (enriched, 6% vs 1%), RANBP2 (enriched, 6% vs 0%), REV3L (enriched, 8% vs 1%), RIF1 (enriched, 8% vs 1%), RNF43 (enriched, 13% vs 4%), RP1 (enriched, 8% vs 1%), SLC3A2 (enriched, 9% vs 2%), SORBS2 (enriched, 6% vs 0%), SPECC1 (enriched, 9% vs 2%), SYCP2 (enriched, 6% vs 0%), SYNE2 (enriched, 9% vs 2%), TRIO (enriched, 7% vs 1%), TTN (enriched, 21% vs 5%), VPS13B (enriched, 8% vs 1%), ZBTB20 (enriched, 11% vs 3%), ZC3H13 (enriched, 9% vs 2%), ZC3H18 (enriched, 7% vs 1%), ZFHX4 (enriched, 12% vs 3%)",437
"CDC25A",13,0.00399940471636817,"no",-0.183505065480613,0.313656726045095,9,0.00549440490189694,"no","",2.69497974703873e-13,"up","MED12L (enriched, 12% vs 1%), PIK3CA (enriched, 24% vs 7%)","BCOR (enriched, 9% vs 2%), CNTLN (enriched, 8% vs 0%), KIAA0195 (enriched, 7% vs 0%), KMT2B (enriched, 11% vs 2%), MACF1 (enriched, 8% vs 0%), MVK (enriched, 6% vs 0%), RPL22 (enriched, 10% vs 2%), RYR1 (enriched, 6% vs 0%), TTN (enriched, 19% vs 8%), ZBTB20 (enriched, 12% vs 2%)",437
