"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"RNF139",9,4,0.97550652776331,"no",-0.0105477310073993,0.0845281265068779,0.0443980249616585,0.0520365747411109,5,4,0.240180379248721,"no","",3.33368388854926e-08,0.0776255707762557,438
"ZFPM2",11,3,0.976675577262654,"no",0.0495347647434939,0.198352155460317,0.0177017941332726,0.024352723712329,8,2,0.543047366585858,"no","",0.44267977777824,0.04337899543379,438
"MARK3",11,2,0.979451189384553,"no",-0.0430261330579057,0.0811580351075965,0.178287588319978,0.149423024248582,7,2,0.287575807983615,"no","",NA,0,438
"STK4",12,2,0.980226416841574,"no",0.0665570493841558,0.142716824147544,0.0873690872422764,0.00859988652739735,9,1,NA,NA,"",9.08072799777208e-08,0.0410958904109589,438
"SVEP1",11,2,0.981032230134415,"no",-0.0208315164897051,0.146336073004195,-0.18195299876715,0.180719241923327,8,1,NA,NA,"",NA,0,438
"ANKH",12,2,0.981781384488739,"no",-0.140901819320428,0.344916902094962,0.0013958794730135,0.122446583299861,10,0,NA,NA,"",0.000178510501495473,0.0365296803652968,438
"TCFL5",10,3,0.983864701149838,"no",-0.0913897606357896,0.162167399884921,0.0606278967980434,0.0594736011802613,9,1,NA,NA,"",0.000419472664803118,0.0319634703196347,438
"RPS6KA5",11,2,0.984059019718392,"no",NA,NA,NA,NA,7,2,0.442341468029082,"no","",NA,0.00228310502283105,438
"TERF1",10,3,0.985399651467934,"no",-0.143652838952586,0.304011531403294,-0.0458969675762333,0.0437380700203893,6,3,0.504659146609577,"no","",0.00754359286207279,0.0273972602739726,438
"MED1",12,2,0.986089624146243,"no",-0.0883182318691088,0.619694733208073,0.202187246880888,0.0178891437203595,9,1,NA,NA,"",1.59945093623542e-14,0.0662100456621005,438
"STEAP1B",12,2,0.986415066446076,"no",0.00127710058684613,0.154908502731815,0.160523348808607,0.232570338967003,8,2,0.41389536505024,"no","",0.217399696814447,0.0205479452054795,438
"CDK12",11,2,0.987519283516859,"no",-0.462765193608276,0.354803737094633,-0.0559958498005068,0.0035721590840143,8,1,NA,NA,"CESC_LoF,CM_LoF,OV_LoF,PRAD_LoF,ST_LoF",2.45947188908982e-10,0.089041095890411,438
"FABP5",10,3,0.988142491974646,"no",-0.581928253840542,0.447230918555248,-0.323123526442078,0.143084505224561,6,3,0.562085252369701,"no","",0.00844254229866285,0.0296803652968037,438
"ALKBH1",11,2,0.988410771439215,"no",-0.0437617913919028,0.189800570327494,-0.0200168279894407,0.0882794283941192,7,2,0.586723556087856,"no","",NA,0.00228310502283105,438
"MUSK",11,2,0.988960769562025,"no",-0.0559203213617523,0.151130703508084,-0.00950979797323805,0.0238678168752084,8,1,NA,NA,"",NA,0,438
"SDC4",12,2,0.98953727441287,"no",-0.130622460975695,0.170343131556462,0.00710363708542,0.121884455610174,9,1,NA,NA,"ST_LoF",0.000411645661375652,0.0410958904109589,438
"EGFR",11,2,0.989843875329561,"no",-0.0604301036980949,0.343587919205232,0.0360364961615098,0.0301838229692845,8,2,0.177475981068205,"no","BRCA_Act,COREAD_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,MM_Act,NSCLC_Act,PIA_Act",7.82051733370907e-10,0.0525114155251142,438
"UBA2",11,2,0.99257537957394,"no",-0.571670710999761,0.785942794688922,-0.165971246165192,0.00683269969239303,9,0,NA,NA,"",0.00388157465738393,0.0136986301369863,438
"L3MBTL1",12,2,0.996282701213239,"no",-0.137471959724428,0.0921845303009281,0.0011106969784654,0.0744395212758684,9,1,NA,NA,"",3.0412024214763e-05,0.0388127853881279,438
"RAD54B",12,2,0.999813144676012,"no",0.030431295210345,0.106328699284578,-0.0154322694588607,0.00526887964587575,8,2,0.303038597487738,"no","",0.00952773263322418,0.0296803652968037,438
"MAP4K1",12,2,0.99991873050576,"no",-0.0607304384362496,0.131585761607128,0.0531682295289221,0.0443704442682707,9,1,NA,NA,"",0.869192869383961,0.0182648401826484,438
