"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TNFSF10",11,2,0.635660923029934,"no",-0.455775541849058,0.343534685448712,-0.261797286900022,0.02556082801064,8,1,NA,NA,"","yes",0.011441647597254,437
"PKP1",12,2,0.635673231408174,"no",0.0498030174218853,0.135781816975757,-0.0194034405419958,0.0238728479665831,8,2,0.524080996730827,"no","","yes",0.022883295194508,437
"ARHGEF17",10,3,0.637711115955264,"no",-0.0563663691269211,0.0603227705482887,-0.0413961566442738,0.0772468832790492,7,2,0.527789122594618,"no","","yes",0.0411899313501144,437
"FOSB",12,2,0.641324805506223,"no",0.08395403035614,0.126670008702884,0.0282273010740727,0.0164175374866425,8,2,0.556055098154772,"no","","yes",0.0160183066361556,437
"WDR62",10,3,0.641711055126922,"no",-0.0446290144773544,0.231813697201072,-0.0294727780656403,0.145401284832908,9,1,NA,NA,"","yes",0.045766590389016,437
"GPR55",12,2,0.64220049146146,"no",-0.189531030574155,0.22460784604788,-0.36593280441817,0.248797819349244,8,2,0.598746431683391,"no","","yes",0.0137299771167048,437
"LRP2",9,5,0.642215779187901,"no",-0.0524943892203505,0.0816832756127826,-0.0631885226789445,0.12497764507516,5,5,0.5833166759914,"no","","yes",0.102974828375286,437
"BRPF1",12,2,0.642394978650305,"no",-0.11287677097555,0.147340193912979,-0.0110063331786892,0.0781802392024418,9,1,NA,NA,"","yes",0.0205949656750572,437
"SEMA3G",12,2,0.642945808431501,"no",-0.263630923291528,0.258915104270714,-0.00960267259759825,0.0894884816498914,8,2,0.756999363023929,"no","","yes",0.011441647597254,437
"MAP3K12",12,2,0.645188986972014,"no",-0.0417753756318419,0.0771215523304893,0.0645086994511286,0.0385267676466474,8,2,0.324622105437034,"no","","yes",0.0251716247139588,437
