"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"THRSP",7,3,0.680747202930744,"no",-0.126705013422848,0.215563613408716,0.0458834987521007,0.0718081654893119,7,3,0.177168288702357,"no","",0.327300373950485,0.0386847195357834,517
"UTS2D",8,2,0.680933005990096,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"ORAOV1",2,8,0.682200852985988,"no",-0.0104510827674795,0.0374783797553665,0.0169148203459335,0.0907875536818585,0,0,NA,NA,"",NA,0.2321083172147,517
"PAIP1",8,2,0.683073202732978,"no",-0.0669386742667922,0.178730547176059,-0.0151129196623735,0.174770563134329,8,2,0.608680557870989,"no","",1.81084374715235e-08,0.0425531914893617,517
"DNAH5",7,2,0.688577845074189,"no",-0.175906667627248,0.228184524009128,-0.0628694894242123,0.0632836351682517,7,2,0.49344432971887,"no","",4.12190996049322e-05,0.0367504835589942,517
"ADCY2",8,2,0.689311736173944,"no",-0.150686674898747,0.109480623801145,-0.190372083865162,0.0301441351649555,8,2,0.524261282404469,"no","",0.0300256534669292,0.0367504835589942,517
"MMP10",8,2,0.690004082262567,"no",-0.0239078032374258,0.061473221067874,0.0356638829660249,0.121098386318144,8,2,0.121713072399144,"no","",2.81166706991548e-06,0.0444874274661509,517
"MMP3",8,2,0.690004082262567,"no",0.248036292784349,0.274806194131864,0.0394063378207497,0.00305275110392725,8,2,0.321375945835832,"no","",0.0240219173511823,0.0425531914893617,517
"RPS6KL1",8,2,0.691446842619249,"no",0.0244244951047903,0.0830386550841394,0.0330751822007414,0.0540279623865749,8,2,0.375576825433317,"no","",0.421220486808084,0.00580270793036751,517
"SKIL",7,3,0.69435460670943,"no",-0.0738398374994694,0.0548491579585178,-0.0475731828607994,0.0289140053911749,7,3,0.0736777211082398,"no","",7.13390352746953e-06,0.131528046421663,517
"CABP2",5,5,0.694394445608782,"no",-0.0943488419695868,0.0593974836368163,-0.0205345167325747,0.0479118791330181,5,5,0.294449768371829,"no","",0.448680756064904,0.0541586073500967,517
"TMED10P1",7,3,0.694459295507819,"no",0.173289535595494,0.16428397346117,0.0713893482190269,0.0803664394057314,0,0,NA,NA,"",NA,0.0793036750483559,517
