"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"RB1CC1",10,0.294189116805471,"no",0.0603021022632018,0.0745158786018604,10,0.988826972132767,"no","",7.46467350286973e-05,"up","","CASP8 (depleted, 2% vs 10%)",508
"C3orf80",7,0.29478560173409,"no",-0.0129507816326648,0.0691386627592135,7,0.002399500032915,"no","",0.00555376892446529,"up","","",508
"NUDT9",10,0.294928552330225,"no",0.0241258726392694,0.0679666661952333,10,2.01441583561612e-05,"yes","",0.957478666349621,"up","","",508
"MIR205",10,0.294960799857212,"no",0.135366712129738,0.125147156891576,0,NA,NA,"",NA,NA,NA,NA,508
"TOPBP1",10,0.295049206242511,"no",-0.434189322177005,0.148696725568187,10,0.999999999767178,"no","",2.25918118935119e-16,"up","","CASP8 (depleted, 2% vs 10%), EPHA2 (depleted, 1% vs 7%)",508
"CHEK2",10,0.295138951192598,"no",0.0506027023273167,0.0361965041706135,10,5.40740002996642e-07,"yes","THCA_LoF",3.20717228397304e-15,"up","","NSD1 (enriched, 13% vs 2%)",508
"ADIPOR1",10,0.295364472875653,"no",0.0137303375264597,0.0679317299362135,10,0.0962033419403799,"no","",0.503359210597629,"up","","",508
"PRL",10,0.295850618476213,"no",-0.03494763847593,0.0398921404155455,10,0.000775602721575508,"no","",0.241730455700886,"down","","",508
"KCNF1",10,0.295945963036517,"no",-0.123290128339971,0.187279890923509,10,0.000261912116883534,"no","",4.95530250280121e-08,"up","","NSD1 (depleted, 2% vs 13%)",508
"FNDC3B",6,0.296457396225355,"no",0.0153423484982655,0.0786490319071148,6,0.336481466936288,"no","",3.25160120214109e-16,"up","","",508
"PDE6C",10,0.296637865333843,"no",0.226337985105693,0.16285201230869,10,0.0540359912882893,"no","",2.29271685256494e-07,"up","","",508
"WISP1",7,0.296806392767425,"no",NA,NA,7,0.000395702895756411,"no","",NA,NA,NA,NA,508
"IRAK4",10,0.297949118753386,"no",-0.0718085715566533,0.170336390036252,10,0.0843314202535631,"no","",0.844742489058281,"down","","",508
"RALGAPA2",10,0.298172511132266,"no",0.0655174180916873,0.103095335373122,10,0.0453871262563568,"no","",1.02219226758344e-05,"down","","",508
"ARL14",7,0.298201885886938,"no",0.121273579287634,0.0637311598848392,7,0.0255913842408479,"no","",0.00128625349248685,"up","CNTNAP5 (depleted, 0% vs 8%)","NSD1 (depleted, 2% vs 13%)",508
"ACVR2A",10,0.298228834000194,"no",-0.0680710657977545,0.0856991154384277,10,0.308738626937274,"no","COREAD_LoF,HC_LoF,PAAD_LoF,SSCC_LoF,ST_LoF,UCEC_LoF",8.54599608332253e-08,"down","","CASP8 (depleted, 2% vs 10%)",508
"ALDH2",10,0.298284582960864,"no",0.0342954823741436,0.0894613981317154,10,0.30413939863685,"no","",2.47067919218351e-13,"down","","",508
"TRIM24",10,0.299378822228856,"no",0.019923464873581,0.0382359777187938,10,6.43221373164415e-06,"yes","PRAD_Act",0.00458522491871653,"down","","CDKN2A (depleted, 12% vs 22%), NSD1 (enriched, 11% vs 4%)",508
"SNAPC4",9,0.300205905442688,"no",0.0885066613555772,0.0507077350010069,9,0.999999916845252,"no","",3.36313767831889e-10,"up","","",508
"TMEM207",8,0.300217790341063,"no",NA,NA,8,0.000392033145828141,"no","",0.249369537921852,"up","","",508
"PRDM7",9,0.300424106254362,"no",0.10760813775351,0.147036546597786,9,0.0040730702433015,"no","",0.0332199497843396,"up","","",508
"ADRB3",8,0.300500907540669,"no",0.066121036985291,0.131513347733643,8,0.0207631482302645,"no","",4.60421559892394e-06,"up","","",508
"LRP4",9,0.301640385483209,"no",-0.0101217145839173,0.0963944543280368,9,0.999906708348387,"no","",0.0808915455501779,"down","","CASP8 (depleted, 2% vs 10%), NSD1 (enriched, 11% vs 4%)",508
"PKD1",8,0.301649681986618,"no",0.0920845439082363,0.096759025170033,8,0.995723313811804,"no","",0.372685471958744,"up","","CASP8 (depleted, 2% vs 10%)",508
"LGR5",9,0.3022644755089,"no",-0.0334756165067328,0.122423920655134,9,0.545074762420978,"no","",0.00260205273093327,"up","","",508
"EMID1",10,0.302281479442058,"no",-0.049093508585264,0.144520512608473,10,0.995779417649652,"no","",0.224613652327554,"up","","CASP8 (depleted, 2% vs 10%)",508
"WDR19",10,0.302532130210187,"no",-0.0635619025830497,0.087464138674396,10,0.240604223742396,"no","",0.848644705917388,"down","","",508
"HOXB8",10,0.302641155572508,"no",-0.0286348160827472,0.144325315198943,10,0.984703588577331,"no","",2.20754598605906e-10,"up","","KMT2D (enriched, 16% vs 6%)",508
"DHX40",10,0.302981428435195,"no",0.00787823915294177,0.147877103755697,10,0.424562581245735,"no","",0.0829931219934295,"up","","CASP8 (depleted, 2% vs 10%), CSMD3 (enriched, 7% vs 2%), EPHA2 (depleted, 1% vs 7%), NSD1 (enriched, 11% vs 4%)",508
"OR4E2",10,0.303074332470204,"no",-0.0687857427986482,0.0878677150625184,10,0.236413068490359,"no","",NA,NA,"","",508
"VNN1",10,0.303499490555916,"no",-0.0989141281131475,0.163798873323466,10,0.000229944361337497,"no","",0.179623444047769,"up","","",508
"SIGLEC15",9,0.303549509998467,"no",-0.243130022369552,0.0871678011584,9,0.323222315573068,"no","",1.44390756545128e-11,"up","","",508
"ATG2A",6,0.303847139316953,"no",0.0836976254395097,0.0474936572154319,6,0.990594718759539,"no","",1.39800405446728e-07,"up","","",508
"ARL4D",10,0.304427874580861,"no",0.00268481822327867,0.0999281052273551,10,0.999999698911446,"no","",0.0150491611866584,"down","","",508
"ATP13A2",10,0.304457315469496,"no",0.0237528383815413,0.0731758571630027,10,0.419670875888988,"no","",3.133946407121e-10,"up","","",508
"GZMB",10,0.304570954734309,"no",-0.0186837156273812,0.0909261791585091,10,0.344192865802546,"no","",1.69846897755478e-07,"up","","",508
"EXT2",10,0.304576670561502,"no",-0.00537875321483372,0.10036053929538,10,0.999964103354015,"no","CH_LoF",2.41416073030046e-16,"up","","",508
"ARHGAP18",10,0.3054536559112,"no",-0.0134604028130981,0.144355987913208,10,1.3607777811897e-05,"yes","",0.251966447871079,"down","","",508
"TRMT61A",10,0.305545917087596,"no",-0.0280053673749379,0.0506779706069674,10,0.999999245086813,"no","",2.41622783140785e-13,"up","","NSD1 (enriched, 12% vs 3%), TP53 (enriched, 39% vs 27%)",508
"ALDH3A2",10,0.306133384165478,"no",-0.184357895937996,0.156934331361394,10,0.0413491701371071,"no","",1.036751861872e-09,"down","","",508
"CDK7",10,0.306387296246822,"no",-0.104737646601011,0.0654604800365218,10,1,"no","",0.252379238378308,"down","","",508
"CNGA1",10,0.306501360819481,"no",-0.0728260479407883,0.0907126125799267,10,0.956749279230582,"no","",4.59907198103266e-10,"down","","",508
"SEMA4C",9,0.306655527187734,"no",-0.051014428408055,0.0926745969646576,9,0.986892558684021,"no","",2.00645534429001e-07,"up","","CASP8 (depleted, 2% vs 10%)",508
"KCTD17",10,0.306735458117725,"no",0.0916852009715682,0.0798768429668773,10,0.414136656840227,"no","",9.15041044826447e-11,"up","","",508
"ZBTB41",9,0.306800875076971,"no",-0.0596812029549625,0.079796725098558,9,0.00202361331941348,"no","",1.66391388561076e-05,"up","","CASP8 (depleted, 2% vs 10%)",508
"UBQLN4",10,0.306806427600325,"no",-0.0472017808659096,0.102805092727415,10,0.999999475632459,"no","",0.00572622368079569,"up","","",508
"PAMR1",6,0.306879972582144,"no",NA,NA,6,0.0145695772137852,"no","",0.00013429047552476,"down","","CASP8 (depleted, 2% vs 10%)",508
"MDS2",10,0.30725814301698,"no",-0.00534553470998495,0.125141930691886,0,NA,NA,"",5.78450959751839e-07,"up","","",508
"SMPD2",9,0.307461456013753,"no",0.0343823234284829,0.0686414318256409,9,0.037792267585494,"no","",1.92529655269655e-09,"down","","",508
"PSENEN",10,0.307730988347036,"no",0.0227274541653664,0.0813997684943916,10,0.956999562144957,"no","",0.423845460449066,"up","","",508
"ATOH1",10,0.308347999002045,"no",0.0513025781460529,0.0909726874358213,10,0.0017052927522051,"no","",0.673892225564635,"up","","",508
"TBC1D9",10,0.308384286817058,"no",0.00533080441446713,0.087498210902823,10,0.00173029089531473,"no","",0.497655676428806,"up","","",508
"GNG3",9,0.308395221757732,"no",0.00371422692437664,0.0820232328191544,9,0.999941002468095,"no","",0.000185967193810006,"up","","",508
"ARMC3",10,0.308776432810872,"no",0.0358442990338893,0.0668453229307501,10,0.000387991797846876,"no","",0.112813202905306,"down","","",508
"SQRDL",10,0.308868888494429,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,508
