"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"GPN3",348,5,0.86993803197831,"no",-0.425515010552431,0.367563389030327,-0.183419739971033,0.210875878881183,262,3,0.540423764773523,"no","",0.00303780378037804,8888
"AURKA",318,37,0.870178920385465,"no",-0.382689685786744,0.318216690837132,-0.270348507459249,0.319390839712308,239,26,0.54051236298436,"no","",0.0198019801980198,8888
"SOX18",315,40,0.87078322920169,"no",-0.0544987685319993,0.207995907206515,-0.0847043344405707,0.195026253551235,235,31,0.615732409083686,"no","",0.0274527452745275,8888
"NPAT",323,4,0.871390976431999,"no",-0.180594724486886,0.221555325314225,-0.0541957721939189,0.104915666182537,243,3,0.525639415821199,"no","",0.00348784878487849,8888
"ATP2A1",334,6,0.871430950737178,"no",-0.0329255940528644,0.188005697630142,-0.0360708440997296,0.217359587214873,257,4,0.60255892496391,"no","",0.00922592259225923,8888
"PYGB",330,10,0.871905781100082,"no",0.0083684440264659,0.148597826427176,0.042709124665058,0.21070288533237,252,9,0.470610947775786,"no","",0.00798829882988299,8888
"JAG1",322,17,0.872214123764518,"no",0.0416024878088526,0.179378517744922,0.0749662933166635,0.20217885849807,245,15,0.216182820980597,"no","",0.00641314131413141,8888
"ILK",342,3,0.87225954011938,"no",-0.294030294425175,0.282572780194237,-0.179771971563651,0.0491618619997585,256,2,0.788600600133229,"no","",0.00112511251125113,8888
"FRMPD1",325,4,0.872324050071423,"no",-0.0680016062111395,0.243150325605224,0.0339808477430859,0.0775784565381396,250,4,0.153707549338112,"no","",0.00641314131413141,8888
"DDX17",336,2,0.872389781640756,"no",-0.149654561057092,0.255484034316405,-0.202125903864599,0.188196813854666,253,2,0.728929824908213,"no","",0.00528802880288029,8888
"GRB14",332,7,0.872403233146333,"no",0.16180821350663,0.202296793447938,0.233764424287467,0.167838347691297,252,5,0.100481192905279,"no","",0.00461296129612961,8888
"C3AR1",334,11,0.872562555846126,"no",-0.0617704164433685,0.143180973059935,-0.00546299720440196,0.0732260807333392,253,9,0.619642671696118,"no","",0.0132763276327633,8888
"LTB4R2",340,5,0.872656910189215,"no",0.00900689997796886,0.172842037801595,0.0630359279330454,0.0805760922876614,256,5,0.420885740813403,"no","",0.00641314131413141,8888
"ELF3",334,10,0.872749993472389,"no",0.0585046570698285,0.144197019145344,0.0415188797489121,0.211345311922417,251,10,0.0150952063350557,"no","BLCA_LoF,CH_LoF",0.0235148514851485,8888
"CAND1",327,9,0.872796869302986,"no",-0.218853421770148,0.286148793208995,-0.0448423137524774,0.210055029158243,249,5,0.521924611349741,"no","",0.0195769576957696,8888
"EMID1",346,3,0.872967884774356,"no",-0.0953619766236633,0.198509940729047,0.00326299645468446,0.134613709249632,264,2,0.42763578452138,"no","",0.00641314131413141,8888
"ZDHHC17",340,3,0.873078859606725,"no",-0.10957274586232,0.212732400451846,-0.00172024588701768,0.109635985324124,256,3,0.209527276179906,"no","",0.00562556255625563,8888
"HMGA2",348,11,0.873220621864843,"no",0.0522430905155264,0.240993975018171,0.0422836183944314,0.123548069753033,262,7,0.0235154669805315,"no","",0.0186768676867687,8888
"NT5E",340,4,0.874379758219209,"no",-0.0676158949514136,0.146524336552366,-0.0357552972087583,0.0253335188466808,259,2,0.409164018616283,"no","",0.00292529252925293,8888
"PAK1IP1",340,8,0.874566085259737,"no",-0.455732200803666,0.379091974282695,-0.336424509552278,0.317005345254445,258,4,0.515416474511543,"no","",0.0140639063906391,8888
"COL12A1",314,4,0.874633101997323,"no",0.00775368609283868,0.205221476112022,-0.00997612615514157,0.0573909387892972,242,4,0.533398624504904,"no","",0.0045004500450045,8888
"PRKCI",315,30,0.874891719163908,"no",-0.0764437218411938,0.170340440986047,-0.0442237338298224,0.142631132819253,235,22,0.681506195343731,"no","",0.0646939693969397,8888
"TAPBPL",337,11,0.874968402771049,"no",-0.0577789423677195,0.214450272539137,-0.0540095568985384,0.151012450229481,255,8,0.934614027948838,"no","",0.0166516651665167,8888
"TACR1",346,2,0.874991239516208,"no",0.0170893141100238,0.184500084607112,0.0126675543648703,0.060653261137974,261,2,0.702070280135179,"no","",0.00258775877587759,8888
"UBE2N",352,2,0.875141255331191,"no",-0.152228501706936,0.318168479557868,0.316132918425117,0.44075356179168,266,2,0.615128762926821,"no","",0.00382538253825383,8888
