"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"KRAS",264,31,4.46257237195193e-13,"yes",-0.0557062272951041,0.170689168077494,-0.653577532131383,0.857370682436056,203,21,0.0542379789395398,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",0.0272277227722772,8888
"CDK4",338,14,3.86762944676734e-06,"yes",-0.0506825559036983,0.311351968265589,-0.404037899846342,1.37626169555473,257,10,0.196058374901993,"no","CM_Act",0.027002700270027,8888
"BRAF",280,16,2.35175185953945e-05,"yes",0.0867699724910009,0.138800381681482,-0.0616147800612481,0.65763237570286,208,12,0.0109139507193965,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",0.0136138613861386,8888
"IL6",324,31,0.000130834755745873,"yes",-0.012020371752142,0.153848081684508,-0.16712311699338,0.198420227851379,239,28,0.306864993830617,"no","",0.0122637263726373,8888
"TLK2",326,20,0.000135685862960101,"yes",-0.0194241058278622,0.164132130788805,-0.0782152177656701,0.174440411071366,248,14,0.489925643676025,"no","",0.0199144914491449,8888
"MITF",335,11,0.000175563567528591,"yes",0.078268242494696,0.0895776543049702,-0.554026627748766,0.623543003260129,252,9,4.26421413934183e-06,"yes","",0.00652565256525653,8888
"HAS2",305,48,0.000248695804082041,"no",-0.130021130564991,0.176765886255294,-0.172469586973309,0.198254054416189,223,43,0.210658409963642,"no","",0.064018901890189,8888
"ERBB2",318,20,0.000347713035439489,"no",-0.0381216715040399,0.1376445675059,-0.218903238014276,0.390909760028146,240,15,0.0232651875616797,"no","BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,ESCA_Act,NSCLC_Act,OV_Act,RPC_Act,ST_Act",0.038028802880288,8888
"TP53",98,2,0.000435186215187292,"no",0.643692652144172,0.672732869624697,-0.150758127457581,0.00421115838527703,71,1,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.00168766876687669,8888
"YAP1",332,15,0.000445930883185032,"no",-0.00743217060604916,0.330795352855579,-0.261156503234627,0.715404303298018,244,15,0.0796226275167962,"no","",0.0138388838883888,8888
"NRAS",313,19,0.00056309321490714,"no",-0.00388305007836055,0.101956125154786,-0.0596679367747068,0.565569598542984,227,18,0.0227897604143965,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",0.00461296129612961,8888
"ITGA4",325,7,0.000630878033734768,"no",-0.0568938258972334,0.244466568014305,-0.127236021993341,0.081606158576329,243,7,0.330849586195265,"no","",0.00573807380738074,8888
"RAB22A",316,40,0.000796585681860548,"no",-0.0273158490589796,0.187624967624863,-0.0305960643327648,0.235301043447694,238,30,0.271400000095451,"no","",0.0238523852385239,8888
"NTSR1",309,39,0.000913598568712646,"no",-0.0202244431415939,0.181047545017434,-0.0591116143591136,0.186002353957971,234,29,0.886844536267355,"no","",0.0257650765076508,8888
"THRA",337,15,0.000916041728720428,"no",0.00761042775302086,0.170274000324201,-0.00609584941320806,0.124445521237509,254,10,0.0126260954232038,"no","",0.0258775877587759,8888
"FOXA1",330,15,0.00105077440905498,"no",0.0264884670031522,0.12314337083227,-0.18503508787385,0.319117715453946,248,14,0.000168296471556403,"yes","BRCA_LoF,PRAD_LoF",0.0133888388838884,8888
"BTNL9",323,21,0.00119518043543243,"no",-0.00182721003520468,0.161107141278919,0.012529563751188,0.10705483777944,239,21,0.615387530133716,"no","",0.0103510351035104,8888
"RUNX1",340,3,0.00128759780477498,"no",0.0638654579327831,0.155691722255512,-1.09562843243554,0.301186999358542,255,3,1.03824486419057e-05,"yes","ACY_ambiguous,ALL_ambiguous,AML_ambiguous,BRCA_ambiguous",0.0045004500450045,8888
"SOX10",347,3,0.00148067318752485,"no",0.10103286528919,0.134242834089939,-0.53428665999188,0.67789159834635,261,3,0.204005950796233,"no","",0.00573807380738074,8888
"NPY1R",332,7,0.00180424564394583,"no",-0.0606481550298604,0.139482361216599,-0.0441585699657012,0.124498667541784,250,4,0.279192677680491,"no","",0.00326282628262826,8888
"LY9",323,21,0.00193737044233441,"no",0.0195814982214846,0.163800086562984,0.0244971675696547,0.133407628741512,243,18,0.907588564562226,"no","",0.0388163816381638,8888
"CACNA1E",299,14,0.00193745442450524,"no",-0.0488856851978329,0.188486080748768,-0.112754529820455,0.189056315896072,228,13,0.898745838847918,"no","",0.023964896489649,8888
"PPM1D",322,17,0.00235053441733075,"no",0.0464173742012504,0.162244990741051,-0.0926479179906083,0.290845535892247,245,11,0.0569728214124847,"no","HGG_LoF,PIA_LoF,SBCC_LoF",0.0209270927092709,8888
"PMEPA1",312,42,0.00258906248686295,"no",-0.0028911309055957,0.126348364176733,-0.00859597783918294,0.131755028377333,237,30,0.132828261145487,"no","",0.0231773177317732,8888
"RNFT1",340,15,0.00263994842445171,"no",-0.0061126210541062,0.137868805465287,0.0215951033354448,0.0312126471230034,257,11,0.039076815825582,"no","",0.0223897389738974,8888
"FOXC1",327,8,0.00280306425734608,"no",0.0177874221741162,0.188089288902858,-0.0896773231125663,0.218672363956399,251,3,0.395557435325284,"no","",0.0123762376237624,8888
"CLEC2D",337,10,0.00282960639104378,"no",0.0561185236160538,0.130900857167875,0.0260413259407729,0.143026220349268,255,9,0.431991880090558,"no","",0.0122637263726373,8888
"EIF5AL1",344,6,0.00292555967134092,"no",-0.218108858069476,0.426795660269992,-0.439324307952358,0.486746286559993,258,4,0.769603299627581,"no","",0.0118136813681368,8888
"GJC2",329,15,0.00310830254034538,"no",0.00117974864101746,0.156467604578909,-0.0109834970309677,0.0948897918841862,245,13,0.164022289546268,"no","",0.0244149414941494,8888
"ABCA1",310,4,0.00349031202351486,"no",-0.0132045280850643,0.314820767636288,0.0547867463799923,0.133183595899236,237,4,0.0540204247313919,"no","",0.00315031503150315,8888
"MC2R",344,5,0.00374332026116673,"no",0.0390001250193659,0.141797269978014,-0.0945358222332251,0.203455676430323,257,5,0.621606587320845,"no","",0.00753825382538254,8888
"NR1H3",349,6,0.00385881929518251,"no",-0.0173510325021399,0.167345117482455,-0.353535107837458,0.324153557819913,260,5,0.257552834864817,"no","",0.00416291629162916,8888
"PPME1",342,13,0.00386059342354663,"no",-0.0294918740237334,0.162333438298344,-0.136586113237938,0.123853094364896,254,11,0.517275105599116,"no","",0.0204770477047705,8888
"HEY2",341,7,0.00400549916674868,"no",0.014839240013089,0.176521221600103,-0.060080870782243,0.146849220063585,254,6,0.349750455942338,"no","",0.00528802880288029,8888
"OR2T12",326,20,0.00420852708964193,"no",0.0768973085716583,0.184500596684151,0.0460984897673386,0.193413109335107,244,16,0.0403363072450295,"no","",0.0295904590459046,8888
"UBE2MP1",343,9,0.00427777976046835,"no",-0.0851007779129996,0.283656635372854,-0.244129615593112,0.239030989717949,0,0,NA,NA,"",0.0112511251125113,8888
"LY6K",316,39,0.00443240130737883,"no",0.0184346709445438,0.209653518108574,-0.00956173453156237,0.158215879727044,236,31,0.0709520986652352,"no","",0.0616561656165617,8888
"OR2T33",319,20,0.0045873987236927,"no",-0.104878846546044,0.259348398724782,-0.130896139948561,0.17781570836182,239,16,0.263034328753943,"no","",0.0295904590459046,8888
"TNS3",301,28,0.00478322515455732,"no",-0.0389253435879787,0.209008449102813,-0.132338518864304,0.197994722197971,223,28,0.386640584529424,"no","",0.0111386138613861,8888
"C20orf151",320,41,0.00505128935489739,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0
"HMGB1",342,8,0.00523932694953068,"no",-0.183927241102922,0.278738651763758,-0.344466200940619,0.161072166149398,258,5,0.59207123456406,"no","",0.009000900090009,8888
"MDM4",337,10,0.00525607537314503,"no",0.0976274061184058,0.218625619048276,-0.309820915287016,0.541640099655308,252,10,0.0770366713987587,"no","BRCA_Act",0.0337533753375338,8888
"FOXQ1",338,8,0.0052694357285976,"no",0.0850229628724797,0.158426066306515,-0.0896513373913865,0.0582372858943165,259,3,0.338263371835821,"no","",0.0128262826282628,8888
"PROX1",318,11,0.0053987366754186,"no",-0.190380259604863,0.320017479539406,-0.248364418603181,0.277756249920913,231,11,0.312995601748002,"no","",0.0204770477047705,8888
"IRX2",320,25,0.0054349881003009,"no",-0.133377632928986,0.177120726990258,-0.118625920061779,0.184555738532944,239,21,0.688884944687001,"no","",0.036003600360036,8888
"SLC16A6",324,19,0.00543620589667957,"no",-0.0728047708462161,0.166841659137784,-0.155189507529316,0.174960251901095,251,14,0.247595003052567,"no","",0.0185643564356436,8888
"AHCY",330,20,0.00549810832715155,"no",-0.0635387967369301,0.19399683377107,-0.0652365033192492,0.168673106193123,251,15,0.5125744802093,"no","",0.0187893789378938,8888
"PARD6A",345,6,0.00566619267006811,"no",-0.0619291330897905,0.203051041711845,-0.0702799856862824,0.116304187746562,260,5,0.237713157859952,"no","",0.00258775877587759,8888
"VLDLR",299,11,0.00576698913072726,"no",-0.0642152623105465,0.193674653900377,-0.0525861576962727,0.157733501044696,227,8,0.00658375933849019,"no","",0.0113636363636364,8888
"APCDD1L",302,40,0.00590819423521575,"no",-0.0241117116439987,0.242871915955791,-0.0622360471526317,0.231689451435836,227,30,0.239389561715286,"no","",0.023964896489649,8888
"TAX1BP1",322,25,0.00590891382131425,"no",-0.0149321632464201,0.155420446352882,-0.0631439583789367,0.199532731469552,236,25,0.715397655669489,"no","",0.0104635463546355,8888
"OR52I2",337,4,0.00615283211501349,"no",0.0436080015884309,0.17002994192328,0.0544240161817195,0.263826513351315,258,3,0.594721355058165,"no","",0.00112511251125113,8888
"DYRK1A",337,6,0.00631407665427501,"no",0.0302354292679481,0.233530090159454,-0.275476357302437,0.611509229298692,256,3,0.0281246902730653,"no","",0.00495049504950495,8888
"OR52I1",340,4,0.00652851856344755,"no",0.0464138436277435,0.15471535100279,0.0054480856562545,0.287436110943209,255,3,0.556529460963267,"no","",0.00112511251125113,8888
"TLE3",335,6,0.00662007375076254,"no",-0.0250041964262184,0.204708717258901,-0.239441035428511,0.225557872807644,253,5,0.0395036710051987,"no","",0.00416291629162916,8888
"KIF5A",326,14,0.00682316535116903,"no",-0.088498319635491,0.214367107257341,-0.219182703101736,0.173504443827584,249,10,0.062125522276556,"no","",0.0166516651665167,8888
"PIK3CG",310,16,0.00734015213876175,"no",-0.0111543661204227,0.190144962317258,-0.0657848628915229,0.168248497780588,235,13,0.496515303914258,"no","",0.0118136813681368,8888
"FLI1",329,7,0.00739213551540831,"no",0.0618131061539546,0.0893996864796245,-0.0418041379296785,1.02614463256567,247,5,0.00557498324323195,"no","",0.00585058505850585,8888
"UBD",342,6,0.00791030747208842,"no",-0.00731922776076903,0.210572683180508,-0.0318282412229125,0.0718379564866241,262,3,0.145738336386975,"no","",0.00978847884788479,8888
"HSPE1-MOB4",356,5,0.00809384879994622,"no",0.168643504633713,0.30051959300246,0.129961300634031,0.017903287647304,0,0,NA,NA,"",0.00607560756075608,8888
"EGFR",283,46,0.00813699635576193,"no",0.0142096683638661,0.200853510264586,-0.0835018835619327,0.385586675343237,209,38,0.106246098774855,"no","BRCA_Act,COREAD_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,MM_Act,NSCLC_Act,PIA_Act",0.0574932493249325,8888
"DUSP23",334,20,0.00819035589531042,"no",0.00397433164200476,0.126735772871206,-0.01214254681207,0.101082619930341,253,16,0.30471896962844,"no","",0.0352160216021602,8888
"ANKRD20A4",324,9,0.00835955433364177,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.00866336633663366,8888
"ARHGAP11B",335,10,0.00839954348889171,"no",0.0419528617507454,0.14382139015551,0.00134197872379601,0.22576647442236,253,7,0.457718638113534,"no","",0.00258775877587759,8888
"PPP1CA",326,26,0.00858997450194399,"no",-0.0237457713894041,0.190796121936155,-0.097320007995183,0.220180918586617,242,23,0.368306380391915,"no","",0.0228397839783978,8888
"CCNE1",334,18,0.00876510525561963,"no",0.0532657139886037,0.197278345472431,-0.246539313000629,1.20071299752906,250,13,0.152123411245121,"no","",0.0420792079207921,8888
"WIF1",336,5,0.00898143028070892,"no",-0.0837720129209272,0.192048316089391,-0.213091215511576,0.366425975534772,255,3,0.182236282273738,"no","",0.0146264626462646,8888
"LAMP1",324,21,0.0091897746388773,"no",0.003941972410231,0.230773636465803,-0.030356404678659,0.163474607958623,242,17,0.262064279501679,"no","",0.0154140414041404,8888
"METTL1",348,13,0.00925524703093515,"no",-0.0806272315297965,0.181445155720105,-0.0677786289426959,0.175665874145594,261,9,0.478747660194333,"no","",0.0263276327632763,8888
"SLC35B3",334,9,0.00950836444969889,"no",-0.0199803126947593,0.205514327208735,-0.055970739394413,0.223742986156962,257,4,0.394311340161736,"no","",0.0124887488748875,8888
"HNF1B",338,12,0.0097025519853581,"no",0.0346061538693387,0.130758308786992,-0.0608732623639647,0.355681200173446,254,9,0.111587034173787,"no","",0.0141764176417642,8888
"SDK1",278,31,0.00979464543372399,"no",0.0941444032154242,0.139529864966672,0.0310475585085325,0.19734435133557,209,28,0.657760847026898,"no","",0.0140639063906391,8888
"FOXL2",340,14,0.00983462589953784,"no",-0.192951980934614,0.286862442420193,-0.311630616302774,0.355440273529486,256,10,0.37043837553091,"no","OV_Act",0.0182268226822682,8888
"DLL3",334,12,0.00984498658953814,"no",-0.0527628966602868,0.212292401650554,-0.179260958028446,0.249152838864502,254,6,0.232775440771007,"no","",0.0225022502250225,8888
"PIK3CA",279,28,0.00994384607003086,"no",-0.0749241229124918,0.164090326032083,-0.152422184712718,0.279762006553716,211,20,0.249023245880056,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act",0.0646939693969397,8888
"KIRREL",319,20,0.00999307384423861,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.0311656165616562,8888
"KAT6A",321,12,0.0102634409649874,"no",0.00408859033537028,0.166147394773013,-0.0836274818550155,0.303912235247587,241,10,0.156442110581428,"no","ESCA_ambiguous,PRAD_ambiguous,RPC_ambiguous",0.0353285328532853,8888
"IL6R",324,23,0.0107625816856603,"no",-0.0959165989857593,0.138766828903838,-0.11366730135752,0.139875297146891,242,19,0.0347153274110367,"no","",0.036003600360036,8888
"GPR39",338,2,0.01079006383701,"no",-0.0347175583684871,0.191395435743623,-0.187448228108343,0.014904813743342,257,1,NA,NA,"",0.00326282628262826,8888
"OR2T8",322,21,0.0108683893183914,"no",0.118459266626138,0.206812510749386,0.0980282426251201,0.218754827416522,243,17,0.205235159419012,"no","",0.0295904590459046,8888
"IGSF21",331,2,0.0112868189888687,"no",0.0358881976479943,0.324355776252973,-0.324224787279628,0.00614941353598852,254,1,NA,NA,"",0.00371287128712871,8888
"NAPRT1",312,44,0.0114889702016965,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.0625562556255626,8888
"HSD11B1",334,10,0.01160649683698,"no",0.00818322849446379,0.161395729006336,-0.118533212113933,0.12845607998913,250,10,0.246796636831246,"no","",0.021039603960396,8888
"COL18A1",304,9,0.0117321103688644,"no",-0.00237047095286206,0.161587062484944,-0.0654429417673299,0.205970142315936,232,6,0.175425125214122,"no","",0.00573807380738074,8888
"TRPS1",282,40,0.0119620006188987,"no",-0.256817686851039,0.238434735878231,-0.358553726452498,0.319435748344873,210,36,0.424982555178023,"no","",0.0595184518451845,8888
"GNAS",272,39,0.0119966106823113,"no",-0.0242669676667258,0.22989883501083,-0.0730620363010942,0.25261304197099,213,29,0.323343728457422,"no","ACC_Act,BCNET_Act,BRCA_Act,CH_Act,COREAD_Act,ESCA_Act,HC_Act,MBL_Act,PAAD_Act",0.022952295229523,8888
"LGR4",333,8,0.0120851469555387,"no",0.0856797440921397,0.202438753651084,0.00610912638810622,0.116397921522758,252,6,0.147170346629484,"no","",0.00472547254725473,8888
"SUCLA2",341,3,0.0120930433862275,"no",0.0125762112118184,0.136451304042504,-0.0213231284338212,0.0519974496007531,258,3,0.780947348896576,"no","",0.0027002700270027,8888
"FCGR3A",314,31,0.0122743475383936,"no",-0.0651438891397639,0.19839708929941,-0.0987815864491659,0.218300915290936,233,28,0.0166710976526012,"no","",0.0369036903690369,8888
"BATF",351,8,0.0123946742443498,"no",-0.0200240309427188,0.161577790481547,-0.00265344846819965,0.0952514379718927,262,8,0.321154041453676,"no","",0.00371287128712871,8888
"PRKAA1",312,39,0.0125112639366924,"no",-0.097551644196631,0.230673241374925,-0.152713970928404,0.1747846136802,236,30,0.799795090286767,"no","",0.0281278127812781,8888
"HAPLN2",332,19,0.0125347999114055,"no",0.0322456290655595,0.128886372538587,0.000984308048596613,0.0902857242337548,253,15,0.277209220386006,"no","",0.0328532853285329,8888
"ITCH",327,18,0.0126488902419409,"no",-0.0383371393610298,0.11425512225803,-0.101833002830326,0.125982008727486,244,14,0.031073941884438,"no","",0.0193519351935194,8888
"MAPK1",331,18,0.0129513756304119,"no",-0.00476893969158394,0.199235727367376,-0.0865084457456419,0.119725540387309,248,16,0.509697891455306,"no","CESC_Act,CLL_Act,HC_Act,HNSC_Act",0.0104635463546355,8888
"SMAD4",296,2,0.0131279385873774,"no",-0.0380277049181458,0.287974657945875,-0.214873753073615,0.062890031116714,218,1,NA,NA,"BRCA_LoF,CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF,PRAD_LoF,ST_LoF",0.00157515751575158,8888
"TBC1D2B",344,4,0.0135717605771921,"no",0.0826300727816183,0.181741236039552,0.0569005835800437,0.0377257627935119,259,2,0.418872817519947,"no","",0.00708820882088209,8888
"SAMD4B",332,12,0.0137487987368874,"no",-0.110198967099876,0.238309226583528,-0.166715482030584,0.169806499609382,255,6,0.577890658592875,"no","",0.0235148514851485,8888
"PHLDA2",337,5,0.0138710883255409,"no",-0.102557997095602,0.214821146964935,-0.201815105224048,0.074487048082416,254,5,0.277654494350602,"no","",0.00123762376237624,8888
"NCAN",317,9,0.0144040087648377,"no",0.0125010828702078,0.176868811499771,-0.00737787249357585,0.176056084683475,242,7,0.283748219068948,"no","",0.0108010801080108,8888
"HSD17B7",335,17,0.0144354679877154,"no",-0.0424916950697971,0.180873423649672,-0.0433388218747566,0.196533127959579,250,16,0.677820170543027,"no","",0.0347659765976598,8888
"DCLRE1C",337,3,0.0144630504220875,"no",-0.313876980959605,0.309217834808844,-0.308165603311806,0.404689567309588,250,3,0.592029963728132,"no","",0.00855085508550855,8888
"SERPINF1",341,4,0.0144734971792281,"no",0.0282340610705151,0.17377320783466,-0.0666813381129196,0.200793307288581,258,2,0.2816585036198,"no","",0.00382538253825383,8888
"LRP5",306,27,0.0144913075871371,"no",-0.0225633493584476,0.203541479577023,-0.0596909250227016,0.248292504291363,229,23,0.111804011034689,"no","",0.0258775877587759,8888
"SPSB1",342,6,0.0146898488997371,"no",-0.0104736055242663,0.190538424831473,-0.0851487573102384,0.0969865914360735,262,1,NA,NA,"",0.00585058505850585,8888
"GTPBP8",340,9,0.0147446820080916,"no",-0.0570649348147604,0.26993748580486,-0.0654627717915396,0.157770785823838,259,7,0.276942865863803,"no","",0.0115886588658866,8888
"TTC8",338,11,0.0151472759955404,"no",-0.00137318304410841,0.184149816144196,0.0189573658596225,0.117857111670729,255,9,0.335770317648738,"no","",0.00371287128712871,8888
"TBX18",336,5,0.0154727731127904,"no",-0.0201699514550503,0.134683272548058,-0.00669024130740817,0.0838303424597638,256,3,0.540928213818068,"no","",0.00348784878487849,8888
"RELA",330,16,0.0155132404498228,"no",-0.0210801895719489,0.176093165947226,-0.0109240528856833,0.0917140507413317,246,16,0.297330829294356,"no","ST_Act",0.0104635463546355,8888
"ATG4D",338,5,0.0157594284794284,"no",-0.113089718238064,0.213198318354916,-0.48357100408921,0.364599084609721,255,4,0.306523752001241,"no","",0.0156390639063906,8888
"KCNMB3",322,27,0.0158074444181161,"no",0.0282910716370984,0.160098360247579,-0.0183902184984653,0.160529946268335,245,19,0.722092336638058,"no","",0.0635688568856886,8888
"BTN3A3",334,7,0.0159104515027639,"no",0.0734085733573182,0.253871122228003,0.144648245283219,0.457430246173688,257,2,0.227909751958786,"no","",0.00888838883888389,8888
"PDE1C",311,20,0.0159926472609606,"no",-0.127015920494497,0.206442503460878,-0.139523102909467,0.31180215163588,231,21,0.532925864872005,"no","",0.0104635463546355,8888
"OSBPL2",316,40,0.0160448399476281,"no",-0.314572461087357,0.308760877461762,-0.360259275229186,0.202758175870071,237,31,0.304244759093833,"no","",0.0258775877587759,8888
"AQP4",334,4,0.0162300627929373,"no",-0.0320804275827591,0.215939679892769,0.0319502055898295,0.197034332178383,253,3,0.318270304740202,"no","",0.0123762376237624,8888
"DDX39B",331,14,0.0163127636355345,"no",0.0937864280221671,0.2053829331919,0.0869510972254666,0.151937246580479,256,10,0.208794059288712,"no","",0.011026102610261,8888
"TMEM189-UBE2V1",325,30,0.0164785558664818,"no",0.782549171328393,0.357953068565447,0.883040643363142,0.322832415838788,0,0,NA,NA,"",0.0230648064806481,8888
"PATZ1",345,2,0.0168470059959615,"no",-0.0937510731911192,0.23240614969483,-0.172215388326177,0.354675504189124,262,1,NA,NA,"",0.00551305130513051,8888
"MCM10",328,2,0.0170750709393627,"no",-0.0647536518511491,0.159305597685423,-0.0499519947577369,0.0202056841006752,253,2,0.439094670619602,"no","",0.0118136813681368,8888
"PDGFRA",316,13,0.0170875368396869,"no",-0.0174665241013393,0.184731067646507,-0.0840801506672202,0.266412254805933,235,11,0.126905846898631,"no","GBM_Act,HGG_Act,LGG_Act,LUSC_Act,PIA_Act",0.0201395139513951,8888
"MDH1B",345,3,0.0172872329585458,"no",-0.00848361974403663,0.220059411257704,0.0378719231853958,0.220104878168206,260,3,0.821623198699016,"no","",0.00371287128712871,8888
"SYDE2",324,13,0.01732843105631,"no",0.00725338425403059,0.123630239348815,0.0167605322826299,0.100272340021043,244,11,0.471348813219255,"no","",0.00517551755175518,8888
"IQGAP2",328,2,0.0181476697074826,"no",0.0457788403828105,0.131669800660295,0.0874468086180255,0.158229836702564,250,1,NA,NA,"",0.00112511251125113,8888
"ARID3B",341,5,0.0182733380180166,"no",-0.225810236926625,0.268855495452526,-0.242018614361341,0.149293664919725,260,4,0.225598968100612,"no","",0.00528802880288029,8888
"BCL6",318,26,0.0183245666555055,"no",-0.0455619421808681,0.190606340939278,-0.0527290505943624,0.129582407397003,241,20,0.171238319846751,"no","DLBCL_Act,NHLY_Act",0.051980198019802,8888
"ERN2",339,3,0.0183803834577229,"no",NA,NA,NA,NA,255,1,NA,NA,"",0.00652565256525653,8888
"MAFG",337,21,0.0186102956867875,"no",0.0390783602052826,0.159578434280494,-0.0178779790723406,0.180529802670706,252,16,0.258163301617092,"no","",0.016989198919892,8888
"C1QL4",348,4,0.0186979948413641,"no",-0.0764558799059089,0.173380403507129,-0.120549974913386,0.124443596769855,264,2,0.739267662041519,"no","",0.00337533753375338,8888
"MYCN",340,10,0.0187156168281168,"no",0.0845669780249174,0.12644326541533,-0.26811217497067,0.724794783650836,256,8,0.0165984074315938,"no","GBM_Act,MBL_Act,NB_Act,PIA_Act,SBCC_Act,UCEC_Act",0.00855085508550855,8888
"NBN",311,29,0.0187845596678955,"no",-0.0189173416633631,0.181945623132675,-0.0497173515301622,0.149728683943343,231,27,0.251358873210597,"no","",0.0324032403240324,8888
"MYOC",335,16,0.0188363614382473,"no",-0.0651886640180611,0.186418038531674,-0.0977979336963255,0.157524865029138,247,16,0.28992610675185,"no","",0.0286903690369037,8888
"ATP6V1G2-DDX39B",337,14,0.0188843864955937,"no",-0.637235334054287,0.468551563231805,-0.618894010941526,0.593940332173046,0,0,NA,NA,"",0.011026102610261,8888
"PSIP1",315,8,0.0190113185712809,"no",0.050596829710025,0.171684270525363,-0.0354258031453409,0.111941267469344,228,8,0.0496168232919281,"no","BLCA_Act",0.00753825382538254,8888
"GPR171",334,18,0.019203552351011,"no",0.113478756558638,0.132167359613413,0.0648742023431204,0.0963836706194921,252,14,0.196893007127566,"no","",0.0299279927992799,8888
"RPS6KA4",337,7,0.0193809046267444,"no",0.049008318277963,0.183486473579456,0.0411694169711962,0.103819694844784,253,7,0.0669863023326227,"no","",0.00461296129612961,8888
"TNFRSF1A",340,11,0.0194208000562087,"no",0.00417664799559415,0.134191506656113,-0.0532845980637734,0.0834127810371929,254,9,0.702896604225411,"no","",0.0171017101710171,8888
"MAP2K3",330,13,0.0195133652550624,"no",0.0416374587600553,0.161983525246817,0.0439379895119826,0.1380969044743,249,9,0.0400474340202995,"no","",0.00956345634563456,8888
"PARP2",342,11,0.0197381733525295,"no",-0.0514125644370969,0.22762144781882,-0.146078089955583,0.130117052845725,257,9,0.219332223204417,"no","",0.00933843384338434,8888
"CD74",349,6,0.0198209258589851,"no",-0.0880882839541356,0.20664221275016,-0.147655039860005,0.0766891324286071,265,5,0.321199519144101,"no","",0.00663816381638164,8888
"NCF1",337,8,0.0199017915029397,"no",-0.0247260494738517,0.24760560264249,-0.0964102150393707,0.228316439298992,255,8,0.644183503440183,"no","",0.0099009900990099,8888
"PDE7A",331,15,0.0199020577737224,"no",0.031364979863131,0.182104750323219,-0.0535026894642745,0.156711485211208,250,14,0.0493050411452287,"no","",0.024977497749775,8888
"PIM3",331,6,0.0199565897801898,"no",0.104510297082439,0.150918147129302,0.0351960352798949,0.175286818619097,249,6,0.226406486846023,"no","",0.00326282628262826,8888
"IREB2",341,5,0.0203212798515681,"no",-0.0670143035971987,0.161960444484493,-0.130207250982323,0.15222105992002,257,3,0.14831391403581,"no","",0.00675067506750675,8888
