"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","DeleteriousDnDs","intogen_gene_role","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"ANKRD50",329,7,0.868681761683106,"no",0.031759688961299,0.150756246631528,0.0517596537983953,0.246350123752615,255,1,NA,NA,0.888888888888889,"",0.00504686373467916,8322
"DHRS9",341,3,0.868858727853316,"no",-0.0257662245645342,0.230048699196592,0.0461395051339956,0.113884074355753,258,1,NA,NA,1.33333333333333,"",0.000841143955779861,8322
"ITIH5",310,3,0.868903062964833,"no",0.00768445422218394,0.205684772135259,-0.079480237283565,0.113710579466363,0,0,NA,NA,0.25,"",0.00324441240086518,8322
"PDE3B",324,5,0.869592007593238,"no",-0.0385543324077881,0.181312446675527,-0.194091817765707,0.382903315807801,245,3,0.669221723063237,"no",0.583333333333333,"",0.00384522951213651,8322
"RHOT1",339,2,0.870295508460882,"no",-0.0404789146044363,0.189761958567977,0.089600264900658,0.0689495683466399,256,1,NA,NA,0.5,"",0.00252343186733958,8322
"KIF3B",324,3,0.870360483099374,"no",0.00274865924742703,0.157175679871104,0.070160337943539,0.196719668840006,243,1,NA,NA,0.5,"",0.00192261475606825,8322
"IRX3",336,2,0.870495508304879,"no",0.0306436091882627,0.158351571744501,0.166290646858512,0.237519351264049,254,1,NA,NA,0.428571428571429,"",0.00204277817832252,8322
"CPVL",319,4,0.871030980926238,"no",0.0334742115328198,0.173901729078278,0.0209267606766799,0.0521481451936631,237,4,0.208546363311267,"no",1.75,"",0.00324441240086518,8322
"CYP21A2",334,2,0.87123757282707,"no",-0.0118438197969121,0.228301375507786,-0.192011012062825,0.040732369355144,253,2,0.748906263401782,"no",0.5,"",0.00108147080028839,8322
"ZBTB10",311,10,0.871588106235706,"no",-0.0321907213136303,0.147123763425908,-0.0127955479223548,0.0699252488854106,230,9,0.46232355749834,"no",1,"",0.00288392213410238,8322
"CACNA2D1",292,3,0.871681698493151,"no",-0.0124908291939188,0.160633263894426,0.00857711899738335,0.102872575249624,224,1,NA,NA,0.285714285714286,"",0.00444604662340783,8322
"MAP2K6",332,2,0.871875784356544,"no",-0.0442476555318771,0.135737056690738,-0.158898267187061,0.039777836972812,252,1,NA,NA,3,"",0.00108147080028839,8322
