"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"PSPH",315,3,0.610435638615783,"no",-0.106434704902503,0.219317318616835,-0.141563594827125,0.118455048617418,234,3,0.334096014612469,"no",4,"",0.00348473924537371,8322
"DUSP3",348,2,0.610453809378663,"no",0.0118287909426735,0.115458499181223,0.0831751099674491,0.045100790105805,262,2,0.345423966186853,"no",2,"",0.00264359528959385,8322
"STX18",332,8,0.610823481569708,"no",-0.0488721397342754,0.219879747168069,-0.0422046165401986,0.297650456655465,247,6,0.443395589961386,"no",5.5,"",0.00324441240086518,8322
"WDR60",318,17,0.610947152808094,"no",0.056792483497037,0.143965827870226,0.0503674873883741,0.096624289572367,235,12,0.585127052344247,"no",2,"",0.0133381398702235,8322
"GPBAR1",353,2,0.611306952471051,"no",-0.0150885534082043,0.214391119006683,0.0861293841114186,0.0365296759192884,265,2,0.395463116222561,"no",3,"",0.00288392213410238,8322
"GABRB1",336,11,0.611385139525845,"no",0.0392235252117502,0.16962310871323,0.0722337773403117,0.133769258771328,255,7,0.198298334379426,"no",3.5,"",0.015380918048546,8322
"KLC2",328,9,0.611958908891438,"no",0.00743097013447182,0.176891113778272,-0.0531570288175582,0.109165866125417,243,8,0.480992025467405,"no",1.42857142857143,"",0.00781062244652728,8322
"PRRT1",333,8,0.612010856751848,"no",NA,NA,NA,NA,253,4,0.454532583075091,"no",5.5,"",0.00372506608988224,8322
"AKAP8",337,16,0.612593223556411,"no",-0.00903521523074552,0.196257035195007,0.023536563686819,0.129714005725672,252,13,0.24923372435739,"no",6,"",0.00841143955779861,8322
"WT1",341,6,0.612595328054756,"no",-0.0532449382965124,0.202041480555827,-0.0463199439106718,0.206529770692693,257,4,0.61071576997596,"no",1,"ESCA_LoF,PAAD_LoF",0.00937274693583273,8322
"OPN4",334,9,0.612718214988694,"no",-0.1346147192681,0.175334794230125,-0.104061366045932,0.165664109031996,256,6,0.711533880608998,"no",0.916666666666667,"",0.00708964191300168,8322
"DMBX1",351,7,0.612887247877203,"no",-0.0756038223966033,0.183799181799421,-0.0587799015968951,0.0825896805552339,264,3,0.673727565894367,"no",1.6,"",0.0098534006248498,8322
"ADAMTS20",309,33,0.613033590354491,"no",-0.0274111340257002,0.218267121529023,-0.0587213011685891,0.240193170062892,234,22,0.664099264389501,"no",2.19047619047619,"",0.0427781783225186,8322
"ACAP1",330,15,0.613040612855881,"no",-0.322987205551477,0.351698158606283,-0.395411780994514,0.267484075298439,252,11,0.506176179617033,"no",4,"",0.011295361691901,8322
"ANGPTL4",349,3,0.613041904808113,"no",0.0326095317601816,0.13709774352366,-0.00207815904498378,0.37144617959901,265,2,0.588545451384073,"no",2,"",0.00528719057918769,8322
"ONECUT2",324,13,0.613067599520558,"no",-0.048926620958455,0.16058781702395,-0.0511156580632551,0.0892060163619179,244,7,0.372320663709413,"no",3.75,"",0.00769045902427301,8322
"DDRGK1",335,7,0.613085530762138,"no",-0.091942452569529,0.196671058661932,-0.0882304386144742,0.123185397112537,248,5,0.645745333979668,"no",2,"",0.00348473924537371,8322
"ING1",322,10,0.613143073694553,"no",0.0266564905216688,0.170935395193204,0.0576033960170176,0.0841484279104463,242,7,0.545073155134568,"no",1.5,"UCEC_LoF",0.00696947849074742,8322
"DYRK1B",338,8,0.613453508849801,"no",0.0156136445948832,0.178256787676229,0.0036382528381183,0.149780048681792,258,4,0.61632558519721,"no",1.57142857142857,"",0.00793078586878154,8322
"ITGAL",332,17,0.613673270986362,"no",-0.0646239843564893,0.233839416643674,-0.0654154616363097,0.137796117187816,252,13,0.488018606479402,"no",2,"",0.0204277817832252,8322
"FGFR4",333,11,0.613724311445655,"no",-0.0781244338349681,0.12680754536731,-0.187804148023194,0.16871957504796,253,7,0.104032893656736,"no",1.09090909090909,"GBM_Act",0.013097813025715,8322
"MAP2K1",347,9,0.613762029966433,"no",0.00436649506880891,0.12392360093935,-0.0537749644940199,0.184975407793055,258,8,0.445661181433618,"no",4,"BLCA_Act,CM_Act,COREAD_Act,DLBCL_Act,LUAD_Act,NSCLC_Act",0.00973323720259553,8322
"CDYL",328,13,0.613842513837093,"no",-0.0847451856908392,0.181685562998655,-0.00638037700456878,0.200834821880967,251,8,0.472616407631809,"no",1.36363636363636,"",0.0111751982696467,8322
"PARP11",340,4,0.613843722520782,"no",0.132114362151458,0.20329568778745,0.163558257313904,0.0356373443461802,252,4,0.659072010590192,"no",2.5,"",0.00612833453496756,8322
"GNA12",325,2,0.61390404740366,"no",0.0493035198612431,0.148269994010361,0.0787416226256074,0.0474063313550705,242,0,NA,NA,1.5,"",0.00444604662340783,8322
"NR1D1",326,13,0.613945688221273,"no",-0.0191585915757546,0.231184651804657,0.0569130147604875,0.316395817421116,251,4,0.312438079952547,"no",2.125,"",0.00732996875751021,8322
"WDR4",340,11,0.614118825434332,"no",0.0146122883614954,0.169734575221697,0.00484817785062604,0.0697544383236048,257,6,0.503850408530212,"no",2.4,"",0.00408555635664504,8322
"LCP1",330,14,0.614561325269056,"no",-0.00224933955361944,0.186923582059631,0.0776087724479939,0.192494856341453,256,6,0.346270543128241,"no",2.14285714285714,"",0.0109348714251382,8322
"GABARAP",348,2,0.614610324721924,"no",0.0578868377359157,0.167289271640409,0.0833732513779355,0.0731375126657996,264,1,NA,NA,3,"",0.00108147080028839,8322
"ACAD9",339,7,0.61491942684595,"no",-0.0247816457556347,0.134477470129123,0.0775126155814231,0.115198397748364,257,5,0.817266384035334,"no",2,"",0.00793078586878154,8322
"UBASH3B",330,12,0.614996208467884,"no",-0.107360796668008,0.181394933830675,-0.0537943321676145,0.214278241326867,249,7,0.500703701614475,"no",3.2,"",0.0103340543138669,8322
"SPAST",347,6,0.615010963446193,"no",-0.0646384114883742,0.208614804852181,0.0364379697547313,0.0895975713943141,264,2,0.667217642340035,"no",1.33333333333333,"",0.00781062244652728,8322
"PREX2",300,34,0.615175718322146,"no",0.107389872101107,0.15558738979455,0.0509921623432366,0.152199431907962,223,25,0.348289861419818,"no",2.8125,"BLCA_Act,BRCA_Act,CM_Act,DLBCL_Act,ESCA_Act,PRAD_Act",0.0462629175678923,8322
"SIK2",326,12,0.615335473332307,"no",0.0641563699913972,0.141323032049616,0.0953059701561613,0.121283706589248,243,10,0.646867522620194,"no",1.55555555555556,"",0.00769045902427301,8322
"RECQL5",321,15,0.615579620216843,"no",0.0032454625709324,0.224902618473239,0.00105214253420013,0.182154290321954,244,13,0.645761736912564,"no",2.25,"",0.013578466714732,8322
"MAPKAPK3",342,4,0.615581793912556,"no",0.0172173434748871,0.174790595813511,-0.0164973455281762,0.0886708254517105,258,3,0.135212092208336,"no",5,"",0.00396539293439077,8322
"AKAP10",333,5,0.615701374177954,"no",-0.066218258004817,0.226141899294655,-0.0870585737393401,0.262250102929205,251,1,NA,NA,2.33333333333333,"",0.00528719057918769,8322
"COBLL1",326,19,0.615732726180129,"no",-0.177213423555223,0.262232809842571,-0.182535511797994,0.133809789129516,249,11,0.580864304690478,"no",2,"",0.0167027156933429,8322
