"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",98,181,7.34732056562536e-56,"yes",0.643692652144172,0.672732869624697,-0.183318261404617,0.16700451364909,71,134,2.02193074658072e-11,"yes",42.4,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.277697668829608,8322
"KRAS",264,78,4.12574356776667e-50,"yes",-0.0557062272951041,0.170689168077494,-0.813922575137872,1.06395968823685,203,56,0.000969762958014287,"no",28.6666666666667,"ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",0.0851958663782744,8322
"BRAF",280,63,7.9692350079522e-19,"yes",0.0867699724910009,0.138800381681482,-0.518859827026049,1.10847760504736,208,46,4.35580415851785e-08,"yes",7.5,"BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",0.0833934150444605,8322
"NRAS",313,26,9.32492775725122e-13,"yes",-0.00388305007836055,0.101956125154786,-0.971274372701301,1.19741669677841,227,23,1.27825399553931e-09,"yes",10.3333333333333,"ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",0.0304013458303292,8322
"CTNNB1",326,23,9.77429755748247e-13,"yes",0.000313221672141502,0.16325871814773,-1.34187949019886,1.61283764654357,248,16,4.79212593811404e-05,"yes",5.4,"ACC_Act,COREAD_Act,HBC_Act,HC_Act,LUAD_Act,MBL_Act,NSCLC_Act,PIA_Act,PRAD_Act,RHBDS_Act,SBCC_Act,ST_Act,UCEC_Act,WT_Act",0.0400144196106705,8322
"PIK3CA",279,49,2.17021651015097e-11,"yes",-0.0749241229124918,0.164090326032083,-0.370438803578626,0.382275429205958,211,36,0.0107104900890268,"no",13.4,"ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act",0.136745974525354,8322
"DDX27",321,10,1.05483501449547e-05,"yes",-0.743918165780945,0.415252013300622,-1.12623930665445,0.511839607191089,248,4,0.441423472051814,"no",5.5,"",0.0103340543138669,8322
"MDM2",337,8,2.92423607101464e-05,"yes",0.14259238920779,0.336170956360993,-0.258882274148377,0.336605948188896,257,6,0.0453727324153365,"no",9,"LEIS_Act",0.00552751742369623,8322
"RNF40",345,14,7.497539667524e-05,"yes",-0.287364716895488,0.262405369102409,-0.404249817324322,0.167552295982827,259,10,0.459322943515448,"no",1.6,"",0.013578466714732,8322
"MMS22L",327,17,7.55659236956048e-05,"yes",-0.736085168271648,0.365197531186414,-0.951390162753961,0.510332825552081,252,12,0.488626329815203,"no",3,"",0.0174236962268685,8322
"CCNK",330,7,0.000111036002409366,"yes",-0.718535918969831,0.411666957511757,-1.05254053324288,0.353192171136577,246,4,0.49161349082746,"no",3.66666666666667,"",0.00372506608988224,8322
"LRP1B",214,114,0.000158279093975261,"yes",0.0752388409960765,0.135328145634078,0.0655402843671611,0.122969420269532,161,84,0.593406213095013,"no",3.87037037037037,"AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF",0.123407834655131,8322
"RBM39",328,8,0.000216853861382737,"no",-0.750733221155294,0.412233665687254,-1.02157957142464,0.358314563456938,247,8,0.492919667576095,"no",3.66666666666667,"UCEC_Act",0.00829127613554434,8322
"TOP2A",331,9,0.000233419958640279,"no",-0.666975390843358,0.465077912698294,-0.982884334144567,0.174289784931326,250,5,0.490069571176536,"no",1.2,"ST_Act",0.0144196106705119,8322
"SKIV2L2",337,10,0.000337726653508252,"no",-0.757376453757978,0.289699104138378,-0.98334203977652,0.419578677984799,0,0,NA,NA,5.5,"",0.0116558519586638,8322
"ANKRD29",341,9,0.000355479922606469,"no",0.0658791781127615,0.151443023707155,-0.0493951672976547,0.07861624623762,259,5,0.645968633774885,"no",5,"",0.00384522951213651,8322
"SLC2A2",320,9,0.000361993497867989,"no",-0.0373043111406479,0.218438158621768,-0.115108221119503,0.206707606980959,243,5,0.625485017762211,"no",2.5,"",0.0108147080028839,8322
"RNF20",339,14,0.000403482137078993,"no",-0.46867083792343,0.388345246312435,-0.767626997534586,0.448140675009585,257,7,0.44158170164288,"no",3.16666666666667,"",0.0124969959144436,8322
"APC",285,45,0.000455901224327821,"no",0.0115380747988716,0.180432263803978,-0.0380297292974809,0.200630696532406,220,33,0.377161905866016,"no",3.875,"AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF",0.0366498437875511,8322
"MYC",282,5,0.00049545399222515,"no",-0.354673735315444,0.265910928596469,-0.642596014506728,0.22170979206462,204,4,0.479920620366302,"no",1.4,"AML_Act,BLY_Act,LY_Act,NHLY_Act",0.00793078586878154,8322
"DLX5",324,6,0.000498120767470469,"no",-0.102818599316408,0.214894587063381,-0.229218417170341,0.146961212840445,245,3,0.643018528260148,"no",2.66666666666667,"",0.00805094929103581,8322
"DDX39B",331,6,0.000549174737819563,"no",0.0937864280221671,0.2053829331919,-0.0577431398645203,0.2373968258076,256,0,NA,NA,1.16666666666667,"",0.0045662100456621,8322
"SCAP",330,20,0.000675505433024472,"no",-0.15239875613277,0.295647485262975,-0.415618012622128,0.698985640529104,247,15,0.66918487409962,"no",2.18181818181818,"",0.0139389569814948,8322
"SMAD4",296,17,0.000697731957080632,"no",-0.0380277049181458,0.287974657945875,-0.209739592096248,0.30466025778059,218,12,0.0610731133699511,"no",3.8,"BRCA_LoF,CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF,PRAD_LoF,ST_LoF",0.0200672915164624,8322
"MCRS1",350,4,0.000823582505066608,"no",-0.42891348187917,0.361287643259975,-0.824361234714969,0.48567670993111,261,4,0.424954516183361,"no",1.2,"",0.00636866137947609,8322
"TTK",322,14,0.000843230337112746,"no",-0.623735856612532,0.47106786036246,-0.844351958768541,0.282560215791871,245,9,0.470834831388823,"no",2.28571428571429,"",0.0145397740927662,8322
"FBXW7",321,23,0.000877900353740453,"no",0.02496347942088,0.304664036243226,-0.0714067598787628,0.200737297887926,243,16,0.0716138801563289,"no",4,"BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,PAAD_LoF,PIA_LoF,ST_LoF,UCEC_LoF,UCS_LoF",0.0313626532083634,8322
"PDE5A",337,11,0.000922557251569045,"no",0.0194846913459884,0.125522289660936,-0.021106098846148,0.136056409029219,256,8,0.873312675883902,"no",3.5,"",0.0120163422254266,8322
"AAMP",349,4,0.00108761993226227,"no",-0.44287842974982,0.406777060705379,-1.2114589167513,0.392844185833456,262,3,0.476612544880928,"no",3,"",0.00372506608988224,8322
"FCGRT",343,7,0.00114562906116598,"no",-0.00796480332009752,0.179305133277239,-0.0745639945844246,0.162139441402403,257,6,0.206285782491011,"no",2,"",0.00576784426820476,8322
"RNF19A",326,6,0.00124262661010028,"no",-0.101685949488824,0.161729136009963,-0.194425447103775,0.221765153974491,241,6,0.23309940892834,"no",2.33333333333333,"",0.0116558519586638,8322
"ATP5B",348,3,0.00128605412855642,"no",-0.317244895870958,0.285909857444269,-0.502801928011454,0.197048614734664,0,0,NA,NA,1,"",0.00696947849074742,8322
"POLE2",336,13,0.00131981701742818,"no",-0.654570335276095,0.407153340208513,-0.896460721250881,0.623555231810251,254,11,0.490180862030182,"no",7.5,"",0.0049267003124249,8322
"RASGEF1A",347,10,0.00140784377564904,"no",0.0035587999550544,0.240969866625777,-0.342355392667793,0.289555993894285,261,6,0.273738455274567,"no",1.57142857142857,"",0.00769045902427301,8322
"WDR46",344,9,0.00149503867381143,"no",-0.861121169214727,0.351186646295139,-1.09000528296371,0.09690509357521,261,5,0.409878350100802,"no",2.75,"",0.00720980533525595,8322
"RRAS2",344,3,0.00160145503428909,"no",0.0685145802642673,0.143418459797579,-0.640062191616356,0.505237023649096,260,3,0.0030468736780688,"no",1.33333333333333,"UCEC_Act",0.00360490266762797,8322
"RFC5",346,6,0.00171350799039146,"no",-0.440689408635712,0.291977001799555,-0.716175514429725,0.157328343372565,260,6,0.479856074083647,"no",4,"",0.00372506608988224,8322
"XRCC5",345,9,0.00173296951251196,"no",-0.665001222216542,0.355953877927028,-0.770477309287695,0.222543352080922,259,8,0.499225433198027,"no",1.42857142857143,"",0.00889209324681567,8322
"SLC38A6",337,8,0.00173814954091664,"no",-0.0679102534102712,0.186181850997059,-0.101972294819766,0.171203295990884,254,6,0.564126689090896,"no",1.375,"",0.00612833453496756,8322
"TAF3",324,16,0.00186627627085035,"no",-0.196117675436664,0.356791439342967,-0.339484396201419,0.253722741346076,245,10,0.630982319487541,"no",4,"",0.0124969959144436,8322
"SH2D6",345,4,0.00208169644327519,"no",-0.211599656112013,0.311406990109052,-0.409367505299581,0.0945045917863505,0,0,NA,NA,6,"",0.00216294160057678,8322
"TBL3",341,11,0.00235840122424935,"no",-0.559826151854837,0.309222190993998,-0.569205160771393,0.366984775992733,254,10,0.515120225867042,"no",1.71428571428571,"",0.00805094929103581,8322
"DNA2",341,15,0.00238744840746217,"no",-0.300362712240032,0.370750735463332,-0.356216635155371,0.306807231738181,0,0,NA,NA,6.33333333333333,"",0.0100937274693583,8322
"RNPC3",329,9,0.00240061660719605,"no",-0.521769202230862,0.328949949068143,-0.620502584113408,0.151003734040341,252,1,NA,NA,1.5,"",0.00300408555635664,8322
"KIF2B",305,36,0.00242025974481857,"no",-0.0259892297451532,0.178589797458371,-0.0716263931910064,0.195576769390065,232,26,0.534359651793415,"no",4,"",0.0330449411199231,8322
"EZH2",315,20,0.00243552644412025,"no",0.0245299802554157,0.19701353863699,0.00302575832231245,0.238863912395329,239,12,0.264938243816403,"no",5.75,"ALL_LoF,AML_LoF,DLBCL_LoF,EWS_LoF,LUAD_LoF,LY_LoF,NHLY_LoF",0.011776015380918,8322
"KCTD9",330,6,0.00247279013946622,"no",0.0814372857334891,0.184395487093755,0.0142538876183942,0.338722392191138,250,4,0.153112626259967,"no",7,"",0.0049267003124249,8322
"SORD",336,7,0.0026279702590321,"no",0.0041975750128316,0.296152916632121,-0.100041366812283,0.318438033566813,254,5,0.58951172814017,"no",9,"",0.00396539293439077,8322
"CAMK2A",344,4,0.00268216398563446,"no",-0.120007160214216,0.242592212644647,-0.207672986416095,0.318054620224169,261,3,0.593125650354443,"no",0.857142857142857,"",0.00781062244652728,8322
"ARSG",322,19,0.00291068099283116,"no",0.0111637183103755,0.19492773351557,-0.0670734493238311,0.130104250954252,245,11,0.510229507192338,"no",2.85714285714286,"",0.00901225666906993,8322
"NFE2L2",335,16,0.00293035375532172,"no",-0.0299766896492787,0.178773694503489,-0.235338419653399,0.410485930528791,247,12,0.0764370434161099,"no",3.6,"BLCA_Act,CESC_Act,ESCA_Act,HC_Act,HNSC_Act,LUSC_Act,RPC_Act,UCEC_Act",0.0254746455179043,8322
"PTBP1",338,8,0.00295581062905764,"no",-0.422323122885887,0.354886703943678,-0.516586149112168,0.297967896301212,255,7,0.32765869224965,"no",1.71428571428571,"",0.00660898822398462,8322
"DARS",346,3,0.00298675679698524,"no",-0.874030222056784,0.436776088432909,-1.38364247133984,0.801590195009246,261,3,0.468871514005205,"no",1.25,"",0.00528719057918769,8322
"TENC1",326,19,0.00300715100908766,"no",NA,NA,NA,NA,0,0,NA,NA,2.77777777777778,"",0,8322
"CDK4",338,4,0.00320225297154886,"no",-0.0506825559036983,0.311351968265589,-0.885656917543508,0.558958788412406,257,1,NA,NA,1.66666666666667,"CM_Act",0.0049267003124249,8322
"UBA3",335,6,0.00326063236928734,"no",-0.392137796909691,0.331925768660722,-0.832169225022762,0.818514237167191,250,5,0.505431988749284,"no",2.66666666666667,"",0.00612833453496756,8322
"ABCA1",310,36,0.00326081880563421,"no",-0.0132045280850643,0.314820767636288,-0.0226381899366364,0.204859776679019,237,24,0.894983017226899,"no",2.75,"",0.0258351357846671,8322
"PRMT1",352,5,0.00341751831149211,"no",-0.671312419514042,0.416270880850746,-0.736542935021246,0.0821541178493399,264,2,0.503386810585134,"no",3.5,"",0.00480653689017063,8322
"WDR70",299,9,0.0035390062620543,"no",-0.673725758120959,0.416528150002736,-0.820645984591703,0.628295223811501,225,4,0.466509671637515,"no",2.2,"",0.0103340543138669,8322
"FPR1",339,14,0.00363698971951928,"no",-0.0224308973335339,0.16943269073785,-0.073745683544841,0.121185870378713,256,9,0.533317371811279,"no",5.33333333333333,"",0.00997356404710406,8322
"PRRX1",332,9,0.00372421133591074,"no",0.110344133146837,0.161781868899332,0.0228227676222832,0.119498511860122,247,5,0.614795737148799,"no",1.57142857142857,"ST_Act",0.00684931506849315,8322
"CAMKV",339,8,0.00409594839114777,"no",-0.00935632600484499,0.170109366631041,-0.038858233684213,0.146139203988931,257,2,0.733222359808478,"no",3,"",0.00805094929103581,8322
"GGA2",345,6,0.00431561599288666,"no",-0.0358495927821793,0.177693917094749,-0.113614077488127,0.121638244859754,262,3,0.396651700664188,"no",1.4,"",0.00720980533525595,8322
"POLD1",329,24,0.0043783601240555,"no",-0.580324365115175,0.391932091584783,-0.606299051374351,0.437337954853789,250,14,0.483080413500593,"no",1.78947368421053,"BRCA_Act",0.013097813025715,8322
"WDR82",345,2,0.0044548617508081,"no",-0.524654771224871,0.40067411868723,-0.896523361881253,0.0948478634453119,258,2,0.521226587429928,"no",1.5,"",0.00348473924537371,8322
"KEAP1",311,31,0.00481626082113857,"no",-0.0208782604024894,0.272989605513159,-0.0666113330896413,0.0946916855724928,230,26,0.280397538345497,"no",4.85714285714286,"CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act",0.0252343186733958,8322
"RNF43",318,18,0.00485021411958009,"no",-0.393064136723628,0.269259642375574,-0.441843566799628,0.32680420307737,239,13,0.635939797788436,"no",8,"ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF",0.0136986301369863,8322
"IDO2",328,8,0.00491283311535024,"no",NA,NA,NA,NA,0,0,NA,NA,1.8,"",0.00937274693583273,8322
"PKD1",274,73,0.00495487370024945,"no",0.0433634677104834,0.226090351721459,0.00251477049414693,0.189907091563451,208,53,0.766702206597723,"no",1.41428571428571,"",0.0294400384522951,8322
"IL6R",324,9,0.00497344597797269,"no",-0.0959165989857593,0.138766828903838,-0.12289390938839,0.168803528046679,242,7,0.58448962999724,"no",4.33333333333333,"",0.00588800769045902,8322
"CTSB",324,7,0.00504753467169922,"no",-0.0923927089259794,0.185056386471215,-0.179332176441326,0.17002208638064,245,5,0.218037452539986,"no",2,"",0.00432588320115357,8322
"RAB36",332,9,0.00514869413093204,"no",-0.202392585886215,0.246422083509558,-0.308482140777314,0.446792002766291,253,6,0.403386439924176,"no",5,"",0.00480653689017063,8322
"ATP12A",331,14,0.00521718912508089,"no",-0.119061456982528,0.20008634058505,-0.212628631220505,0.10856917523288,255,6,0.395543825030891,"no",1.5,"",0.020788272049988,8322
"ATP5A1",333,5,0.00549622632415172,"no",-0.318676728493221,0.325147406159276,-0.339388813002654,0.144022411451834,0,0,NA,NA,1.75,"",0.00648882480173035,8322
"KIF12",332,15,0.00564112939632942,"no",0.0599943496774422,0.129892661128309,0.0199002541223597,0.113545668111623,254,7,0.545000476020394,"no",3.4,"",0.00636866137947609,8322
"GPR19",335,5,0.0056446240075833,"no",0.051753584651597,0.15712945896403,-0.0521104077907728,0.145439541142482,256,3,0.365201886035329,"no",2,"",0.00528719057918769,8322
"PNPT1",340,14,0.00576201879755953,"no",-0.439301551903882,0.373873411382512,-0.620651851823125,0.404635105534523,257,8,0.457034328899392,"no",5.33333333333333,"",0.00817111271329007,8322
"ERN2",339,17,0.00593234930586013,"no",NA,NA,NA,NA,255,12,0.516676225024342,"no",1.5,"",0.0200672915164624,8322
"PPIL2",326,6,0.00601976601016966,"no",-0.237543093094193,0.240283442506899,-0.325132577320929,0.206907904104184,245,4,0.493843510492607,"no",1.33333333333333,"",0.00684931506849315,8322
"UBE2D3",348,2,0.00609600011640631,"no",-0.415916082422739,0.639384247647886,-1.12532553589042,0.36086610027511,262,2,0.410711943808765,"no",3,"",0.00264359528959385,8322
"BCL2L10",346,3,0.00612089782000031,"no",-0.0355317937041005,0.185783594305383,-0.398869203159393,0.245314513734371,258,3,0.197936301823077,"no",4,"",0.00132179764479692,8322
"NBEAL1",327,20,0.00612675013199776,"no",-0.14847065271423,0.229864045111109,-0.228541235803856,0.360244426478561,247,11,0.372471477687006,"no",2.07142857142857,"",0.0215092525835136,8322
"MAPKAPK2",334,11,0.00628857078995751,"no",-0.109396901671965,0.259954980524254,-0.190445263043943,0.126272982287784,249,7,0.239615614940292,"no",4.33333333333333,"",0.00444604662340783,8322
"NSUN2",319,12,0.00629729449379692,"no",-0.0191152143697075,0.184727654712524,-0.105281041436496,0.130085824016108,236,8,0.224968690667841,"no",2.33333333333333,"",0.011776015380918,8322
"C8G",344,3,0.00677893112306944,"no",0.0470768986978126,0.229472598863485,-0.0523829244516011,0.11589569481453,260,3,0.504412331093223,"no",2,"",0.00132179764479692,8322
"SERPINA1",333,5,0.00679019213591807,"no",-0.0391625972762838,0.258139548240519,-0.0739728642221966,0.356143617593844,251,2,0.312271495807885,"no",2.33333333333333,"",0.00660898822398462,8322
"DLD",324,10,0.00680350260624072,"no",-0.0657939524644871,0.149864306681513,-0.186215991883798,0.12014012756771,242,9,0.676747592240101,"no",4.33333333333333,"",0.00696947849074742,8322
"GLDC",298,16,0.00683889680792482,"no",0.0614654619052262,0.166614989894819,0.00743948421988033,0.153228981149439,222,12,0.229279108141716,"no",3.28571428571429,"",0.014900264359529,8322
"HRAS",337,8,0.006874764996652,"no",-0.0441107829808256,0.130002117775131,-0.568360384958505,0.726025006291325,252,5,0.0842897094122137,"no",3,"BLCA_Act,BRCA_Act,CM_Act,COREAD_Act,HNSC_Act,LUSC_Act,PCPG_Act,PRAD_Act,SSCC_Act,THCA_Act,THYM_Act,VV_Act",0.0111751982696467,8322
"SRCAP",308,45,0.00720257074840435,"no",-0.138881235480439,0.254689862952293,-0.207964045990416,0.210581287064155,234,33,0.464055202005818,"no",1.85294117647059,"",0.0412160538332132,8322
"ARID3C",346,7,0.00726627172966684,"no",-0.00745945710771077,0.129365313783774,-0.1258469314793,0.187252103856294,262,3,0.694454123459545,"no",1,"",0.00660898822398462,8322
"FKBP10",339,12,0.00728657526127884,"no",0.01984266389656,0.194786579743236,-0.020984810029415,0.28313315948105,255,8,0.278981158460759,"no",4.66666666666667,"",0.00552751742369623,8322
"TTC37",334,11,0.00757703989423136,"no",-0.0388330082695609,0.149314810901269,-0.0458348380489493,0.186246530240053,257,8,0.464266722229862,"no",2,"",0.0176640230713771,8322
"OGDH",319,11,0.0076586415702255,"no",-0.207079759511045,0.336674825577318,-0.342069030061435,0.30480192956432,239,7,0.335234533613534,"no",1,"",0.0146599375150204,8322
"COPS8",349,2,0.00766568905181461,"no",-0.807523516985887,0.460032847209151,-1.76631611058818,0.65932011513081,264,0,NA,NA,0.75,"",0.00252343186733958,8322
"CCNI",345,3,0.00789827316050508,"no",-0.0102225471860679,0.302336826439322,-0.179860498763984,0.259260014127866,261,2,0.730324708535731,"no",1.25,"",0.00372506608988224,8322
"IL1RL1",328,21,0.00792370083248614,"no",-0.030565923428838,0.312600926959635,-0.0728905570812114,0.249129557705175,246,15,0.514117685784872,"no",3.57142857142857,"",0.013578466714732,8322
"ITGA1",326,17,0.00829502661531675,"no",-0.118275716834147,0.201154585554123,-0.172422370990282,0.206655697736938,254,9,0.432344191158877,"no",1.58333333333333,"",0.015380918048546,8322
"MED7",345,2,0.00847159299223204,"no",-0.477552822503304,0.410427188610389,-0.781381593730192,0.115279333025331,261,1,NA,NA,3,"",0.00408555635664504,8322
"CD83",336,3,0.00875038694791668,"no",0.0822749397636386,0.180588271820146,-0.0111062506450541,0.135711493745633,258,2,0.906714937697033,"no",1.33333333333333,"",0.00240326844508532,8322
"PYROXD1",329,9,0.00908828276984062,"no",-0.0541286660373247,0.127481672418066,-0.0926549089494369,0.198260154712154,251,5,0.765632744493439,"no",5,"",0.00564768084595049,8322
"RBMXL1",333,9,0.0095915917204391,"no",-0.217480036912853,0.261177265966708,-0.242882051715064,0.161720482201819,249,7,0.469529854052591,"no",2.2,"",0.00660898822398462,8322
"CDH1",331,12,0.00961582846493632,"no",0.00114965475105843,0.172242895332826,-0.0549754636670828,0.102665656221903,249,7,0.138671952597618,"no",2.33333333333333,"BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF",0.0167027156933429,8322
"VAV1",339,11,0.00964923296803452,"no",0.0785327426487998,0.139019248005377,0.0151887313832808,0.123885898421837,257,7,0.780525898966172,"no",1.4,"PAAD_Act",0.0168228791155972,8322
"RASL10A",349,2,0.00978473548335505,"no",0.0145015259453956,0.233127673748923,-0.269942049970225,0.358441469708413,262,2,0.404712671838753,"no",3,"",0.00144196106705119,8322
"CD14",348,5,0.00985467308877544,"no",0.0877291047299514,0.17802430147495,0.0108099177563722,0.163381826796277,262,4,0.281306975782977,"no",1.75,"",0.0045662100456621,8322
"EIF3H",311,6,0.0100370089998935,"no",-0.515703131122444,0.478026535483402,-0.727681820219948,0.382168390981262,227,3,0.482425020929328,"no",2.66666666666667,"",0.00408555635664504,8322
"EPAS1",328,21,0.0105703075031733,"no",0.152404653779818,0.241262604517372,0.056117011249674,0.330442435106045,250,16,0.7599739554254,"no",2.88888888888889,"BRCA_Act,PCPG_Act,SSCC_Act",0.0134583032924778,8322
"CBS",338,13,0.0107935944877646,"no",NA,NA,NA,NA,253,12,0.745075414184141,"no",3.75,"",0.000961307378034126,8322
"PAX1",335,9,0.0109341785501108,"no",-0.0665743975520024,0.178133953594999,-0.161791571092917,0.231427323784513,251,6,0.424764570216482,"no",1.3,"",0.013097813025715,8322
"DDX6",335,3,0.0110368742522935,"no",-0.336794894525697,0.293689211681772,-0.358857211462972,0.106278209015275,253,1,NA,NA,2,"MBL_ambiguous",0.00468637346791637,8322
"MED8",350,2,0.011037507828274,"no",NA,NA,NA,NA,261,2,0.510331826431668,"no",1,"",0.00288392213410238,8322
"PKNOX2",322,12,0.0112070216903663,"no",0.0484097848172408,0.135489703101976,0.04684315341783,0.0592660105062809,243,7,0.661570707976283,"no",3.2,"",0.00961307378034126,8322
"PRKDC",287,56,0.0114791203220872,"no",-0.129594598009069,0.282637205269126,-0.16019184233795,0.244349574647708,0,0,NA,NA,2.3,"",0.0416967075222302,8322
"ATR",305,31,0.0115205043892984,"no",-0.418867499671144,0.356121250767109,-0.645984602004755,0.622603626239919,231,22,0.43823132275945,"no",2.17647058823529,"CM_LoF,UCEC_LoF",0.0300408555635664,8322
"HNRNPD",340,3,0.011584349930396,"no",-0.0696106875665735,0.257232795783721,-0.196255944079846,0.260445836315773,259,1,NA,NA,2,"",0.0045662100456621,8322
"HS3ST2",344,8,0.0117274562378102,"no",-0.247353832361493,0.311134129978622,-0.286029881734165,0.328081803868026,261,5,0.880698377876649,"no",0.9,"",0.00805094929103581,8322
"CLEC2D",337,2,0.0117756325562769,"no",0.0561185236160538,0.130900857167875,0.0056181974030747,0.0057608279180646,255,1,NA,NA,3,"",0.00252343186733958,8322
"BIRC5",336,4,0.0119748118997514,"no",-0.612215639563424,0.525378605632268,-1.48160405405151,0.26293078257785,256,1,NA,NA,2.5,"",0.00144196106705119,8322
"TM4SF4",335,4,0.0122164413062881,"no",-0.0103873155039783,0.130300550749259,-0.0122418420220411,0.113532060281815,249,3,0.590182244207841,"no",1,"",0.00408555635664504,8322
"NBN",311,13,0.0123979483832885,"no",-0.0189173416633631,0.181945623132675,-0.0747621663250799,0.0721628194662835,231,9,0.219969417544538,"no",4,"",0.0102138908916126,8322
"RFWD2",338,7,0.0126785897389431,"no",-0.0830540396551152,0.354086953374968,-0.219307302605471,0.262520006934974,0,0,NA,NA,4.5,"",0.0111751982696467,8322
"TRPM7",327,18,0.0127908996002362,"no",-0.184205871685363,0.326409203357063,-0.367892787468887,0.247795703200726,247,12,0.367546517154095,"no",1.57142857142857,"",0.0200672915164624,8322
"TTC27",340,11,0.0127927328977655,"no",-0.379415956821609,0.255636015031728,-0.535772527304756,0.443919757714163,258,6,0.496301088971685,"no",2,"",0.0118961788031723,8322
"CCKAR",340,10,0.013074212964241,"no",0.0577541616685308,0.145715203795211,0.0617971884645148,0.173607277610333,258,6,0.373281565186868,"no",1.16666666666667,"",0.0106945445806297,8322
"BANK1",331,16,0.0131760533495176,"no",-0.0820321781844673,0.276563788425993,-0.136274669227458,0.298638750724113,249,14,0.369646399521283,"no",8.5,"",0.0158615717375631,8322
"SBDS",338,3,0.0132557354289964,"no",0.00449990666297138,0.25739296832554,-0.14430833425008,0.00593624058162351,254,2,0.501393559024931,"no",1,"",0.00324441240086518,8322
"ZFP36L2",335,10,0.0138007423969553,"no",-0.0464604906718155,0.169250756402758,-0.0395619222662316,0.144582312515957,253,4,0.252683317266179,"no",1.44444444444444,"",0.00540735400144196,8322
