"","#wt","#mut","pvalue","is_significant"
"P2RY8",11,0,0.993461946380878,"no"
"ZBTB2",10,1,0.993474281162422,"no"
"ARAP2",8,3,0.993499237568572,"no"
"KCNJ3",11,0,0.99352489137064,"no"
"IRF9",11,0,0.993532722884479,"no"
"STAT6",11,0,0.993615239467327,"no"
"CORO2B",11,0,0.993689191517098,"no"
"IL17REL",11,0,0.993742651050609,"no"
"NOTCH4",10,1,0.993770415895327,"no"
"MDM2",11,0,0.993806289710513,"no"
"BCS1L",11,0,0.993827378917245,"no"
"PDE6B",10,1,0.993878666295815,"no"
"ENOX2",11,0,0.993923004476723,"no"
"ERP44",11,0,0.994037827644437,"no"
"GJB1",11,0,0.994042206480815,"no"
"RAB3D",7,4,0.994060935502446,"no"
"LONP1",10,1,0.994065778809587,"no"
"COPG1",11,0,0.994068421583929,"no"
"IQGAP3",11,0,0.994078589576495,"no"
"GLUD1",11,0,0.994090191816838,"no"
"GLUD2",11,0,0.994090191816838,"no"
"SCYL1",11,0,0.994095985616011,"no"
"USP6NL",11,0,0.994107558588671,"no"
"TIAM2",10,1,0.994110256858404,"no"
"CLDN1",11,0,0.994156526731514,"no"
"FZD4",9,2,0.994207401711124,"no"
"PLEKHA4",11,0,0.994239254371506,"no"
"LMX1A",11,0,0.994242089013667,"no"
"SDS",11,0,0.994259071720397,"no"
"DDX43",11,0,0.994263310668168,"no"
"FFAR3",10,1,0.994271908228282,"no"
"ATF6",11,0,0.994292908091165,"no"
"GPR83",11,0,0.994311164485248,"no"
"CDC7",11,0,0.994358674933594,"no"
"GRM8",11,0,0.994373972776223,"no"
"MCM4",11,0,0.994421031827922,"no"
"PRKRA",11,0,0.994421031827922,"no"
"PIK3CG",11,0,0.994456789487668,"no"
"DECR1",10,1,0.994482009483344,"no"
"TEAD2",11,0,0.994564231474842,"no"
"CREB3L4",11,0,0.994569623596222,"no"
"ARHGEF15",11,0,0.994584428213871,"no"
"DOCK11",11,0,0.994647293880748,"no"
"RHOBTB3",10,1,0.994684076115041,"no"
"VHL",11,0,0.994764618441408,"no"
"P2RY6",11,0,0.994782870977059,"no"
"COL4A3BP",11,0,0.994790676704493,"no"
"KLRG2",10,1,0.994814321121265,"no"
"RPP14",11,0,0.994838590182747,"no"
"NR1I3",10,1,0.994866191184646,"no"
"TFE3",11,0,0.994881003150419,"no"
"FEM1C",11,0,0.994923115575893,"no"
"CDC14B",11,0,0.994923115575893,"no"
"CDC14C",11,0,0.994923115575893,"no"
"CNTRL",9,2,0.994930394394852,"no"
"FBXL20",11,0,0.994932010041702,"no"
"DCAF12L1",11,0,0.994958612933671,"no"
"RNF43",10,1,0.99496191438092,"no"
"PRKAR2A",11,0,0.994964929191107,"no"
"SAMD8",11,0,0.99503395920704,"no"
"WDR5B",11,0,0.995120634582993,"no"
"SRSF12",11,0,0.995181744021424,"no"
"ARMC7",9,2,0.995232158243265,"no"
"RAPGEFL1",11,0,0.995249401787327,"no"
"PREB",11,0,0.995249401787352,"no"
"HNRNPR",11,0,0.995258999945372,"no"
"CCNE2",10,1,0.995300751446154,"no"
"ENPP7",9,2,0.99531588617415,"no"
"KCNK12",11,0,0.995379917438354,"no"
"PRKCH",11,0,0.995384604537166,"no"
"PRDM10",8,3,0.995394254143161,"no"
"NME4",11,0,0.995566490554552,"no"
"NAA20",11,0,0.995571013688637,"no"
"SUV39H1",11,0,0.995581176162186,"no"
"C3orf43",10,1,0.995585308784177,"no"
"MBOAT7",11,0,0.99567062704907,"no"
"BTN1A1",11,0,0.995673950775485,"no"
"CDC25B",11,0,0.995756329930642,"no"
"RFC1",11,0,0.995765036418938,"no"
"TREX1",11,0,0.99577047012399,"no"
"SOCS5",11,0,0.995783486416072,"no"
"TFEC",11,0,0.995786735069282,"no"
"WWP2",11,0,0.995794306839934,"no"
"CD55",11,0,0.995852322971708,"no"
"CHRNA6",11,0,0.995854458349386,"no"
"DCAF8",11,0,0.995857659631804,"no"
"SNRNP35",11,0,0.995865120971988,"no"
"LDHC",11,0,0.995934900812769,"no"
"DUSP26",11,0,0.995983968845625,"no"
"DNAJC7",11,0,0.99601708262765,"no"
"PPME1",11,0,0.996068349464009,"no"
"COX20",11,0,0.996074462893954,"no"
"DHRS9",11,0,0.996128108117457,"no"
"CP",11,0,0.996145179950215,"no"
"NLE1",11,0,0.9961521905424,"no"
"PTPRN2",11,0,0.99617813321924,"no"
"MKI67IP",11,0,0.996181116825107,"no"
"DDIT3",11,0,0.996187077979595,"no"
"MYLK2",10,1,0.996199223335826,"no"
"MED4",10,1,0.996201321372121,"no"
"ANGEL2",10,1,0.996243072623154,"no"
"ZBTB11",11,0,0.996290100036211,"no"
"OR10J1",11,0,0.996301718795879,"no"
"RELB",11,0,0.996358386384599,"no"
"POU4F2",11,0,0.996369819328588,"no"
"ARL6",10,1,0.996372009461363,"no"
"NMBR",10,1,0.996476517966886,"no"
"MAGEA12",11,0,0.996481520501854,"no"
"LOC101060230",11,0,0.996481520501854,"no"
"BUB3",11,0,0.996524808511215,"no"
"STK33",11,0,0.996554015831565,"no"
"NAV2",11,0,0.996557651709562,"no"
"MAGEB16",11,0,0.996584814727469,"no"
"TAF4B",10,1,0.996620348160345,"no"
"PLEKHH1",11,0,0.996620742275353,"no"
"KLHL24",11,0,0.996629672672007,"no"
"KCNH2",11,0,0.996653682366829,"no"
"HNF4G",9,2,0.996655091417496,"no"
"KDM4C",7,4,0.996690761279228,"no"
"HNRNPA1",9,2,0.99671881581149,"no"
"FLRT1",11,0,0.996721339720449,"no"
"ADAP2",11,0,0.996722210504436,"no"
"HCRTR1",11,0,0.996733512409355,"no"
"MYO3A",10,1,0.996751748698922,"no"
"BIRC3",11,0,0.996769794977636,"no"
"CSRNP3",11,0,0.996775807866706,"no"
"MUC1",11,0,0.996781811017767,"no"
"PARP12",11,0,0.996790370080881,"no"
"DDHD2",10,1,0.996818923141145,"no"
"CSH2",9,2,0.996838355616487,"no"
"CCNY",11,0,0.996855614202693,"no"
"CHRDL1",11,0,0.996889049447479,"no"
"KBTBD3",11,0,0.996905650713621,"no"
"ASXL2",11,0,0.996927117031607,"no"
"UTY",11,0,0.996938622027229,"no"
"PTGDR2",11,0,0.996963963989327,"no"
"SOX6",11,0,0.996965592662916,"no"
"ZNF217",11,0,0.99697291228304,"no"
"RAB7A",11,0,0.997000425595511,"no"
"MYNN",11,0,0.997001231502352,"no"
"RNF113A",11,0,0.997069047975085,"no"
"RREB1",11,0,0.997069837795478,"no"
"COL6A5",11,0,0.997109873499632,"no"
"CR1L",10,1,0.997135406296612,"no"
"SGMS2",11,0,0.997157901557442,"no"
"NANOG",11,0,0.99719003996939,"no"
"FOXJ1",9,2,0.997190323657803,"no"
"CYP2B6",11,0,0.997196885390934,"no"
"MTMR14",11,0,0.997203716264659,"no"
"KDM5B",11,0,0.997213557451466,"no"
"RPTOR",9,2,0.997245142081608,"no"
"GLRA4",11,0,0.997267517396159,"no"
"STIL",10,1,0.997294876970334,"no"
"RABL2A",11,0,0.997295626956557,"no"
"ARHGEF39",11,0,0.99732275398968,"no"
"AKR1C3",10,1,0.997323661014676,"no"
"JAM2",9,2,0.997352834042171,"no"
"PIGR",11,0,0.99735686999233,"no"
"DDX28",11,0,0.997358313279688,"no"
"CA5A",11,0,0.997359755878995,"no"
"GTF2IRD2",11,0,0.997423259241416,"no"
"GTF2IRD2B",11,0,0.997423259241416,"no"
"GTF2IRD2P1",11,0,0.997423259241416,"no"
"PTK2",10,1,0.997450291680294,"no"
"BRMS1L",11,0,0.99750264919927,"no"
"TRIM17",10,1,0.997522872914951,"no"
"CRABP2",11,0,0.997542891222992,"no"
"GRIA3",11,0,0.997567166240205,"no"
