"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"KDM4B",7,5,0.911306365727257,"no",1.7440419888223e-05,"up"
"RAB33A",12,0,0.911317337630589,"no",0.0350781321598122,"down"
"SUMO2",12,0,0.911441228201376,"no",0.434368432580725,"down"
"ZSCAN16",10,2,0.911654514144395,"no",1.73890677014382e-19,"up"
"SSTR3",9,3,0.911840264853429,"no",0.00659344866990497,"down"
"IL18R1",12,0,0.911886194374127,"no",0.0133656764087253,"up"
"ANKRD50",10,2,0.912020355625256,"no",0.00454103057512371,"down"
"ARHGEF25",8,4,0.912099148136927,"no",2.06968200549093e-10,"down"
"NLK",12,0,0.912243456904094,"no",2.82363923056541e-11,"up"
"ARL5B",11,1,0.912577212362856,"no",3.15879201227846e-05,"up"
"FCGR2B",11,1,0.912590037071352,"no",1.07128080286789e-05,"up"
"RNF130",11,1,0.912743827162681,"no",2.03871670322821e-10,"down"
"DCN",11,1,0.912769439749434,"no",3.182538580239e-07,"down"
"FLT1",8,4,0.912809873654852,"no",0.00113838349532638,"down"
"DAK",9,3,0.91293664633551,"no",NA,NA
"LGR6",9,3,0.912964992226379,"no",0.313359617468298,"down"
"RNF2",12,0,0.913003726701433,"no",0.000138298401006626,"up"
"LCNL1",11,1,0.913127443463768,"no",0.948038478681063,"up"
"MSI1",9,3,0.913149078396398,"no",2.30210792378287e-38,"up"
"ABCB11",8,4,0.913306425077009,"no",0.599653069554874,"down"
"ZBTB7A",8,4,0.913306425077009,"no",3.2415740658604e-08,"down"
"PABPC5",10,2,0.91332564694666,"no",8.57266503668929e-12,"down"
"IRAK1",12,0,0.913333309765892,"no",1.27215596241152e-32,"up"
"ASCC3",5,7,0.913762256086059,"no",1.89306864145082e-08,"up"
"EHF",11,1,0.913776778988635,"no",0.00114382188823083,"up"
"OMA1",11,1,0.913916368110443,"no",0.0673985881095136,"down"
"NME5",10,2,0.914046200238505,"no",0.896650372232401,"down"
"LGALS1",11,1,0.914131773540134,"no",0.00020962152533232,"down"
"RPAP3",11,1,0.914258299385899,"no",0.0462591260893299,"up"
"DCAF10",11,1,0.91434678676214,"no",0.00383138633524112,"down"
"GLYCTK",9,3,0.914723435719494,"no",4.86043366384834e-17,"up"
"AQP4",11,1,0.914725266013736,"no",0.196516716235518,"down"
