"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SMARCB1",5,0.273164703929272,"no",-0.236888944386553,0.28568821817346,2,0.999006838586743,"no","ATRT_LoF,MBL_LoF,NB_LoF,PAIS_LoF",1.59535478556733e-08,"up","BRAF (enriched, 62% vs 48%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 3% vs 15%)","",492
"RPP14",5,0.273246156250807,"no",NA,NA,2,0.997070611005333,"no","",5.4124092862923e-21,"down","BRAF (depleted, 38% vs 72%), NRAS (enriched, 15% vs 4%)","",492
"FOLR1",5,0.273368355970988,"no",-0.00609229237692616,0.122398644432806,2,0.139203027175812,"no","",2.0342932799611e-15,"down","","",492
"HDAC9",3,0.273514403428902,"no",0.0303657823066058,0.0723392728100256,0,NA,NA,"",5.10052925670421e-11,"up","BRAF (depleted, 40% vs 69%), HRAS (enriched, 9% vs 0%), NRAS (enriched, 16% vs 2%)","",492
"GPR20",5,0.273531328558332,"no",0.0809352282305259,0.020482757515042,2,0.19766356041686,"no","",0.318859957458281,"up","","",492
"CHCHD7",4,0.27376329943275,"no",0.167575666410892,0.0482266871988055,2,0.250322840223919,"no","",0.321334851373974,"up","BRAF (enriched, 68% vs 42%)","",492
"MRPL45",5,0.273816639488184,"no",-0.31799445934422,0.18364761516403,2,0.985950645760102,"no","",0.871543815917454,"up","","",492
"ZNF397",5,0.274020517803538,"no",-0.364188756453915,0.238046817945324,2,0.338963019643329,"no","",1.49532447661385e-10,"down","","",492
"ABCF2",5,0.274714231893079,"no",-0.0365115687127944,0.111579322339043,2,0.861434605926445,"no","",1.27802627913061e-08,"up","","",492
"DLX6",5,0.275122679464539,"no",0.0360231833861838,0.156980037257699,2,0.662884432526382,"no","",0.156893790550098,"up","","",492
"CDK10",5,0.275449640091805,"no",0.119405255435391,0.14775948790379,2,0.611383638379509,"no","",0.65968971415918,"up","BRAF (depleted, 44% vs 66%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 14% vs 5%)","",492
"FRAS1",4,0.275800180779767,"no",0.0400790519688563,0.069043681977744,1,NA,NA,"",9.9907268827414e-23,"down","HRAS (depleted, 1% vs 8%)","",492
"DOCK2",4,0.27602692533461,"no",0.167767266733493,0.176772353414269,1,NA,NA,"",0.769846288514913,"down","BRAF (enriched, 69% vs 41%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"HOXA11",4,0.276117646864133,"no",NA,NA,1,NA,NA,"UCEC_ambiguous",1.750153855645e-16,"up","","",492
"TNFAIP6",5,0.276513503037376,"no",-0.0372122559559197,0.178730860357505,2,0.0981036052522686,"no","",8.6405505329145e-13,"up","BRAF (enriched, 69% vs 41%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"CSTF1",4,0.276662260272084,"no",-0.039566571875021,0.151213778918945,2,0.998182186197581,"no","",3.57065452269513e-05,"down","","",492
"DHX38",5,0.277374158736332,"no",-0.628161837006138,0.365511426477937,2,0.858783453927495,"no","",3.37342597560417e-07,"down","BRAF (enriched, 61% vs 49%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"ADAMTSL3",5,0.27749721010215,"no",0.146691760668992,0.263121360810676,2,0.0262562246731283,"no","",0.00624734480670349,"down","BRAF (enriched, 66% vs 44%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 5% vs 14%)","",492
"DSC1",5,0.277825469780307,"no",-0.253792127016695,0.312912452964453,2,0.0590805006888149,"no","",0.00931530581256879,"down","BRAF (enriched, 67% vs 43%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 5% vs 14%)","",492
"TG",4,0.277934915916169,"no",0.0773522540988888,0.119613426917628,1,NA,NA,"",2.47658149477362e-21,"down","BRAF (depleted, 36% vs 74%), HRAS (enriched, 9% vs 1%), NRAS (enriched, 16% vs 2%)","",492
"PRLR",5,0.278112843274845,"no",-0.133590452753972,0.135939325191246,2,0.409615306428462,"no","",0.0865912283569173,"up","","",492
"OBP2A",5,0.278153907767215,"no",-0.0354339471482442,0.158477651547951,0,NA,NA,"",5.42547171652034e-08,"up","BRAF (enriched, 62% vs 48%)","",492
"GNAI3",5,0.278523613372778,"no",-0.0373123736697005,0.0662747166775425,2,0.813371001736835,"no","",0.155661055072732,"down","BRAF (enriched, 62% vs 48%)","",492
"MED30",5,0.278811317817571,"no",-0.340537213398656,0.187149980224711,2,0.999907101752868,"no","",4.62546721212551e-13,"down","","",492
"ARHGEF38",5,0.279181423391677,"no",0.097879940986509,0.288158970853632,2,0.0524457341955609,"no","",0.00212445510796805,"up","BRAF (enriched, 77% vs 33%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 2% vs 16%)","",492
"HOXB2",5,0.279222560100553,"no",0.0195307694553187,0.135746852286881,2,0.0247343018032964,"no","",0.0958070962979279,"up","HRAS (depleted, 2% vs 7%), NRAS (depleted, 4% vs 15%)","TTN (enriched, 6% vs 1%)",492
"TGFBR2",5,0.279510594653364,"no",-0.108037464203109,0.104787008772346,2,0.197229119088474,"no","CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF",0.000168483790189234,"down","BRAF (depleted, 43% vs 67%), NRAS (enriched, 13% vs 6%)","",492
