"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"FOXB1",5,0.0312160091792366,"no",-0.237671141701196,0.307803847780137,2,0.682873214848477,"no","",0.0451700904397054,"up","HRAS (depleted, 1% vs 7%), NRAS (depleted, 5% vs 12%)","",492
"FOXB2",5,0.0312160091792366,"no",-0.125121594728121,0.241041799471542,2,0.894011700444141,"no","",0.773931727111733,"up","","",492
"ALKBH2",5,0.0312542014328908,"no",0.0748670289728725,0.141566024853572,2,0.902965275764645,"no","",0.00976023697407591,"down","BRAF (depleted, 46% vs 64%)","",492
"FGFR1",5,0.0315033280835945,"no",0.0255248319735979,0.222020180932235,2,0.448183708984984,"no","BLCA_Act,MBL_Act,OV_Act,PCPG_Act,PIA_Act,PRAD_Act",0.000455882135121527,"down","HRAS (enriched, 8% vs 1%)","",492
"RBFOX1",5,0.0315706608325051,"no",0.0267734752692998,0.203622994522604,2,0.771673156362195,"no","PRAD_Act",2.0628587192607e-05,"up","HRAS (enriched, 8% vs 1%)","",492
"G2E3",5,0.0315802888221994,"no",-0.0712832380644897,0.128855622117393,2,0.794102169073314,"no","",3.23505774195353e-20,"down","BRAF (depleted, 44% vs 66%)","",492
"IGSF9",4,0.0319602251700895,"no",-0.0289105111606075,0.147546772677177,2,0.650713529454492,"no","",1.3202652300061e-11,"up","BRAF (enriched, 82% vs 28%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 1% vs 18%)","",492
"MUC1",4,0.0320704612379033,"no",-0.207773967672175,0.397148158591991,2,0.382999018523401,"no","",1.11405701899652e-10,"up","BRAF (enriched, 83% vs 27%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 2% vs 17%)","",492
"KIF5B",5,0.0321230684680658,"no",0.240045869062114,0.202206170729029,2,0.799062894934229,"no","HNSC_Act",0.622229625997992,"up","","",492
"FBP1",5,0.0322305226262664,"no",0.0358952767970546,0.428150231152292,2,0.28469119908366,"no","",0.188471531833875,"up","","",492
"BCL6",5,0.0322598761474978,"no",-0.191848591239591,0.146974934090054,2,0.185679868675023,"no","DLBCL_Act,NHLY_Act",7.54442095605001e-10,"down","BRAF (enriched, 66% vs 44%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"RAB5C",5,0.0322696652141614,"no",-0.167713964073869,0.071562154313646,2,0.814320131324977,"no","",0.15738948545331,"up","","",492
"MPP3",5,0.0326334664792753,"no",-0.0105916507711528,0.107126416167451,2,0.0641764345290164,"no","",0.00554824232913518,"up","","",492
"BCAR3",4,0.0326371075667825,"no",-0.24058893391244,0.403668956803338,2,0.623927679806246,"no","",8.53442581558176e-08,"down","BRAF (enriched, 72% vs 38%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 2% vs 17%)","TG (depleted, 1% vs 6%)",492
"SACS",5,0.0326433424256305,"no",-0.0140324814748621,0.200093057017004,2,0.432612453252325,"no","",3.91154796926844e-12,"down","BRAF (depleted, 45% vs 65%)","",492
"NR1H3",5,0.0327323291487268,"no",-0.0955299891691348,0.286682926219443,2,0.919201642616126,"no","",5.89946732872707e-14,"down","BRAF (depleted, 48% vs 62%)","",492
"JHDM1D",5,0.0327323291487268,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"METTL3",5,0.0328611938456896,"no",0.136828047041454,0.219517415557221,2,0.00878358366708319,"no","",8.13878186326651e-05,"down","BRAF (depleted, 46% vs 64%)","",492
"TDRKH",4,0.0328613589383106,"no",-0.0311085631414129,0.0332353171803521,2,0.699041562931945,"no","",2.34745798302608e-12,"up","BRAF (enriched, 81% vs 29%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 3% vs 16%)","",492
