"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"ARHGAP31",18,3,0.895858493912922,"no",-0.0747691577402757,0.217371017457109,0.0342160565334281,0.0400415885278814,15,2,0.33088428965051,"no","","yes",0.0168539325842697,178
"PCSK7",18,2,0.896634356517714,"no",-0.307469397053797,0.191330041235454,-0.0885334308095209,0.0890939207267911,16,2,0.580014840162176,"no","","yes",0,178
"TBC1D17",20,2,0.899375805176501,"no",0.0528077687584377,0.116864773352314,0.141292640153864,0.0387318518458935,16,2,0.316837394634361,"no","","yes",0.00561797752808989,178
"SIGLEC1",19,2,0.902641150539481,"no",-0.033434244731319,0.08044263523225,0.0831852512104921,0.0192142718308269,17,0,NA,NA,"","yes",0.0224719101123595,178
"ARHGEF11",17,3,0.918338493811121,"no",-0.122719520616213,0.105232726845904,-0.0892343310446885,0.0579664708441293,16,2,0.553208822486531,"no","","yes",0.0112359550561798,178
"ZFHX4",16,4,0.928452377284088,"no",0.0498838631676991,0.100611723032529,0.0526757802823654,0.118996904729468,14,3,0.710032943078326,"no","","yes",0.0337078651685393,178
"MSH6",18,3,0.934503122795808,"no",0.0343555630413314,0.0942919837087456,0.135732777638809,0.0618575393442333,16,2,0.655605222785794,"no","","yes",0.00561797752808989,178
"SETD1B",19,2,0.93749021715453,"no",-0.0553898615618882,0.110587301332549,0.04926093396882,0.0399887760542648,16,2,0.400992745948803,"no","ESCA_LoF,OV_LoF,PAAD_LoF","yes",NA,178
"MEPCE",18,2,0.945645279480003,"no",-0.109186540915619,0.131507750138456,0.0025193050299881,0.0989765489570929,15,2,0.535447450466893,"no","","yes",0,178
"RNF43",18,2,0.947749436347619,"no",-0.337448467044709,0.230517864354427,-0.410908445973768,0.0789149048478485,15,1,NA,NA,"ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF","yes",0.0337078651685393,178
"NOS1",20,2,0.947755424933891,"no",0.0121840271921023,0.14012915758356,0.161443575815538,0.0239424289077775,16,2,0.739297275271008,"no","","yes",0.0337078651685393,178
"KIF19",19,2,0.951471566873142,"no",-0.0216404475681383,0.11318983770625,0.172490250372298,0.0190079185817165,15,2,0.508624306698683,"no","","yes",0.00561797752808989,178
"STK11IP",20,2,0.95383224317715,"no",-0.108915664663089,0.0834808635528951,-0.0750572094673063,0.0487515050083827,16,2,0.541865179262118,"no","","yes",0.00561797752808989,178
"ATP1A2",20,2,0.963353650917385,"no",-0.0681824540965562,0.186849254497323,0.111117818566157,0.0735061010882587,17,1,NA,NA,"","yes",0.00561797752808989,178
"CLOCK",19,2,0.96371041381618,"no",-0.0388354241375658,0.0836752831512306,-0.0618880337637692,0.118380560886637,16,2,0.579921681016294,"no","","yes",0.00561797752808989,178
"TLR1",20,2,0.982630482416925,"no",-0.114526383538442,0.224952477229459,0.0357039668499542,0.0281325621103021,17,1,NA,NA,"","yes",0.00561797752808989,178
"CBWD6",18,2,0.988107874392176,"no",NA,NA,NA,NA,14,2,0.453751337773104,"no","","yes",NA,178
"PRPF4",19,2,0.992805786328898,"no",-0.686649215191753,0.183634559484298,-0.492514505186449,0.0220647462513034,16,2,0.479984934766662,"no","","yes",NA,178
"MED15",17,2,0.995202886023964,"no",-0.120941509950597,0.192771952776298,0.0700629815834996,0.0335524193859114,15,2,0.836183154870261,"no","","yes",0.0112359550561798,178
