"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"LETM2",18,2,0.515247964856334,"no",0.0399431135114086,0.0789672200458876,0.00406951561490491,0.00231618168076878,16,2,0.403384794562579,"no","",0.111668220845989,0.0382513661202186,183
"HUS1",17,2,0.51560868038366,"no",-0.159278612481642,0.17648330957754,-0.130784610948338,0.0570550447072348,14,3,0.53917541994187,"no","",NA,0.0109289617486339,183
"NPEPPS",19,2,0.517567926846047,"no",-0.0348530558939497,0.179190076353726,0.0666152535159134,0.0124326183905116,16,1,NA,NA,"AML_LoF,LUSC_LoF",0.00163947684826531,0.0218579234972678,183
"ITGA3",18,4,0.518336474738679,"no",-0.171891572777096,0.267515680086255,-0.0597758418653171,0.0944484121875474,15,3,0.219080532704293,"no","",0.0342208937727681,0.0218579234972678,183
"TMEM41A",16,3,0.520310773365401,"no",-0.0760546645182485,0.139497500054153,-0.0516150241770229,0.0815478906398625,15,3,0.890378291799213,"no","",0.0236898805990377,0.0163934426229508,183
"SAMD4B",19,3,0.520464369552102,"no",-0.152712233015867,0.254741933019932,-0.138075479435045,0.0400022741403706,16,2,0.366067667394738,"no","",2.09291246172615e-09,0.0819672131147541,183
"PIK3CB",18,2,0.521272304159828,"no",0.086058663375933,0.0594297754863256,-0.0114515896708775,0.0374008023782839,16,2,0.862452611056855,"no","BLCA_Act,GBM_Act,PRAD_Act",NA,0.00546448087431694,183
"ABCC9",16,4,0.524467156491948,"no",0.0385448257050142,0.109012839521445,0.0411355087311093,0.0637402927828677,14,4,0.315812372215031,"no","",0.842747371205622,0.0218579234972678,183
"DLX3",17,4,0.524864518882599,"no",0.0817723863238253,0.0699014063142092,0.00232915281284015,0.0952089789834509,15,3,0.659722228660097,"no","",0.00839691697306782,0.0218579234972678,183
"SI",19,3,0.528100998277898,"no",-0.00205937398468807,0.175775517698827,-0.0322985390857705,0.0861271755072389,16,2,0.511692256851666,"no","",0.787274982953056,0.0218579234972678,183
"C3orf43",18,4,0.529677269411315,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0273224043715847,183
"PMS2",20,2,0.536089622192291,"no",0.00403561922915335,0.12865303971927,0.00864881326030749,0.197681952044912,16,2,0.422744964397352,"no","PRAD_LoF",NA,0.00546448087431694,183
"PMS2CL",20,2,0.536089622192291,"no",0.0275319127324226,0.156590614231069,0.0418371406557177,0.129386011942014,0,0,NA,NA,"",NA,0,183
"ZBTB12",17,2,0.536899896456075,"no",-0.43534872802149,0.235973804994993,-0.452482721459704,0.146931834962641,16,1,NA,NA,"",0.0759704373363921,0.0218579234972678,183
"ALG3",18,2,0.539213449624279,"no",0.00107503737228827,0.127771896940283,0.074647082569861,0.084127559041175,16,2,0.263545474674833,"no","",0.0460889700057493,0.0163934426229508,183
"OR2T10",12,9,0.539283784379863,"no",0.05512963392146,0.103428626364581,0.016475083294017,0.174846870591773,10,7,0.652813876047336,"no","",NA,0.0218579234972678,183
"TSC22D2",18,3,0.542106113891561,"no",-0.00161630105705291,0.157040219810472,-0.00122181908329494,0.0686787911478819,15,3,0.516675661018507,"no","",0.0195394703564283,0.0163934426229508,183
"TLK2",18,2,0.542128372027733,"no",-0.0462117667618162,0.0981122670732761,-0.139880303632963,0.102025578425648,16,2,0.477486208529891,"no","",0.000404576179954198,0.0218579234972678,183
"BMP7",20,2,0.542999296310832,"no",0.012277145385384,0.154946813871339,-0.0208689250603906,0.0247626928534166,17,1,NA,NA,"",0.381398169048645,0.0163934426229508,183
"HOXB1",19,2,0.543320344944605,"no",0.0685043464881234,0.0651315659223375,0.0510700324080645,0.0962739728738424,17,1,NA,NA,"",0.345844065702745,0.0273224043715847,183
"ABCC3",17,3,0.543525879596947,"no",0.0458347482073146,0.114348016223919,0.0481269708440432,0.00369469921656029,15,3,0.527481981136987,"no","",0.0279282675018099,0.0273224043715847,183
"ECHS1",18,2,0.544481749501984,"no",0.0583866075613471,0.0475584196601126,0.0336130520933261,0.0765482496303118,17,1,NA,NA,"",NA,0,183
"KCNA1",18,2,0.544991443548775,"no",0.0449080483036927,0.0857647409462721,0.164879085584521,0.057164417764105,16,2,0.741123098589002,"no","",0.759060575315779,0.0273224043715847,183
"IRF7",19,2,0.549900365813712,"no",0.0693521796249755,0.0697352327931552,-0.0452738817204433,0.0125174706085102,17,1,NA,NA,"",NA,0.00546448087431694,183
"MBTD1",19,2,0.549902268403674,"no",-0.0195846840384261,0.127575422443597,-0.0478601706642777,0.0577256722550773,16,2,0.458229704407113,"no","",0.0022524339052487,0.0218579234972678,183
"TNFRSF11B",18,4,0.550264105605953,"no",-0.0169802818258828,0.0725033318987222,-0.0282849071161218,0.119692317611461,14,4,0.483032813988431,"no","",0.0339604586785687,0.087431693989071,183
"PRPF6",19,2,0.550322590085379,"no",-0.706883858945512,0.261464919994376,-0.657693397188812,0.0867534615290815,17,1,NA,NA,"",0.186358775456065,0.0109289617486339,183
"CLDN16",18,3,0.553513913517841,"no",0.0465882840229762,0.0950417842532787,0.0379816982823436,0.0293244423165358,15,3,0.484050066575211,"no","",0.0142693339608931,0.0163934426229508,183
"NXPH3",18,3,0.554274875747251,"no",-0.0309244496979431,0.0962757954762862,-0.0382432083916317,0.111371613385571,15,3,0.777262418099809,"no","",0.972058268670895,0.0218579234972678,183
"LRFN1",19,3,0.554580739175803,"no",0.0172884614881626,0.104759380792889,0.00342295437085087,0.117656632290298,16,2,0.111256035445392,"no","",0.185730782830608,0.0819672131147541,183
"AGXT2",20,2,0.555103174575377,"no",-0.115657630030605,0.117814169777366,-0.187355770229814,0.052739243467032,17,1,NA,NA,"",NA,0.00546448087431694,183
"GJD3",19,3,0.558885957030166,"no",-0.189834463709815,0.157575583286021,-0.0958801298677334,0.158248389872796,15,3,0.323913309158899,"no","",0.157516410545166,0.0218579234972678,183
"ARHGAP33",20,2,0.560756186762986,"no",0.0306632398763617,0.17640969379649,-0.0565789865224614,0.0861083346766256,17,1,NA,NA,"",0.104132761645202,0.0327868852459016,183
"PRODH2",19,2,0.560939087668247,"no",-0.173671321695698,0.168443499621619,-0.0945562955554992,0.0213352608412398,17,1,NA,NA,"",0.519790793730247,0.0327868852459016,183
