"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"FOXP1",29,0.117902324158081,"no",0.0254763689073231,0.120782672076996,22,0.306699628047519,"no","AN_Act,PRAD_Act","","",467
"NSF",33,0.117945751319998,"no",-0.705260033432163,0.320718555734245,24,7.23184653913605e-17,"yes","","","",467
"IRF2",34,0.118344111191277,"no",0.0143984615592597,0.182960082671538,25,0.999998348999078,"no","","","",467
"ABCC11",33,0.118445619225801,"no",-0.0296299400162172,0.169434439348199,23,0.999997406552232,"no","","","",467
"SMURF1",30,0.118729650172207,"no",-0.0335486472853134,0.156502156170453,23,0.000589573264465157,"no","","","",467
"LRP10",32,0.118782009485027,"no",0.0413430422044793,0.154334430910817,24,0.999445624842422,"no","","","",467
"PKP2",33,0.118820504274733,"no",-0.0844223374776164,0.199856336198625,23,0.170665013808635,"no","","","",467
"NPAS2",32,0.118824612456029,"no",-0.117193338010449,0.305139118597163,22,0.999999999455064,"no","","","",467
"STRAP",34,0.118831919193751,"no",-0.150888150000176,0.15462142215675,26,2.75902459156547e-16,"yes","","","",467
"TXK",35,0.11887736615063,"no",0.0200778253157686,0.272824485778077,25,0.0439050175129287,"no","","","",467
"PRMT8",33,0.119159468056685,"no",-0.104319714302609,0.143747386982923,24,0.999999996091431,"no","","","",467
"DLL3",35,0.119511444001806,"no",-0.00611116315230244,0.213814555928574,26,0.285352761528312,"no","","","",467
"DEPDC1B",35,0.11975981843451,"no",-0.0750035902721059,0.163566783344402,26,0.999999213847894,"no","","","",467
"RBM14-RBM4",34,0.119900896473392,"no",0.0046573727383764,0.225643175670352,0,NA,NA,"","","",467
"NPFFR2",34,0.120406047512586,"no",0.042639496225227,0.201121012767333,25,0.99999332706657,"no","","","",467
"PSTPIP2",35,0.12041681602348,"no",0.0176160367076399,0.185737890627447,26,0.999999953603442,"no","","","",467
"DMXL2",32,0.120789986156075,"no",0.0923797378343351,0.148300565510572,25,0.979488856068777,"no","","","",467
"FNBP1",35,0.121088755942392,"no",0.0242849712684708,0.17745822422713,26,0.0295940253185539,"no","","","",467
"MTMR4",34,0.121316586784456,"no",-0.0939134039816954,0.148612235994182,25,0.00567686358455019,"no","","","",467
