"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"KMT2D",27,8,0.548483630381462,"no",-0.0188158819189272,0.22326345682275,-0.150501449425667,0.368241834200003,20,6,0.763332801486715,"no","ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF","yes",0.124197002141328,467
"OR51B2",33,3,0.548753957466548,"no",0.00213019412184393,0.175465536966903,-0.0726141493631985,0.23808462810825,0,0,NA,NA,"","no",0.0449678800856531,467
"TBX21",33,2,0.548869662521918,"no",-0.0313480128841863,0.193454944853514,0.0291783197344345,0.226810036284933,25,1,NA,NA,"","yes",0.0214132762312634,467
"DDX41",34,2,0.549413215512371,"no",-0.825560524640728,0.322926700141592,-0.796481705224082,0.0459213177903625,25,1,NA,NA,"","yes",0.0171306209850107,467
"SHKBP1",32,3,0.54992177468196,"no",0.0198037316715587,0.268297659724962,0.129905374718302,0.220462244343946,24,2,0.809162684660296,"no","","yes",0.0256959314775161,467
"BCAR3",31,2,0.55135520910565,"no",-0.0733297697255808,0.157718464987399,0.0510279316117624,0.0223420573981324,23,1,NA,NA,"","yes",0.0256959314775161,467
"KALRN",28,6,0.552235458830926,"no",0.121992713480387,0.157294183740288,0.107515475740185,0.196381527719537,21,4,0.153367825197386,"no","","yes",0.126338329764454,467
"GNB5",33,2,0.556620790497143,"no",-0.0540846322259849,0.173139969708018,0.0937980523974684,0.176631071182668,25,1,NA,NA,"","yes",0.0149892933618844,467
"COL28A1",25,4,0.556799555589781,"no",0.0285387235712571,0.110940141549636,0.029136066171174,0.376182326961427,16,3,0.612552440962174,"no","","yes",0.100642398286938,467
"MLLT1",32,3,0.557469050844588,"no",0.0459229614809804,0.243150453690151,0.0190388317372647,0.363281965715542,24,2,0.669221080530841,"no","WT_Act","yes",0.00856531049250535,467
"PTCH1",33,3,0.55773771556016,"no",0.0249370132392167,0.10973673028674,0.0831601860621746,0.109550054369485,24,2,0.561043522297373,"no","ESCA_LoF,MBL_LoF,MESO_LoF,OS_LoF,PIA_LoF,SBCC_LoF","yes",0.0235546038543897,467
"EMILIN2",33,2,0.557847103328808,"no",-0.0728658885399486,0.196415538118465,0.0522383533224813,0.0543121832759807,24,2,0.725505744216615,"no","","yes",0.0492505353319058,467
"NUMA1",32,2,0.558861576269126,"no",-0.124107551650802,0.327251760545794,-0.206670116756481,0.067223455777713,24,1,NA,NA,"BRCA_Act","yes",0.019271948608137,467
"SLC26A3",31,2,0.558901139889202,"no",-0.0281461361549945,0.333362286272557,0.025271245775702,0.0145320595704053,22,1,NA,NA,"","yes",0.0492505353319058,467
