"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ZXDC",12,0.211629928467816,"no",-0.0488901823960703,0.0902089454514042,9,0.998129996761045,"no","","","",434
"CNGA1",14,0.21172261897173,"no",-0.179777574380716,0.217092992951637,9,0.392783139500479,"no","","","",434
"UBE2D2",13,0.211724501573232,"no",-0.00752865146324385,0.147026657854251,8,0.997628897054753,"no","MBL_Act","","",434
"LYNX1",10,0.211880182409368,"no",-0.365708854344636,0.342813712259373,0,NA,NA,"","","",434
"PRRX1",11,0.211890190131068,"no",0.0376580037344022,0.0809326403211812,8,0.771103237187126,"no","ST_Act","","",434
"MTHFD2",12,0.211956729157642,"no",0.0106710689550808,0.189230222978402,9,0.994368613119925,"no","","","",434
"GAK",10,0.212359063448483,"no",-0.616037898941875,0.366746535399222,8,1.40779924751741e-05,"yes","","","",434
"METRNL",10,0.212528877365483,"no",0.010099816305992,0.10192722932696,6,0.270420791148419,"no","","","",434
"AKR1A1",12,0.212834281943096,"no",-0.0844679122787489,0.145464363470556,7,0.60121547217154,"no","","","",434
"HERC1",10,0.212872822774226,"no",-0.0180323632599638,0.0450775549900102,8,0.931084371162658,"no","","","",434
"TARDBP",12,0.212885299324768,"no",-0.358586370984493,0.339088319019391,8,8.93586720283967e-10,"yes","","","",434
"TACR3",15,0.213099569882207,"no",-0.0143200249939744,0.138801996896071,9,0.923205249093138,"no","","","",434
"NCOA1",11,0.213817192330194,"no",-0.0105906741918392,0.0605454966686585,9,0.102345363839546,"no","BRCA_ambiguous","","",434
"SERPINB6",13,0.213909969961542,"no",-0.0422028016549762,0.0277009216640232,9,0.737674923743629,"no","","","TTN (depleted, 7% vs 18%)",434
"AZGP1",13,0.213972335407484,"no",0.0060230151114452,0.181555959857566,9,0.118611494233491,"no","","","",434
"TRIP11",14,0.213983126773094,"no",0.01889981931214,0.12414739403052,8,0.263398357558187,"no","BLCA_Act","","",434
"TYW5",12,0.214050648593982,"no",-0.0728880715355113,0.108028366485442,9,0.741842421004862,"no","","","",434
"PMP2",13,0.214347714971891,"no",-0.146503964762449,0.0668860145908599,8,0.999677126721058,"no","","","",434
"HRH4",12,0.214460303728045,"no",-0.00828100261824608,0.207175494520736,9,0.981451041984151,"no","","","",434
"CCNG1",10,0.214661467476876,"no",-0.0516735733299688,0.115394409356094,7,0.465682986328921,"no","","","",434
"TOPORS",12,0.214798423418055,"no",-0.208594201944695,0.125139941765155,9,0.766434992563855,"no","","","",434
"CNOT6",13,0.214984543222412,"no",-0.0680746195666283,0.0899457360011485,8,0.300275739980141,"no","","","",434
"GNA13",14,0.215152082434227,"no",0.0793087937696852,0.108833820679365,9,0.873441471424977,"no","BLCA_LoF,DLBCL_LoF","","",434
"HOXA3",11,0.215293770042639,"no",-0.142458867235919,0.106145795188287,8,0.0341629176915544,"no","","","",434
"TAOK3",13,0.215669972174252,"no",0.0430957653516261,0.167058233223532,9,0.211834713188027,"no","","","",434
"TPM1",14,0.215744387726418,"no",0.0504725120115675,0.136074773190597,9,0.106136576356469,"no","","","",434
"RPP40",11,0.21627773379547,"no",-0.704215970287739,0.321376600430259,8,2.0628049944808e-11,"yes","","","",434
"URI1",9,0.216328096085738,"no",-0.432505090891117,0.263764502008779,7,1.92544786726539e-08,"yes","","","",434
"CENPE",13,0.216733988724334,"no",-0.314993083215305,0.243479889905382,8,9.44323976725632e-07,"yes","","","",434
"BTN3A1",14,0.216739327161941,"no",0.135513989868523,0.235876834541448,9,0.999999125040433,"no","","","",434
"BTN3A2",14,0.216739327161941,"no",-0.0116389775730483,0.221578403180569,9,0.99991279912202,"no","","","",434
"RANBP6",14,0.21681228525828,"no",-0.05040340332605,0.161441499521245,9,0.900187627267489,"no","","","",434
"RBBP4",12,0.216952930847857,"no",-0.266881803137518,0.517058913368371,8,2.66120247933237e-08,"yes","","","",434
"EPB41L5",14,0.217040313794475,"no",-0.0363270927028157,0.227894504445247,8,0.824137415158656,"no","","","",434
"CYSLTR2",14,0.217040713315743,"no",-0.106420362931156,0.111646167617958,9,0.999998760436224,"no","UVM_Act","","",434
"ZNF384",10,0.217647126215559,"no",0.0323499558954009,0.113924110812994,6,0.130946060507445,"no","","","",434
"DRAM2",12,0.217723713439136,"no",-0.0965926982370111,0.128908695611091,9,0.00860105923649887,"no","","","",434
"PHC2",12,0.2178269186395,"no",0.021147185877198,0.228090003695762,8,0.126653082272321,"no","","","",434
"CPS1",12,0.217903154542419,"no",-0.0778804591906611,0.182783116000753,7,0.659041981728445,"no","","","",434
"ADCY3",15,0.217931949106033,"no",0.033971628796982,0.20395687592663,9,8.95367313410334e-05,"yes","","","",434
"ORM2",14,0.217956572291618,"no",0.0152925358117156,0.253600883399556,9,0.942822871086141,"no","","","",434
"ANGEL1",14,0.218330787177987,"no",-0.11922933841974,0.201232566677733,9,0.598581866711277,"no","","","",434
"WDR49",7,0.218357047792422,"no",-0.0728752031361087,0.218070765668036,0,NA,NA,"","","",434
"TRIM66",11,0.21860534746649,"no",-0.310085911622012,0.237295215157661,0,NA,NA,"","","",434
"NID1",14,0.218642555678783,"no",-0.02712543418521,0.283655538946544,8,0.629461651214044,"no","","","",434
"RBMS3",14,0.218867745889093,"no",-0.0241574363843387,0.185720017116902,8,0.999664620047925,"no","","","",434
"CD33",13,0.218979948235915,"no",0.00530058660622215,0.163986913402145,9,0.999749371256551,"no","","","",434
"PDZK1IP1",13,0.21932448815244,"no",0.120863777498965,0.153555850505036,7,0.000989122711691032,"no","","","",434
"LHFP",15,0.219668751105953,"no",NA,NA,0,NA,NA,"",NA,NA,434
"ATG4D",15,0.21967595544731,"no",-0.119471174735569,0.203060984657886,9,0.00179044568264473,"no","","","BRCA1 (depleted, 1% vs 9%)",434
"TTC9",15,0.219714355057994,"no",-0.0431569402122538,0.208278909944073,9,0.999192178260512,"no","","","",434
"NRN1",12,0.219798322701007,"no",-0.0191457532677389,0.128394701785152,9,0.0546824704610462,"no","","","",434
"MAPK8",15,0.219921724343888,"no",-0.0051943615846853,0.214176663210654,9,0.999999999997049,"no","","","",434
"SAP30L",12,0.220246940726688,"no",-0.0706738977598653,0.229215107011963,9,0.988891838284328,"no","","","",434
"S1PR4",14,0.220311658467935,"no",0.054827167363745,0.278347704721243,9,0.0103025331502669,"no","","","",434
"PRDM15",12,0.220365706243926,"no",0.0268891129806789,0.199955135568788,9,0.736579496112872,"no","","","",434
"CSNK1G3",13,0.22041429244963,"no",0.0186175972999628,0.130313102903496,8,0.999998884308705,"no","","","",434
