"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MECR",14,0.0382179674670536,"no",-0.098455095400968,0.145899160674224,9,0.914713578331951,"no","","","",434
"SOX2",9,0.0384562928825606,"no",0.0817169043883897,0.0752462628385396,6,0.207063633097204,"no","","","",434
"LY9",12,0.0387078281988149,"no",0.0239003179300835,0.134851633600058,6,0.283535152960782,"no","","","",434
"BTN1A1",13,0.0387158645796007,"no",-0.0225916156407666,0.11207224238651,9,0.242258381978983,"no","","","",434
"ANGPTL4",11,0.0388029873562665,"no",0.0439050974561398,0.109568040442665,9,0.0265035594989051,"no","","","",434
"ADRA2C",13,0.0390132032966667,"no",-0.0514486350373348,0.150662578159838,8,0.00115279684310499,"no","","","",434
"KIAA0247",13,0.0391051837399684,"no",NA,NA,0,NA,NA,"",NA,NA,434
"MMP8",11,0.0391827527835222,"no",-0.041523402416983,0.229345075623996,8,1.0581232523732e-05,"yes","","","",434
"TBC1D8",13,0.0393882850787979,"no",-0.00093928405446081,0.104276426168474,8,0.917131697850497,"no","","","",434
"HOXD13",11,0.0395178893214909,"no",0.105686662923021,0.120569816381501,7,0.980612684908408,"no","BRCA_LoF,ESCA_LoF","","",434
"DOCK10",10,0.0395399746501867,"no",0.0119470902159185,0.156262010492969,8,0.141860332925299,"no","","","",434
"OXTR",14,0.0395868699905672,"no",-0.0235813438082959,0.189507329695947,9,2.87770165807721e-07,"yes","","","",434
"SLC12A7",11,0.0398956781552018,"no",0.027466082344715,0.117975924498539,8,0.00298986885907826,"no","","","",434
"ITGAX",14,0.0401316320371675,"no",-0.0397654897581998,0.169950955155073,9,0.000804526554426754,"no","","","",434
"OR13G1",12,0.0402513912340178,"no",0.133083869362774,0.0733279569097142,8,0.000117066897252882,"yes","","","",434
"HSD17B7",12,0.0404439707007733,"no",-0.0312479718872212,0.153526419953439,7,3.79687243785565e-05,"yes","","","",434
"BOLL",14,0.0404647042406544,"no",0.00177865417339648,0.130860334871019,9,0.0150857196395183,"no","","","",434
"RHOQ",14,0.0405546213470133,"no",-0.00183150941159209,0.100057594255965,9,0.999999755118711,"no","","","",434
"NME6",15,0.0408124919372735,"no",0.0251514530180847,0.217993955972938,9,0.996625431503886,"no","","","",434
"POLM",13,0.0408686943186144,"no",0.0239862329326328,0.154824100342479,8,0.761789974929346,"no","","","",434
"PARP11",9,0.0409616915222668,"no",0.253680217639606,0.272038445050846,6,0.640722347495496,"no","","","",434
"DIRAS1",14,0.041100573124099,"no",-0.105687689741569,0.168608014559561,9,0.321456508807127,"no","","","",434
"NPAS2",11,0.0412117313766114,"no",0.120709000307142,0.165900711533447,8,3.11663448915311e-06,"yes","","","",434
"ITGB6",11,0.0413037679017116,"no",0.0109601312757835,0.166854828163379,8,0.629383040745892,"no","","","",434
"ASPN",14,0.0413657362834451,"no",0.00261925638585147,0.16860466064,0,NA,NA,"","","",434
"RIPK4",13,0.0414459296326792,"no",0.0649251554438198,0.128621394597188,8,0.168428250966782,"no","","","",434
"RAD51D",14,0.0415026554906249,"no",-0.137960806849568,0.264063304842558,9,0.999999998109763,"no","","","TTN (depleted, 7% vs 18%)",434
"FOXJ3",10,0.0415814174876654,"no",0.0508407818749647,0.224946961115032,7,0.310529307242809,"no","","","",434
"ACACB",12,0.0416270397457486,"no",-0.0260289623322322,0.115440798828236,7,0.53809990834463,"no","","","",434
"KCNT1",13,0.0418276069241071,"no",0.058104778210221,0.128790515613556,9,0.775552075402193,"no","","","",434
"GNG2",15,0.0419182817922276,"no",-0.0257012588439534,0.101232402307423,9,0.887495817684115,"no","","","",434
"TPT1",12,0.0421234317080375,"no",-0.205327956264883,0.169816596148548,9,0.99999999189891,"no","","","",434
"RBP1",10,0.0421240672445621,"no",-0.0962261850352844,0.133621460839653,7,0.113420713524148,"no","","","",434
"AHR",12,0.0421557786762216,"no",-0.0620599866030796,0.179961261293052,9,0.0220774790586606,"no","","","",434
"RASL11A",14,0.0425339432302244,"no",0.151027241639061,0.0592491345278165,8,0.559931043492193,"no","","","BRCA1 (enriched, 9% vs 1%)",434
"PRDM7",10,0.0427451474151328,"no",0.0467941796743866,0.245459684433259,9,0.288951499454958,"no","","","",434
"ASGR2",14,0.0427853358391154,"no",-0.118860959701886,0.224900954178111,9,0.00778237706290252,"no","","","",434
"IKZF2",10,0.0428199060924124,"no",-0.0107114912785109,0.0433575414615601,8,9.97383193812595e-08,"yes","","","",434
"DHRS12",14,0.0429133445986427,"no",0.126358320158118,0.155677301181984,9,0.00911127761801778,"no","","","",434
"PDE5A",13,0.0430821946100745,"no",-0.06109094134521,0.174517335459292,9,0.0137865652187885,"no","","","",434
"FKBP5",14,0.0432607702636604,"no",0.0115203009403275,0.158328519220201,9,0.00887913777925731,"no","","","",434
"POMT1",15,0.0436399837892419,"no",-0.13194295709516,0.120777271845553,9,0.922529630448907,"no","","","",434
