"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"PRKD2",23,3,0.689307048653775,"no",-0.204985772095971,0.378137062743167,-0.003895780300355,0.407898109833285,15,2,0.3327848459835,"no","MM_ambiguous","yes",0.0123456790123457,567
"ILF3",26,2,0.689315658252379,"no",-0.533408411657959,0.241176846959756,-0.677722896771052,0.139258784337911,17,2,0.475924400270391,"no","","yes",0.00881834215167548,567
"ANKRD27",24,2,0.690798219174826,"no",-0.0175074272818051,0.155218544050516,-0.0705259182272496,0.0721357759543764,15,2,0.608689214524843,"no","","yes",0.0158730158730159,567
"ANK1",21,6,0.690902275954487,"no",-0.0120622788596809,0.099432766592449,-0.0265428288113475,0.0731082897973352,15,3,0.607106495903172,"no","","yes",0.0599647266313933,567
"GPR116",24,2,0.692215742131212,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,567
"BIRC6",20,7,0.692696796005558,"no",-0.15323692158194,0.210500877255981,-0.103011544909351,0.0280837846097875,14,5,0.794608514098368,"no","BLCA_ambiguous,CH_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,HNSC_ambiguous,MGCT_ambiguous,NHLY_ambiguous,PAAD_ambiguous,PCPG_ambiguous,UCEC_ambiguous","yes",0.0758377425044092,567
"NEK1",23,2,0.693011770133118,"no",-0.150937025959414,0.18254629440405,-0.279347667220736,0.165998232496403,16,2,0.698886407955674,"no","","yes",0.0158730158730159,567
"UPF2",22,2,0.694034137146394,"no",-0.173834402494891,0.201901422257772,-0.329045005969049,0.209925571397108,14,1,NA,NA,"","yes",0.0105820105820106,567
"PKHD1L1",18,9,0.696254086775058,"no",-0.0105631443391896,0.106347166909796,-0.00659674867601877,0.0647260677920871,12,6,0.409364374047892,"no","","yes",0.107583774250441,567
"BTBD8",24,2,0.698055855388577,"no",0.0503565650235969,0.143158542194608,0.0942426100208175,0.0334204018616235,16,1,NA,NA,"","yes",0.00352733686067019,567
"SIGLEC12",24,3,0.699244442241908,"no",-0.007976573810176,0.155732017582606,0.0582571908580575,0.107477496328892,17,1,NA,NA,"","yes",0.037037037037037,567
"ATRNL1",25,3,0.701752647061505,"no",-0.0215533229648684,0.201834080262855,-0.0945873857734114,0.506831282561744,17,2,0.433662866918958,"no","","yes",0.0687830687830688,567
"COL6A3",20,8,0.702128131185818,"no",-0.13002687005834,0.319411879229985,-0.100614804384531,0.107578020654366,13,6,0.774528801299544,"no","","yes",0.112874779541446,567
"ITGA5",25,2,0.703748423146501,"no",-0.00981584380465509,0.163784438939247,0.0223436511127955,0.130262433515357,17,1,NA,NA,"","yes",0.00881834215167548,567
"RASGRF2",26,2,0.70618891893755,"no",-0.0690701615491403,0.131601499058393,-0.0834058762296746,0.122694735765454,18,1,NA,NA,"","yes",0.0282186948853616,567
"PBX1",25,2,0.707407189368051,"no",-0.0390586757627524,0.130018360213736,-0.228677208299172,0.269057682586947,16,2,0.311200474659675,"no","","yes",0.0158730158730159,567
"KLRG2",24,2,0.709902247541007,"no",-0.00226148608547985,0.134381822285296,0.0723875362904506,0.0504778200311044,16,1,NA,NA,"","yes",0,567
"SEMA6B",26,2,0.710166946962074,"no",-0.123766122473636,0.170827159104126,-0.0636672990505495,0.402862308549796,18,1,NA,NA,"","yes",0.0194003527336861,567
"PDX1",24,2,0.710191731502906,"no",0.0210192760925408,0.105304044034722,0.0782073176129284,0.0361581934126606,16,2,0.430639152219641,"no","","yes",0,567
"COL7A1",24,3,0.71064654569902,"no",0.0527832643443781,0.123067859282967,0.100106633156969,0.0693401162476207,16,2,0.326583399458323,"no","","yes",0.0582010582010582,567
"WDR87",23,3,0.711160122519914,"no",0.0371829443000449,0.129137791588346,-0.00393695827366642,0.0861125796540556,14,3,0.296743441309209,"no","","yes",0.00352733686067019,567
"ZFPM2",21,3,0.711529113337137,"no",-0.028134635578082,0.169345471088818,-0.0830010982480297,0.0617529735538585,13,2,0.660544993850134,"no","","yes",0.0864197530864197,567
"CYP11B2",24,3,0.711694680217291,"no",-0.00082572738125185,0.146824460159005,-0.00643064279465929,0.109204632987925,16,3,0.59899950878236,"no","","no",0.0405643738977072,567
"SUFU",26,2,0.712039301907444,"no",-0.0545102907086612,0.114320149963358,0.0871591150394176,0.150474835493779,18,1,NA,NA,"","yes",0.0017636684303351,567
"OLFML2B",23,3,0.712067908640013,"no",0.0108645272756812,0.169431498425185,-0.153801615034212,0.0430601669932532,16,1,NA,NA,"","yes",0.0335097001763668,567
"CHRM3",25,2,0.712874190135834,"no",0.0842023644220503,0.164440994147957,0.125809935534727,0.0457397915002841,16,2,0.627088985371615,"no","","yes",0.0405643738977072,567
"SSH2",23,3,0.713382771006808,"no",-0.011266538979393,0.195782160488285,0.00485708382165799,0.220177833888137,16,1,NA,NA,"","yes",0.0123456790123457,567
"MLLT4",25,2,0.71391999290784,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.017636684303351,567
"CORO7",25,2,0.714135492236373,"no",-0.0868138106261662,0.183680473453126,-0.0394381478002291,0.0441540081183007,17,1,NA,NA,"","yes",0.00705467372134039,567
"OR2G3",25,2,0.714438116044579,"no",-0.146217208697241,0.159540853931685,-0.156433666182454,0.224333379689057,17,1,NA,NA,"","no",0.037037037037037,567
"FGFR2",26,2,0.714457748711655,"no",0.0623569795604567,0.0405441052534615,0.0476227394410041,0.0117983192427659,18,1,NA,NA,"BRCA_Act,CH_Act,LUSC_Act,SG_Act,UCEC_Act","yes",0.017636684303351,567
"GLI2",24,4,0.715393124463569,"no",0.00630891040976903,0.105975934575335,-0.0754345810017814,0.130084526649783,15,4,0.203279159096956,"no","","yes",0.0458553791887125,567
"LRIT2",23,4,0.715837977157768,"no",0.0572944306520823,0.16958310974566,0.0380143312217956,0.0664583032894505,15,4,0.812760963678555,"no","","no",0.0282186948853616,567
"GRID2",25,3,0.715927616807695,"no",0.0573568834019588,0.135352209951396,0.0792129007289805,0.178991479575415,17,2,0.840714909774194,"no","","no",0.0758377425044092,567
"EPHA5",23,4,0.716051786820568,"no",0.146920348683226,0.100010907879253,0.316206796532501,0.317520118345144,14,4,0.486553975196697,"no","","yes",0.0864197530864197,567
"COL4A3",25,2,0.716363256942438,"no",-0.20290786507088,0.167143682597138,-0.272046301418947,0.00926581406804694,18,0,NA,NA,"","yes",0.0229276895943563,567
"OR13G1",24,2,0.717103108843774,"no",0.0774946472214436,0.101704049976479,0.259715053816448,0.209774435530164,15,2,0.381542783332435,"no","","no",0.037037037037037,567
"DPYD",22,3,0.71848371439405,"no",0.0111228506916564,0.11239452715212,0.0124219380836461,0.0893771278124453,15,2,0.681705208267089,"no","","yes",0.0317460317460317,567
