"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"CFL1",25,3,0.341606503994347,"no",-0.110716234489971,0.303826113480013,-0.136774529037575,0.089580371454841,16,3,0.649539774899574,"no","",NA,0.00195694716242661,511
"CFLAR",26,2,0.341774425622589,"no",-0.065738632506455,0.148544780404913,-0.119271125828679,0.105367003165,17,2,0.447376577351192,"no","",0.511871622997118,0.00587084148727984,511
"CDK5",25,2,0.342033685742962,"no",0.0464759325930665,0.197349710418816,0.0235270566335359,0.0945457050967221,17,2,0.332656923144555,"no","",0.0160802362942859,0.0176125244618395,511
"PARP6",26,2,0.342112188720013,"no",0.0575810154582502,0.185023828827162,0.0620872002551403,0.00738682662798715,17,2,0.379766283142295,"no","",0.922001204270993,0.00587084148727984,511
"TERF2",24,4,0.342828326270647,"no",-0.0578277532727928,0.18222549415099,0.0025548024962296,0.124507765881942,15,4,0.493701892706384,"no","",NA,0.00195694716242661,511
"PYGO2",23,4,0.343391208879677,"no",-0.160598856713956,0.322718549511363,-0.140798772736966,0.0361217945468147,15,4,0.587706770026268,"no","",6.66470634075165e-12,0.0998043052837573,511
"MFAP4",25,3,0.344280471909498,"no",-0.0105926906619028,0.108016567801411,-0.010645102266424,0.0562342488517326,17,2,0.323606166092224,"no","",0.496070289535011,0.0117416829745597,511
"FLRT2",20,5,0.346325296415856,"no",-0.00709160804603078,0.232759876188296,0.0729036719176983,0.21335057377147,12,4,0.202218007451679,"no","",0.0839505971943888,0.00587084148727984,511
"FUK",25,2,0.346576140376525,"no",-0.00274452389474834,0.166906375993194,-0.0523024714800615,0.0597203004790875,16,2,0.268379487220669,"no","",NA,0.00195694716242661,511
"ASB4",24,4,0.347084905071434,"no",-0.139958690898663,0.109867630495378,-0.147838117771657,0.194590250323179,15,4,0.263596994511053,"no","",0.593381855969995,0.0176125244618395,511
