"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"LRIT2",10,0.787451615967549,"no",0.136665023987675,0.19903084118159,9,0.00490467075417733,"no","",1.87018781746519e-07,"up","","",492
"PGAM1",10,0.787629930555808,"no",-0.203905455741309,0.113445724278299,9,0.999999968504807,"no","",1.34272898104334e-26,"up","","",492
"ANXA6",10,0.787782704141553,"no",-0.0304242645978966,0.0754724259372383,9,0.123255962787449,"no","",5.43276296108393e-23,"down","","",492
"STRAP",8,0.787823215330097,"no",-0.152097157815078,0.303109301219785,7,0.999999748900059,"no","",1.66040379254546e-26,"up","NFE2L2 (enriched, 21% vs 6%)","",492
"NOX4",9,0.787917340452171,"no",0.0778137972789844,0.0630714762846783,8,0.0806208269112804,"no","",1.63550325766606e-10,"up","","",492
"XRCC5",10,0.788062627189124,"no",-0.628951852880639,0.218585923743083,9,0.999999978372768,"no","",1.93099975364698e-16,"up","","",492
"SHC4",9,0.788104941546088,"no",-0.0341771042293745,0.0754284885146412,8,0.698561572181436,"no","",0.109069423195382,"up","","",492
"STAT3",10,0.788189795671007,"no",-0.154760174310806,0.0527812942592592,9,0.0256531056689504,"no","DLBCL_ambiguous,NHLY_ambiguous",6.60242290952146e-11,"down","","TP53 (enriched, 38% vs 22%)",492
"CCNJL",10,0.788189795671007,"no",-0.0867672483602882,0.123474649238567,9,0.585848971991986,"no","",5.62464832806693e-18,"down","","ARID1A (depleted, 1% vs 7%), CDKN2A (depleted, 4% vs 14%), RASA1 (enriched, 8% vs 1%)",492
"LGALS13",10,0.788977273324177,"no",0.0653570538703126,0.153710785088311,9,0.133039147515649,"no","",NA,NA,"MAGEC3 (enriched, 31% vs 3%), MXRA5 (enriched, 38% vs 5%), OR2T11 (enriched, 31% vs 3%), OR4K5 (enriched, 31% vs 3%), POTEG (enriched, 31% vs 4%)","",492
"LGALS8",10,0.788977273324177,"no",0.0522979821151364,0.189089232595116,9,0.0607348100333239,"no","",0.16569551906819,"up","","",492
"TSNARE1",8,0.789014830573067,"no",0.073258614132429,0.0570410676762935,7,0.431608534213756,"no","",9.57201901200491e-07,"up","","",492
"HES3",10,0.789484438952035,"no",-0.0828250818823359,0.145183397926969,9,0.778507863929901,"no","",0.84309589271993,"up","NUP210L (enriched, 20% vs 4%)","",492
"ERMAP",10,0.789712436969684,"no",-0.0731093321328249,0.0560509225117779,9,0.311431885002346,"no","",0.00116401569416697,"down","","",492
"PIPOX",10,0.789712436969684,"no",-0.12805308149377,0.0934355934928882,9,0.588372419775106,"no","",0.108447563890909,"up","","",492
"PKP2",7,0.789840068299465,"no",-0.108562624354909,0.176988924732659,6,0.634360359602635,"no","",4.31638634261748e-17,"up","","",492
"PSMA8",9,0.789869134079327,"no",-0.102046204280019,0.145618978345303,8,0.0135611315130294,"no","",0.296524235206683,"up","","",492
"SDSL",10,0.789990910172941,"no",-0.222171445156382,0.297689424094818,9,0.81134656075775,"no","",0.000301287377818241,"down","","",492
"DHX35",10,0.790041519079905,"no",-0.00279172562829052,0.183809783341789,9,0.94590551303283,"no","",2.38625169987855e-20,"up","","",492
"DCAF4",10,0.790092121036311,"no",0.0318686136015861,0.18284117257617,9,0.999114481328624,"no","",7.03626731056548e-21,"up","","",492
"HDGFRP3",10,0.790319743811278,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"ADCK4",10,0.790319743811278,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"RAB26",10,0.790521956954252,"no",0.04691323545146,0.118120572932705,9,0.998476264915807,"no","",5.92715161445697e-22,"up","","",492
"NEK11",10,0.790572492851176,"no",-0.138752989113786,0.208164091948291,9,0.00296914053359176,"no","",5.11314436177421e-05,"down","","",492
"PUF60",7,0.790864882446589,"no",-0.919768457847303,0.179122253534617,6,0.999999999964788,"no","",4.91885877999252e-26,"up","","",492
"SRMS",9,0.790987446952142,"no",-0.0974962373785481,0.044083020366101,8,0.0198655908573172,"no","",3.55091389913188e-06,"up","","",492
"KLHL21",10,0.791052236824868,"no",-0.0248782299223518,0.156082252274514,9,0.0996356744065507,"no","",8.91436870714265e-17,"up","","",492
"RHOA",7,0.791255977857689,"no",0.0175769850618094,0.264903666830086,6,0.999797193277906,"no","BLCA_Act,BLY_Act,DLBCL_Act,HNSC_Act,LY_Act,NHLY_Act,PRAD_Act,ST_Act",2.89679547577901e-28,"down","","",492
"BTN3A3",9,0.791332903683051,"no",0.0162745376594901,0.14194810690802,8,0.0126404838481432,"no","",5.81966728249703e-22,"down","","",492
"WDR17",10,0.791430538251866,"no",0.0764407308039637,0.127638636227946,9,0.0570832203546251,"no","",6.05632411331756e-18,"down","","",492
"CHFR",10,0.791455744416653,"no",-0.00943492780964726,0.19733462834776,9,0.0374015864960295,"no","",0.000667309519977631,"up","","",492
"HSD17B3",10,0.791531352460527,"no",0.0295280506661626,0.070889543913099,9,0.954533190864567,"no","",7.10531170155938e-10,"up","","",492
"CPM",10,0.791531352460527,"no",-0.0654187185845131,0.103432098185825,9,0.278260491296887,"no","",1.82764154418156e-28,"down","","",492
"ABCG2",10,0.79193433054304,"no",-0.25147018387115,0.0828558560335567,9,0.000800587901454319,"no","",5.40868187312107e-22,"down","NFE2L2 (enriched, 21% vs 6%)","",492
"POLD3",10,0.791959501860243,"no",-0.110717335458069,0.246258465593081,9,0.999999999999971,"no","",5.68066240219339e-07,"up","","RB1 (enriched, 10% vs 2%)",492
"CDC42BPA",9,0.792181871862453,"no",-0.306551541854057,0.257783711837618,8,0.00187018369439063,"no","",9.08292204452897e-11,"down","","",492
"MBD3L2",10,0.792236271287437,"no",0.0557314309666018,0.164444288766124,9,0.998643587176115,"no","",NA,NA,"","",492
"MBD3L3",10,0.792236271287437,"no",NA,NA,0,NA,NA,"",0.813246559881644,"up","","",492
"MBD3L4",10,0.792236271287437,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"MBD3L5",10,0.792236271287437,"no",0.313134145241469,0.219561603690928,0,NA,NA,"",NA,NA,"","",492
"SSTR3",10,0.792236271287437,"no",-0.0577716091912334,0.104059562923617,9,0.818304240527501,"no","",0.0135050871147187,"up","","",492
"GAN",9,0.792314344839139,"no",-0.00644143317709429,0.0929577038972266,8,0.487408653459504,"no","",6.26345397678835e-24,"up","","",492
"TNF",8,0.792398570798394,"no",-0.138441631789837,0.14298259283728,7,0.931788791420752,"no","",6.86758701588273e-05,"down","","",492
"DCLK3",9,0.792711474414889,"no",-0.303773283722826,0.185751097918163,8,0.787237919056593,"no","",0.0173198069805007,"up","","",492
"NAA30",10,0.792864507806368,"no",-0.196901421728341,0.169615570680176,9,0.999899512199906,"no","",3.85389415619196e-07,"up","","",492
"WDR41",10,0.792964924429205,"no",0.009636960382691,0.101820575183273,9,0.000115897434951329,"yes","",0.253951571175136,"up","","",492
"HIRA",9,0.793319562927028,"no",-0.139748283267527,0.198590404534583,8,0.999999930061254,"no","",1.96611041751441e-10,"up","","",492
"PRKAA2",10,0.793341237930968,"no",0.0842573181913175,0.126729103318357,9,0.955432600885479,"no","",0.0044253573887273,"up","KEAP1 (enriched, 15% vs 4%)","",492
"NFYB",10,0.793541777756946,"no",-0.420381111209366,0.268859028278595,9,0.999999968262427,"no","",0.0397386628184343,"down","","",492
