"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"GLDN",8,2,0.499949462704342,"no",0.0133451384547195,0.117032389344352,-0.112334250431813,0.322547453959307,7,2,0.514839077257573,"no","",0.268623129322997,0.00616016427104723,487
"CYP11B2",8,2,0.501634034459756,"no",-0.0545833327377862,0.0829854405718101,-0.226360600873283,0.038519529472848,7,2,0.399501905713468,"no","",0.492065437978698,0.0451745379876797,487
"CHD1L",7,3,0.502651774015289,"no",0.0832681020451415,0.0931361395064337,0.0347521583591377,0.0415461794483342,6,3,0.13568555348894,"no","",3.08197478628273e-08,0.0513347022587269,487
"CUX1",8,2,0.504076601105788,"no",0.0606287234040574,0.214975504248946,-0.0103755824242455,0.114845398484445,7,2,0.311341320373449,"no","BRCA_ambiguous,CM_ambiguous,GBM_ambiguous,LUAD_ambiguous,NSCLC_ambiguous,THCA_ambiguous,UCEC_ambiguous",0.00203250907744938,0.0308008213552361,487
"C4B",8,2,0.511891271049158,"no",-0.160906424613374,0.25553350984152,-0.304025409408286,0.102733267404029,0,0,NA,NA,"",0.937925287201086,0.00410677618069815,487
"C4A",8,2,0.511891271049158,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.832754813803273,0.00410677618069815,487
"LOC100293534",8,2,0.511891271049158,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"LANCL2",7,2,0.512956947989373,"no",-0.19634968747009,0.159684628178559,-0.220623146051689,0.197424914507366,6,2,0.507842369073572,"no","",1.84267363409772e-15,0.0616016427104723,487
"PRDM9",6,3,0.523068637530346,"no",0.0028260767344098,0.111484355367276,0.0480714043717056,0.0536078826680585,5,3,0.535192737459772,"no","",0.0384592217500522,0.100616016427105,487
"BTNL2",8,2,0.526259568661629,"no",-0.0490052256309016,0.294638303144263,0.0584431855048071,0.0764471463580029,0,0,NA,NA,"",0.21315960033085,0.00410677618069815,487
"SLC6A3",8,2,0.526276376305101,"no",-0.252054733998841,0.306263066195123,-0.230558498626138,0.0425286548794995,7,2,0.693053113885906,"no","",0.801336005419351,0.143737166324435,487
"RALGAPA1",7,3,0.530560812871281,"no",0.0973894751407395,0.0996900994307512,0.0226547546541005,0.150727241864651,6,3,0.461794771789437,"no","",0.000196512579674209,0.0205338809034908,487
"CREBL2",8,2,0.533649783433413,"no",-0.053919765953702,0.173841079892617,0.0179699583457409,0.0395529042915385,7,2,0.21065249974878,"no","",0.0976075180151633,0.0102669404517454,487
"ATF6B",8,2,0.533683349748279,"no",0.0915159933174114,0.128018071971994,0.091448654629588,0.027217390031618,7,2,0.444094595808589,"no","",0.813029592152748,0.00410677618069815,487
