"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"GRB2",4,0.121098206297027,"no",-0.122866591045562,0.161343121700092,4,2.11766237826481e-05,"yes","","","",82
"GPAA1",4,0.121327028180667,"no",-0.338085137328944,0.284796265726264,4,0.183539450768867,"no","","","",82
"ADIPOR1",5,0.121416340496799,"no",0.0689195942502479,0.133674610261946,5,0.74840368652481,"no","","","",82
"ORC5",5,0.121441780264549,"no",0.0564217839690473,0.19763535604412,5,0.00171528723456679,"no","","","",82
"RAB3B",5,0.121619956716266,"no",-0.0848981391581663,0.314502585767952,5,0.695483629854713,"no","","","",82
"WHSC1L1",5,0.121900295108838,"no",NA,NA,0,NA,NA,"",NA,NA,82
"SERPINA4",5,0.121951311275532,"no",-0.0274953708690796,0.15838941401648,5,0.457115585272715,"no","","","",82
"MDH1",5,0.121976824615203,"no",0.0246409477477998,0.230575764785781,5,0.997768174949718,"no","","","",82
"TOPORS",5,0.122206602376577,"no",-0.261352598883388,0.04886945700552,5,0.57535708292125,"no","","","",82
"STAT5B",5,0.122283258051739,"no",-0.00340195934383936,0.119967371288504,5,0.0351727874773412,"no","OV_ambiguous","","",82
"RRAGC",5,0.122359945274541,"no",-0.121743083125261,0.223111578481267,5,0.00341234578760587,"no","NHLY_Act","","",82
"CEACAM16",5,0.122359945274541,"no",0.214940639068511,0.083713923367538,5,0.0933734632608313,"no","","","",82
"PA2G4",5,0.122359945274541,"no",0.13921636176816,0.154185140245939,5,0.00390771207007114,"no","","","",82
"ADCY7",5,0.122590196250387,"no",-0.00991875703333791,0.232091229119569,5,0.999205823069666,"no","","","",82
"COL4A3",4,0.122763436998139,"no",-0.163122211638311,0.173909202502793,4,0.720423296266416,"no","","","BAP1 (enriched, 36% vs 10%)",82
"NTM",4,0.122965397321258,"no",0.0740979880989676,0.080252975986376,4,0.960178140777674,"no","","TTN (depleted, 3% vs 25%)","",82
"KMT2D",5,0.123051550278289,"no",-0.0828762393342185,0.0871550480823008,5,0.000851789959584642,"no","ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF",NA,NA,82
"SSTR5",5,0.123642712125919,"no",-0.0462544474676395,0.0270775639359087,5,0.961290497927728,"no","","","",82
"RBMS1",5,0.123874541633781,"no",0.0385075097453211,0.175482576488108,5,0.203933698532862,"no","","","",82
"MMP7",4,0.124181611979719,"no",-0.0484839174094022,0.0826730065535967,4,0.414385759010022,"no","","","",82
"PSAT1",5,0.124261555993538,"no",-0.265377258896248,0.108802380481211,5,0.00459602916909962,"no","","","",82
"NEURL2",5,0.124287385037907,"no",0.0151979191350419,0.0432902541145521,5,0.966844683915806,"no","","","",82
"TJP1",5,0.124752908340269,"no",-0.0627199205920751,0.0608127146856226,5,0.221052644625267,"no","","","",82
"PTGER2",5,0.124830606193302,"no",-0.111857196891338,0.0793365717336014,5,0.580644389483544,"no","","","",82
"CREB3L4",5,0.125063889453151,"no",-0.0507332802334086,0.0534066133320766,5,0.571383279985888,"no","","","",82
"ARHGAP22",5,0.12534939992517,"no",0.123013060375211,0.0910101336704818,5,0.995381558494833,"no","","","",82
"ROCK1",5,0.125453327337777,"no",0.0632114257648755,0.206550669468425,5,0.137399254889568,"no","","","",82
"GPR151",5,0.125791479808373,"no",-0.236084280912941,0.140812054178706,5,0.209911009598612,"no","","","",82
"KCNH7",5,0.126626386549512,"no",-0.112750652095704,0.116960325423564,5,0.999970163214984,"no","","","NF2 (depleted, 10% vs 40%)",82
"EMP1",5,0.126888033500138,"no",0.0974366081642924,0.267085530758503,5,0.999037132191075,"no","","","",82
"CADM2",4,0.127078613551963,"no",-0.070148284253775,0.144955969507945,4,0.829282973693243,"no","","","",82
"NFE2L2",5,0.127543690259143,"no",-0.059601889565573,0.283020634099595,5,0.0198685342814706,"no","BLCA_Act,CESC_Act,ESCA_Act,HC_Act,HNSC_Act,LUSC_Act,RPC_Act,UCEC_Act","","",82
"PHF10",5,0.127596237823246,"no",0.0387728528979993,0.0771216639883002,5,0.110891191981625,"no","","","",82
"THRB",5,0.127596237823246,"no",0.114986180220972,0.301167258731415,5,0.951015836751747,"no","","","",82
"KTN1",5,0.127701375191961,"no",0.0509750462816787,0.128400625993268,5,0.999804156991029,"no","","","",82
"MYL3",5,0.127727668334614,"no",-0.0191204483828788,0.237317912049613,5,0.047532616594738,"no","","","",82
"DMXL1",5,0.127832876109004,"no",-0.110528840235779,0.263018783991152,5,0.625548363796548,"no","","","",82
"ANKRD30B",4,0.127964870150849,"no",-0.112967809611392,0.230596784604681,4,0.774870625482978,"no","","","",82
"CRYZL1",5,0.127990793388794,"no",-0.0436174877864172,0.284914264651099,5,0.968915321918573,"no","","","",82
"BTBD6",5,0.127990793388794,"no",-0.0521587546117696,0.129456661462878,5,0.636554713474495,"no","","","",82
"MAST1",5,0.127990793388794,"no",-0.0530876250306985,0.180232136535474,5,0.0324536905870901,"no","","","",82
"RNF31",5,0.127990793388794,"no",0.00619254840728621,0.206285324987661,5,0.177104591741311,"no","","","",82
"MDM2",5,0.128043460648901,"no",-0.656565223058694,0.936312812785894,5,1.86087380031506e-05,"yes","LEIS_Act","TP53 (depleted, 0% vs 22%)","",82
"TGS1",4,0.128439133752314,"no",-0.220979296778375,0.132774258661941,4,0.000129352880832837,"yes","","","",82
"SLAMF7",5,0.128835159933783,"no",-0.0651090138276119,0.197427074724184,5,0.524623493063365,"no","","","",82
"OR4L1",5,0.129046815153336,"no",-0.0676183253640727,0.120550996995456,5,0.926403844420824,"no","",NA,NA,82
"PRSS12",5,0.129099764190503,"no",-0.0930170282904402,0.237921351925265,5,0.510454508523431,"no","","","",82
"TNS1",4,0.129122829719382,"no",-0.0588675297380382,0.211284201014967,4,0.419117419842952,"no","","","",82
"OR2T11",3,0.129156147679026,"no",-0.381709513331946,0.023280721391063,0,NA,NA,"",NA,NA,82
"KLHL22",5,0.129444276490384,"no",-0.120079555481431,0.128106436075905,5,0.807293337697365,"no","","","",82
"CP",5,0.129470802104408,"no",0.154023355335587,0.0993385991946809,5,0.998644543786021,"no","","","BAP1 (enriched, 36% vs 10%)",82
"KLF1",5,0.129630029800215,"no",-0.020526813915772,0.29373052492775,5,0.1229091481416,"no","","","",82
"MASTL",5,0.129656580085324,"no",-0.286129129633173,0.288832917226153,5,3.42596817151543e-11,"yes","","","",82
"TM2D2",5,0.1296831338951,"no",-0.203148466899094,0.063307721346245,5,0.00880301824191817,"no","","","",82
"GADD45A",5,0.129815955815964,"no",-0.0727192058607148,0.124203178534032,5,0.963438776085663,"no","","","",82
"LDLRAD3",5,0.130028654192495,"no",-0.438094385532754,0.261873194517278,5,0.883361625292983,"no","","","",82
"ACOXL",5,0.130081864040018,"no",-0.0337744338333718,0.0817748808070254,5,0.0805919249705032,"no","","","",82
"B3GALT6",5,0.130108474252093,"no",0.0239947859967251,0.121807229147712,5,0.0114983215288674,"no","","","",82
"NFKBIE",5,0.130135087989783,"no",-0.123967441905038,0.155340993852039,5,0.00313289481479236,"no","CLL_ambiguous,CM_ambiguous,DLBCL_ambiguous,NHLY_ambiguous","","NF2 (enriched, 38% vs 12%)",82
"GSTP1",5,0.13018832604223,"no",-0.0609831656689933,0.118315068038746,5,0.0087280312680001,"no","","","",82
"PTPN11",5,0.130428071810666,"no",-0.23569904621005,0.133511514264734,5,0.00092876882114684,"no","ALL_Act,AML_Act,CLL_Act,COREAD_Act,GBM_Act,LGG_Act,MM_Act,NB_Act,PIA_Act","","",82
"HTR1F",4,0.130437152476165,"no",-0.134499415861436,0.150152242070533,4,0.625932490276522,"no","","","",82
"SMYD2",4,0.130497093606738,"no",0.0729510794905202,0.0891356014752249,4,0.68671446588775,"no","","","",82
"GHSR",5,0.13053471716619,"no",-0.107342780297996,0.227225558119691,5,0.91682109636113,"no","","","",82
"MSGN1",5,0.130801577416433,"no",NA,NA,5,0.897027402658886,"no","","","",82
"SCAF4",5,0.130801577416433,"no",-0.0607531356995339,0.165410500768278,5,0.0205097028145903,"no","","","",82
"EBI3",5,0.130935139801387,"no",-0.0386830621479685,0.148635103909183,5,0.0262624474002627,"no","","","",82
"DDX42",4,0.131097457532857,"no",-0.463544467802848,0.249122122006684,4,5.99701672286861e-06,"yes","","","",82
"KCTD18",5,0.131229287458114,"no",-0.130370105925925,0.294881910566946,5,0.37919853482146,"no","","","",82
"CDK17",5,0.131389911550513,"no",0.0487172086628371,0.277993761118092,5,0.996281061295868,"no","","","",82
"RORB",5,0.13168471894389,"no",0.0236588506386693,0.0632202760343591,5,0.289197911333101,"no","","","",82
"SFTPA2",5,0.131711540787288,"no",-0.0899312775997729,0.0363472300507717,5,0.970846155321956,"no","","","",82
"NBEAL2",5,0.131899392499202,"no",0.0898218838615143,0.113227995663572,5,0.996807390552904,"no","","","",82
"DDX6",4,0.132152262008429,"no",-0.501983193956636,0.150117574423204,4,0.000342168290134867,"no","MBL_ambiguous","","",82
"NEK5",5,0.132329417223765,"no",0.0822503900910894,0.0582789952266282,5,0.677495351082351,"no","","TP53 (depleted, 3% vs 20%), TTN (enriched, 23% vs 5%)","",82
"FTO",5,0.132706430126794,"no",0.00642223361579217,0.0600358015151266,5,0.538145243651825,"no","","","",82
"SPTLC3",5,0.132814275193161,"no",0.0557989758112443,0.0304864341780319,5,0.999904373728905,"no","","","",82
"AKR1B15",4,0.132848307183672,"no",0.18621034637389,0.0887389385155702,4,0.872075993803332,"no","","TTN (depleted, 3% vs 25%)","",82
"MELK",5,0.133030134804038,"no",0.21947297393385,0.30484307764579,5,0.736260396119583,"no","","","",82
"PPP2R3A",5,0.133165161820117,"no",-0.125734677768244,0.0734398090134766,5,0.950582713353614,"no","","","",82
"MS4A8B",5,0.133246220405333,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"SEMA6D",5,0.133760329570256,"no",-0.154174298877665,0.013872843278739,5,0.977925628800277,"no","","","",82
"KCNK10",4,0.133972837634854,"no",0.0575479594197316,0.0926940130660624,4,0.956996346796773,"no","","","",82
"ZBTB2",5,0.134194252634984,"no",-0.0278042666161855,0.202131750315545,5,0.893917296434635,"no","","","",82
"PRDM8",5,0.134357206951618,"no",-0.0764382490905059,0.102352465203317,5,0.451353837684058,"no","","","",82
"PIGX",5,0.134411553322552,"no",0.0108004979857235,0.0602279090731148,5,0.441191785564249,"no","","","",82
"SPTLC1",5,0.134601876922271,"no",-0.0870823580401096,0.165908012381953,5,6.33753861097359e-05,"yes","","","",82
"ARID1A",5,0.134819601624254,"no",0.0148241868565263,0.181815313103353,5,0.00191959024663269,"no","BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF","","",82
"PRDM13",5,0.134819601624254,"no",0.199309184313275,0.138102020393397,5,0.907128441827077,"no","","","",82
"RASAL1",5,0.134819601624254,"no",-0.0543057609113847,0.0444841838556661,5,0.975684173333219,"no","","","",82
"LYST",4,0.134950183591955,"no",0.0797217019928422,0.153361119289523,4,0.841786639132034,"no","","","",82
"ATP5J2-PTCD1",5,0.134955794414016,"no",-0.03566454910772,0.154746654449258,0,NA,NA,"",NA,NA,82
"LYPD1",5,0.135201164088142,"no",0.0501438186882977,0.0649438918564995,5,0.787640417384708,"no","","","",82
"SLC22A3",5,0.135474132834814,"no",0.0509947641622601,0.0918225169035693,5,0.971366749376519,"no","","","",82
"ARHGEF10L",4,0.135624679934184,"no",-0.0239164400907714,0.19636105823478,4,0.953000314780841,"no","MBL_LoF,SBCC_LoF,ST_LoF","","",82
"MXD1",4,0.135624679934184,"no",-0.0787949128282092,0.140297085357635,4,0.765615140554968,"no","","","",82
"KIF2A",5,0.135638083753029,"no",0.0460227950546663,0.0431125886901979,5,0.736518011677832,"no","","TTN (depleted, 3% vs 25%)","",82
"KIF18A",5,0.135665421278597,"no",-0.443814929897901,0.020395926578353,5,1.01380280698475e-06,"yes","","","",82
"CACNA1E",4,0.135686101651955,"no",-0.0229134272419513,0.0941418475435596,4,0.896488418789108,"no","","","",82
"RXRA",5,0.135747455066097,"no",-0.416932087850556,0.183201830564078,5,0.0171634204896475,"no","BLCA_LoF","","",82
"RNF182",5,0.135938990971298,"no",-0.0964904947871471,0.256302797249442,5,0.997527486660619,"no","","","",82
"TDRD1",5,0.135966367385076,"no",-0.310626522336432,0.283576452768746,5,0.982539757677371,"no","","","",82
"HOXC9",5,0.13621291421133,"no",0.0128441637137773,0.163730395933679,5,0.331839816707538,"no","","","",82
"GFRA1",5,0.136295160130429,"no",0.0243858616188522,0.0619110874626372,5,0.345400654034553,"no","","","",82
"KIAA2018",5,0.136514638165105,"no",NA,NA,0,NA,NA,"",NA,NA,82
"IKZF4",5,0.136542088832037,"no",-0.112717410475812,0.164518503780449,5,0.697405447008261,"no","","","",82
"MAP2K6",4,0.136578661727894,"no",-0.00633111159854425,0.146738120285313,4,0.562527964690107,"no","","","",82
"KIAA1875",4,0.136640351735478,"no",NA,NA,0,NA,NA,"",NA,NA,82
"BTN3A3",5,0.136899269313021,"no",0.219404463250857,0.018446852769924,5,0.962080317892494,"no","","","",82
"CLMP",4,0.137103578442291,"no",0.0668154648417914,0.0558878729809011,4,0.381092282432663,"no","","","",82
"GLUD1",5,0.137257047493436,"no",0.0638991728710317,0.238430172078576,5,0.315315347653732,"no","","","",82
"LMAN2",5,0.13728459365077,"no",-0.0240828069601786,0.217746276182398,5,0.0117520688499198,"no","","","",82
"ABCF3",5,0.137615423444537,"no",-0.00769125141559315,0.34723542060276,5,0.93805963208903,"no","","","",82
"CABP1",5,0.13764301558711,"no",0.0747983690010874,0.190598292965821,5,0.999992483524616,"no","","","",82
"PASK",4,0.137691729665007,"no",-0.154067695750197,0.100286997459296,4,0.511520622770766,"no","","","",82
"MCM8",5,0.137781029363733,"no",-0.0248687906759222,0.104073741035065,5,0.20687245856689,"no","","","",82
"SUSD5",5,0.137781029363733,"no",-0.0409848548879373,0.0759962376978216,5,0.885316348102622,"no","","","",82
"GRB14",5,0.138167938463575,"no",0.31023112436428,0.109256029573905,5,0.58561433856058,"no","","","",82
"FLRT1",5,0.138333968931022,"no",0.0368604891193275,0.059690957535803,5,0.438528645281525,"no","","","",82
"FABP12",4,0.138405791500367,"no",-0.0782881005698678,0.215083386720217,4,0.95896728633964,"no","","","",82
"STK33",5,0.138583253467961,"no",-0.0377633118373497,0.188215166831582,5,0.991331589630297,"no","","","",82
"SEMA3G",4,0.138623568804502,"no",-0.140245307426602,0.171678957831849,4,0.179465608513706,"no","","","",82
"NRAS",5,0.138777339597833,"no",0.0479684003125531,0.0401408890566666,5,0.218705481770784,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act","","",82
"FRMD6",5,0.138971599125055,"no",-0.1518310989284,0.107878641009964,5,0.477340204163207,"no","","","",82
"NFE2L1",4,0.139246957288339,"no",-0.134117829542151,0.0906128336621439,4,0.270738164712345,"no","","","",82
"PIAS4",5,0.139277214451685,"no",0.0405178210086188,0.0404562737366585,5,0.0719454524415147,"no","","","",82
"PLXNB1",4,0.139403074664828,"no",-0.152042381566164,0.298979269445497,4,0.935489907119085,"no","","","",82
"SLC10A2",5,0.139666798775551,"no",-0.0934545069948644,0.124686585826208,5,0.993533671310815,"no","","","",82
"SUDS3",5,0.139861851089205,"no",-0.412170084637708,0.122879323720534,5,0.00343000922474527,"no","","","",82
"GGA1",5,0.139889729864061,"no",-0.326786162422867,0.144689887372391,5,0.651806269476903,"no","","","",82
"ARHGEF11",5,0.140140798128182,"no",-0.158512719912509,0.13766889858222,5,0.0139798837244467,"no","","","",82
"TAP2",5,0.140587849705272,"no",0.124023587695743,0.176248446742644,5,0.911650152638077,"no","","","",82
"CBL",4,0.140750145604915,"no",0.0282037044202569,0.211202354826492,4,0.847580648411682,"no","ALL_Act,AML_Act","","",82
"GSTZ1",5,0.140951746449956,"no",-0.184411445287926,0.053961458756547,5,0.998152720268108,"no","","","",82
"CBX6",5,0.141035807593255,"no",-0.104292734684826,0.0256301782991909,5,0.774450456011757,"no","","","",82
"TNFRSF17",5,0.141035807593255,"no",-0.0285620049650024,0.0598047709860698,5,0.306075847013649,"no","","","",82
"BMP7",5,0.141400440776942,"no",0.0363317677255736,0.222602264660498,5,0.995540993175296,"no","","","",82
